resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,?? ??,Labor,Labor,Sa,8342.63,6247.05,10327.78,8312.6,3,KRW,157553.63,18.8776,16092,13864,CONSTRUCTION WORK,??,??,석고보드로 단일 골격 마감 벽체 시공 (단일 벽 C 75 프로파일 - 60 cm 축 간격) (15
10.100.1082,?? ???,Labor,Labor,Sa,12594.85,12594.85,12594.85,12594.85,1,KRW,158924.43,12.6182,5556,5540,EQUIPMENT INSTALLATION,?? ??,?? ??,긴 수도꼭지와 황동 손잡이 없는 배수구가 있는 변기
10.100.1084,?? ?? ???,Labor,Labor,Sa,9320.19,9320.19,9320.19,9320.19,1,KRW,125538.87,13.4696,5215,5199,EQUIPMENT INSTALLATION,?? ??,?? ??,긴 수도꼭지와 황동 손잡이 없는 배수구가 있는 변기
10.100.1081,?? ???,Labor,Labor,Sa,12594.85,12594.85,12594.85,12594.85,1,KRW,293507.81,23.3038,4719,4619,EQUIPMENT INSTALLATION,?? ??,?? ??,깊이 최소 400 mm
10.100.1083,?? ?? ???,Labor,Labor,Sa,9320.19,9320.19,9320.19,9320.19,1,KRW,220300.14,23.6369,4633,4633,EQUIPMENT INSTALLATION,?? ??,?? ??,깊이 최소 400 mm
10.100.1055,?? ???,Labor,Labor,Sa,14425.97,14358.13,17884.69,14358.13,2,KRW,133145.82,9.2702,3446,2481,CONSTRUCTION WORK,??,??,유리 섬유 강화 폴리에스터 (CTP) 원통형 물탱크
01.V04,전문 기술자 숙련공,Material,General,SA,17884.69,17884.69,17884.69,17884.69,1,KRW,655106.95,36.6295,2675,1081,RESTORATION/HERITAGE WORK,?????(???? / ??),?????(???? / ??),
19.100.1112,???,Equipment,General,Sa,34658.52,34658.52,34658.52,34658.52,1,KRW,236855.6,6.834,1973,1968,CONSTRUCTION WORK,??,??,폴리에틸렌 급수 저장소
10.100.1050,?? ???,Labor,Labor,Sa,12773.74,12594.85,15617.62,12594.85,2,KRW,44601.34,3.3658,1827,1827,CONSTRUCTION WORK,??,??,
01.V06/01,복원 평면 작업자,Material,General,SA,8312.6,8312.6,8312.6,8312.6,1,KRW,33332.79,4.0099,1687,1623,RESTORATION/HERITAGE WORK,?????(???? / ??),?????(???? / ??),
01.V05,전문가 보조 숙련공,Material,General,SA,12342.96,12342.96,12342.96,12342.96,1,KRW,301973.5,24.4652,1346,814,RESTORATION/HERITAGE WORK,?????(???? / ??),?????(???? / ??),
10.100.1091,"??, ?? ? ??? ???",Labor,Labor,Sa,35265.59,35265.59,35265.59,35265.59,1,KRW,1051166.59,29.8071,1239,1239,EQUIPMENT INSTALLATION,?? ??,?? ??,단상 교류 리액티브 전력 제어 릴레이
19.100.1113,??? ???,Equipment,General,Sa,54430.12,54398.19,70654.62,54398.19,2,KRW,671083.59,12.3354,1018,1013,CONSTRUCTION WORK,??,??,유리 섬유 강화 폴리에스터 (CTP) 원통형 물탱크
10.130.9991,수,Material,General,m³,2024.29,1763.28,2770.87,1939.61,3,KRW,288.98,0.1285,927,679,CONSTRUCTION WORK,??,??,
19.100.1002,굴착기 Beko (125 HP),Equipment,General,Sa,100154.79,100154.79,100154.79,100154.79,1,KRW,9711.68,0.097,546,528,CONSTRUCTION WORK,??,??,
10.100.1060,????,Labor,Labor,Sa,18168.73,18136.59,22418.84,18136.59,2,KRW,26466.29,1.4311,539,398,CONSTRUCTION WORK,??,??,"슬라이딩(셔버) 밸브 및 Glop 밸브; 황동 나사, 프레스 제작(TS EN 12288) 기준"
10.100.1063,?? ??,Labor,Labor,Sa,10434.31,10075.88,12594.85,10075.88,2,KRW,52192.71,5.1657,507,371,CONSTRUCTION WORK,??,??,
10.100.1068,일류 장인,Labor,Labor,Sa,12465.5,9572.09,15617.62,12594.85,3,KRW,18661.76,1.3882,469,399,CONSTRUCTION WORK,??,??,
10.100.1049,?? ?? ???,Labor,Labor,Sa,9940.05,9320.19,11587.27,9320.19,2,KRW,58721.54,5.4792,396,396,CONSTRUCTION WORK,??,??,
