resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,عامل عادي,Labor,Labor,Sa,40.18,30.09,49.74,40.04,3,MAD,758.85,18.8776,16092,13864,CONSTRUCTION WORK,البناء,البناء,إنشاء جدار واجهة هيكلية مفردة بألواح الجبس (جدار مفرد C 75 بروفيل - 60 cm تباعد 
10.100.1082,فني التركيبات,Labor,Labor,Sa,60.66,60.66,60.66,60.66,1,MAD,765.45,12.6182,5556,5540,EQUIPMENT INSTALLATION,التركيبات الميكانيكية,التركيبات الميكانيكية,صمام صرف بدون ذراع نحاسية طويلة
10.100.1084,مساعد فني التركيبات,Labor,Labor,Sa,44.89,44.89,44.89,44.89,1,MAD,604.65,13.4696,5215,5199,EQUIPMENT INSTALLATION,التركيبات الميكانيكية,التركيبات الميكانيكية,صمام صرف بدون ذراع نحاسية طويلة
10.100.1081,فني كهرباء,Labor,Labor,Sa,60.66,60.66,60.66,60.66,1,MAD,1413.66,23.3038,4719,4619,EQUIPMENT INSTALLATION,التركيبات الكهربائية,التركيبات الكهربائية,العمق لا يقل عن 400 mm
10.100.1083,مساعد كهربائي,Labor,Labor,Sa,44.89,44.89,44.89,44.89,1,MAD,1061.06,23.6369,4633,4633,EQUIPMENT INSTALLATION,التركيبات الكهربائية,التركيبات الكهربائية,العمق لا يقل عن 400 mm
10.100.1055,مشغل آلة,Labor,Labor,Sa,69.48,69.16,86.14,69.16,2,MAD,641.29,9.2702,3446,2481,CONSTRUCTION WORK,البناء,البناء,خزانات مياه أسطوانية من البوليستر المقوى بالألياف الزجاجية (CTP)
01.V04,مُهَنَّسُ الْمُعَلِّمِ,Material,General,SA,86.14,86.14,86.14,86.14,1,MAD,3155.28,36.6295,2675,1081,RESTORATION/HERITAGE WORK,وزارة الثقافة والسياحة (الآثار القديمة / الترميم),وزارة الثقافة والسياحة (الآثار القديمة / الترميم),
19.100.1112,رافعة شوكية,Equipment,General,Sa,166.93,166.93,166.93,166.93,1,MAD,1140.8,6.834,1973,1968,CONSTRUCTION WORK,البناء,البناء,خزانات مياه البولي إيثيلين
10.100.1050,عامل أنابيب,Labor,Labor,Sa,61.52,60.66,75.22,60.66,2,MAD,214.82,3.3658,1827,1827,CONSTRUCTION WORK,البناء,البناء,
01.V06/01,العمل اليدوي لترميم الديكور,Material,General,SA,40.04,40.04,40.04,40.04,1,MAD,160.55,4.0099,1687,1623,RESTORATION/HERITAGE WORK,وزارة الثقافة والسياحة (الآثار القديمة / الترميم),وزارة الثقافة والسياحة (الآثار القديمة / الترميم),
01.V05,مساعد فني مساعد الحرفي,Material,General,SA,59.45,59.45,59.45,59.45,1,MAD,1454.44,24.4652,1346,814,RESTORATION/HERITAGE WORK,وزارة الثقافة والسياحة (الآثار القديمة / الترميم),وزارة الثقافة والسياحة (الآثار القديمة / الترميم),
10.100.1091,خبير اختبار وضبط وتشغيل,Labor,Labor,Sa,169.85,169.85,169.85,169.85,1,MAD,5062.88,29.8071,1239,1239,EQUIPMENT INSTALLATION,التركيبات الكهربائية,التركيبات الكهربائية,مُرَحِّلَاتُ تَحَكُّمِ الطَّاقَةِ التَّكْرِيرِيَّةِ فِي الطَّورِ الْوَاحِدِ
19.100.1113,رافعة متحركة,Equipment,General,Sa,262.16,262.01,340.3,262.01,2,MAD,3232.23,12.3354,1018,1013,CONSTRUCTION WORK,البناء,البناء,خزانات مياه أسطوانية من البوليستر المقوى بالألياف الزجاجية (CTP)
10.130.9991,مياه,Material,General,m³,9.75,8.49,13.35,9.34,3,MAD,1.39,0.1285,927,679,CONSTRUCTION WORK,البناء,البناء,
19.100.1002,حفارة بيكو (125 HP),Equipment,General,Sa,482.39,482.39,482.39,482.39,1,MAD,46.78,0.097,546,528,CONSTRUCTION WORK,البناء,البناء,
10.100.1060,مقدّم العمل,Labor,Labor,Sa,87.51,87.35,107.98,87.35,2,MAD,127.47,1.4311,539,398,CONSTRUCTION WORK,البناء,البناء,صمامات انزلاقية (شيبير) وصمامات غلوب؛ من النحاس الأصفر ملولبة، مصنعة بالضغط وفقً
10.100.1063,عامل ماهر,Labor,Labor,Sa,50.26,48.53,60.66,48.53,2,MAD,251.38,5.1657,507,371,CONSTRUCTION WORK,البناء,البناء,
10.100.1068,حرفي من الدرجة الأولى,Labor,Labor,Sa,60.04,46.1,75.22,60.66,3,MAD,89.88,1.3882,469,399,CONSTRUCTION WORK,البناء,البناء,
10.100.1049,مساعد سباك,Labor,Labor,Sa,47.88,44.89,55.81,44.89,2,MAD,282.83,5.4792,396,396,CONSTRUCTION WORK,البناء,البناء,
10.100.1021,لحام,Labor,Labor,Sa,64.55,46.1,75.22,60.66,3,MAD,1235.45,19.5521,394,285,MACHINE RATE,الآلة (تحليل الأجر بالساعة),الآلة (تحليل الأجر بالساعة),
10.100.1064,متدرب,Labor,Labor,Sa,40.06,30.09,49.74,40.04,3,MAD,71.8,1.7933,376,130,CONSTRUCTION WORK,البناء,البناء,
10.100.1013,حرفي البناء,Labor,Labor,Sa,61.44,46.1,75.22,60.66,3,MAD,48.68,0.7882,375,341,CONSTRUCTION WORK,البناء,البناء,
10.420.1012,برغي ووتد بلاستيكي,Material,General,Ad,0.36,0.24,0.36,0.36,2,MAD,5.56,15.2894,356,265,CONSTRUCTION WORK,البناء,البناء,إنشاء جدار واجهة هيكلية مفردة بألواح الجبس (جدار مفرد C 75 بروفيل - 60 cm تباعد 
10.160.1035,مُرَكِّبُ الكَهْرَبَاء,Material,General,Ad,0.41,0.31,0.47,0.39,3,MAD,50.92,117.7585,345,272,MACHINE RATE,الآلة (تحليل الأجر بالساعة),الآلة (تحليل الأجر بالساعة),
10.160.1026,ديزل,Material,General,Kg,11.18,10.64,13.75,10.64,2,MAD,160.29,14.3654,331,98,MACHINE RATE,الآلة (تحليل الأجر بالساعة),الآلة (تحليل الأجر بالساعة),
10.300.1602,ورق صنفرة,Material,General,Ad,1.57,0.85,1.58,1.58,2,MAD,23.5,14.9103,269,101,CONSTRUCTION WORK,البناء,البناء,
10.100.1069,مساعد حرفي من الدرجة الأولى,Labor,Labor,Sa,44.53,33.97,44.89,44.89,2,MAD,160.21,3.5892,265,224,CONSTRUCTION WORK,البناء,البناء,
10.100.1015,عامل خرسانة,Labor,Labor,Sa,66.23,60.66,75.22,60.66,2,MAD,319.45,5.1905,265,103,CONSTRUCTION WORK,البناء,البناء,
10.100.1010,فني العزل,Labor,Labor,Sa,60.26,46.1,75.22,60.66,3,MAD,41.01,0.6794,255,219,CONSTRUCTION WORK,البناء,البناء,عزل بألياف زجاجية على أسطح من الصفيح مثل المخازن؛
10.100.1057,مساعد مشغل,Labor,Labor,Sa,62.0,58.24,72.79,58.24,2,MAD,47.1,0.7701,241,209,MACHINE RATE,الآلة (تحليل الأجر بالساعة),الآلة (تحليل الأجر بالساعة),
10.100.1023,عامل دهان,Labor,Labor,Sa,60.6,46.1,60.66,60.66,2,MAD,2942.55,48.5073,238,122,CONSTRUCTION WORK,البناء,البناء,طلاء الأنابيب، بدهان سليان؛
10.110.1003,"معامل نقل المركبات ذات جميع الأنواع والأوزان (0,0004xK) 0,0004 %... يتم حساب هامش الربح العام للمقاول والمصاريف العامة باستخدام المعامل ""أ"" (أ). الصيغة العامة للنقل: (F= 0,00017xKxA×B×√¯M ) ليرة تركية/طن يتم تحديد سعر النقل في السدود بناءً على م3. نظرًا لاعتبار الكثافة المتوسطة للمواد المنقولة في أعمال بناء السدود 1,88 طن/م3، فإن هذه الصيغة: F= 1,88x0,00017xKxA×B×√¯M ) ليرة تركية/م3 حيث K: معامل (10.110.1003) K= معامل النقل (10.110.1003) A=1,25 ومواد الحفر B=1,00، إذن؛ F= 1,88x0,00017xKx1,25x1×√¯M ) ليرة تركية/م3 F=0,0004xKx√¯M ) ليرة تركية/طن أ=0,0004 K النقل عبر الطرق البرية",Material,General,ton,565.73,424.64,573.87,573.87,2,MAD,1.6,0.0028,223,70,WATER/DAM/IRRIGATION WORK,هيئة المياه الحكومية (التحليل والتعريفات),هيئة المياه الحكومية (التحليل والتعريفات),
10.100.1054,مشغل آلة,Labor,Labor,Sa,60.87,60.66,75.22,60.66,2,MAD,729.14,12.0168,215,116,CONSTRUCTION WORK,البناء,البناء,
10.420.1006,مسمار,Material,General,Kg,4.92,3.64,6.07,4.85,3,MAD,3.34,0.6719,212,120,CONSTRUCTION WORK,البناء,البناء,
