resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,Тэгш ажилчин,Labor,Labor,Sa,12382.72,9272.31,15329.22,12338.15,3,MNT,233852.22,18.8776,16092,13864,CONSTRUCTION WORK,Барилга,Барилга,Гипсокартон бүхий нэг каркас бүхий гадагш гагнаж хана барих (Нэг хана C 75 профа
10.100.1082,Системийн мастер,Labor,Labor,Sa,18694.17,18694.17,18694.17,18694.17,1,MNT,235886.87,12.6182,5556,5540,EQUIPMENT INSTALLATION,Механик Техник,Механик Техник,Узун мускулук жана пириң кумандансыз сифондор
10.100.1084,Суурилтын мастер туслах,Labor,Labor,Sa,13833.69,13833.69,13833.69,13833.69,1,MNT,186333.66,13.4696,5215,5199,EQUIPMENT INSTALLATION,Механик Техник,Механик Техник,Узун мускулук жана пириң кумандансыз сифондор
10.100.1081,Цахилгаанчин,Labor,Labor,Sa,18694.17,18694.17,18694.17,18694.17,1,MNT,435645.03,23.3038,4719,4619,EQUIPMENT INSTALLATION,Цахилгаан угсралт,Цахилгаан угсралт,Нэмгийн гүн хамгийн багадаа 400 мм
10.100.1083,Цахилгаан мастерын туслах,Labor,Labor,Sa,13833.69,13833.69,13833.69,13833.69,1,MNT,326985.04,23.6369,4633,4633,EQUIPMENT INSTALLATION,Цахилгаан угсралт,Цахилгаан угсралт,Нэмгийн гүн хамгийн багадаа 400 мм
10.100.1055,Оператор машин,Labor,Labor,Sa,21412.05,21311.36,26545.73,21311.36,2,MNT,197624.43,9.2702,3446,2481,CONSTRUCTION WORK,Барилга,Барилга,Шингэн шилэн нэмэлттэй полиэстер (CTP) цилиндр хэлбэрийн усан сангийн сав
01.V04,Мастер-специалист,Material,General,SA,26545.73,26545.73,26545.73,26545.73,1,MNT,972356.01,36.6295,2675,1081,RESTORATION/HERITAGE WORK,"Соёл, аялал жуулчлалын яам (Түүхийн дурсгал / Сэргээн засварлах)","Соёл, аялал жуулчлалын яам (Түүхийн дурсгал / Сэргээн засварлах)",
19.100.1112,Кран,Equipment,General,Sa,51442.63,51442.63,51442.63,51442.63,1,MNT,351557.81,6.834,1973,1968,CONSTRUCTION WORK,Барилга,Барилга,Полиэтилен усан сангилгууд
10.100.1050,Борчуцын мастер,Labor,Labor,Sa,18959.68,18694.17,23180.78,18694.17,2,MNT,66200.47,3.3658,1827,1827,CONSTRUCTION WORK,Барилга,Барилга,
01.V06/01,Реставрация Төменгі жұмысшы,Material,General,SA,12338.15,12338.15,12338.15,12338.15,1,MNT,49474.89,4.0099,1687,1623,RESTORATION/HERITAGE WORK,"Соёл, аялал жуулчлалын яам (Түүхийн дурсгал / Сэргээн засварлах)","Соёл, аялал жуулчлалын яам (Түүхийн дурсгал / Сэргээн засварлах)",
01.V05,Мүтәхассыс Уста Ярдәмчылары,Material,General,SA,18320.29,18320.29,18320.29,18320.29,1,MNT,448210.41,24.4652,1346,814,RESTORATION/HERITAGE WORK,"Соёл, аялал жуулчлалын яам (Түүхийн дурсгал / Сэргээн засварлах)","Соёл, аялал жуулчлалын яам (Түүхийн дурсгал / Сэргээн засварлах)",
10.100.1091,"Тест, Тохиргоо ба Ажилд оруулах мэргэжилтэн",Labor,Labor,Sa,52343.69,52343.69,52343.69,52343.69,1,MNT,1560215.72,29.8071,1239,1239,EQUIPMENT INSTALLATION,Цахилгаан угсралт,Цахилгаан угсралт,ТЕК ФАЗЛИ РЕАКТИВ ГҮЧ КОНТРОЛ РӨЛЕЛЕРІ
19.100.1113,Мобил кран,Equipment,General,Sa,80789.04,80741.63,104870.57,80741.63,2,MNT,996069.67,12.3354,1018,1013,CONSTRUCTION WORK,Барилга,Барилга,Шингэн шилэн нэмэлттэй полиэстер (CTP) цилиндр хэлбэрийн усан сангийн сав
10.130.9991,Ус,Material,General,m³,3004.59,2617.18,4112.72,2878.9,3,MNT,428.92,0.1285,927,679,CONSTRUCTION WORK,Барилга,Барилга,
19.100.1002,Экскаватор Beko (125 HP),Equipment,General,Sa,148656.82,148656.82,148656.82,148656.82,1,MNT,14414.77,0.097,546,528,CONSTRUCTION WORK,Барилга,Барилга,
10.100.1060,Формен,Labor,Labor,Sa,26967.31,26919.61,33275.63,26919.61,2,MNT,39283.14,1.4311,539,398,CONSTRUCTION WORK,Барилга,Барилга,"Sürgülü (şiber) және Glop клапандары; қытай бұрандалы, престе жасалған (TS EN 12"
10.100.1063,Мэргэжлийн ажилчин,Labor,Labor,Sa,15487.35,14955.34,18694.17,14955.34,2,MNT,77468.11,5.1657,507,371,CONSTRUCTION WORK,Барилга,Барилга,
10.100.1068,Нэгдүгээр зэрэглэлийн мастер,Labor,Labor,Sa,18502.18,14207.57,23180.78,18694.17,3,MNT,27699.1,1.3882,469,399,CONSTRUCTION WORK,Барилга,Барилга,
10.100.1049,Усангийн туслах,Labor,Labor,Sa,14753.73,13833.69,17198.64,13833.69,2,MNT,87158.66,5.4792,396,396,CONSTRUCTION WORK,Барилга,Барилга,
10.100.1021,Нөөцийн мастер,Labor,Labor,Sa,19892.88,14207.57,23180.78,18694.17,3,MNT,380725.51,19.5521,394,285,MACHINE RATE,Машины (Цагийн Хөлсийн Анализ),Машины (Цагийн Хөлсийн Анализ),
10.100.1064,Залуу ажилтан,Labor,Labor,Sa,12345.13,9272.31,15329.22,12338.15,3,MNT,22127.1,1.7933,376,130,CONSTRUCTION WORK,Барилга,Барилга,
10.100.1013,Байшин,Labor,Labor,Sa,18934.1,14207.57,23180.78,18694.17,3,MNT,15002.65,0.7882,375,341,CONSTRUCTION WORK,Барилга,Барилга,
10.420.1012,Болт ба пластик дюбель,Material,General,Ad,111.43,74.78,112.17,112.17,2,MNT,1713.42,15.2894,356,265,CONSTRUCTION WORK,Барилга,Барилга,Гипсокартон бүхий нэг каркас бүхий гадагш гагнаж хана барих (Нэг хана C 75 профа
10.160.1035,Цахилгаан,Material,General,Ad,127.08,94.22,143.57,119.64,3,MNT,15690.82,117.7585,345,272,MACHINE RATE,Машины (Цагийн Хөлсийн Анализ),Машины (Цагийн Хөлсийн Анализ),
