resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,Mano de obra sencilla,Labor,Labor,Sa,105.56,79.04,130.68,105.18,3,MXN,1993.51,18.8776,16092,13864,CONSTRUCTION WORK,Construcción,Construcción,Construcción de pared revestida con placa de yeso con estructura simple (Perfil 
10.100.1082,Oficial de instalaciones,Labor,Labor,Sa,159.36,159.36,159.36,159.36,1,MXN,2010.86,12.6182,5556,5540,EQUIPMENT INSTALLATION,Instalación Mecánica,Instalación Mecánica,Uzun musluklu ve pirinç kumandasız sifonlu
10.100.1084,Asistente de ayudante de instalador,Labor,Labor,Sa,117.93,117.93,117.93,117.93,1,MXN,1588.43,13.4696,5215,5199,EQUIPMENT INSTALLATION,Instalación Mecánica,Instalación Mecánica,Uzun musluklu ve pirinç kumandasız sifonlu
10.100.1081,Maestro electricista,Labor,Labor,Sa,159.36,159.36,159.36,159.36,1,MXN,3713.73,23.3038,4719,4619,EQUIPMENT INSTALLATION,Instalación eléctrica,Instalación eléctrica,Profundidad al menos 400 mm
10.100.1083,Ayudante de oficial de electricidad,Labor,Labor,Sa,117.93,117.93,117.93,117.93,1,MXN,2787.44,23.6369,4633,4633,EQUIPMENT INSTALLATION,Instalación eléctrica,Instalación eléctrica,Profundidad al menos 400 mm
10.100.1055,Operador de maquinaria,Labor,Labor,Sa,182.53,181.67,226.29,181.67,2,MXN,1684.68,9.2702,3446,2481,CONSTRUCTION WORK,Construcción,Construcción,Cam Elyaf Takviyeli Polyester (CTP) Silindirik su depoları
01.V04,Maestro especializado,Material,General,SA,226.29,226.29,226.29,226.29,1,MXN,8289.02,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Cultura y Turismo B. (Antiguas obras / Restauración),Cultura y Turismo B. (Antiguas obras / Restauración),
19.100.1112,Montacargas,Equipment,General,Sa,438.53,438.53,438.53,438.53,1,MXN,2996.92,6.834,1973,1968,CONSTRUCTION WORK,Construcción,Construcción,Polietilen Su Depoları
10.100.1050,Maestro de encofrado,Labor,Labor,Sa,161.63,159.36,197.61,159.36,2,MXN,564.34,3.3658,1827,1827,CONSTRUCTION WORK,Construcción,Construcción,
01.V06/01,Trabajo de restauración de nivelación,Material,General,SA,105.18,105.18,105.18,105.18,1,MXN,421.76,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Cultura y Turismo B. (Antiguas obras / Restauración),Cultura y Turismo B. (Antiguas obras / Restauración),
01.V05,Asistentes de maestro especializado,Material,General,SA,156.17,156.17,156.17,156.17,1,MXN,3820.85,24.4652,1346,814,RESTORATION/HERITAGE WORK,Cultura y Turismo B. (Antiguas obras / Restauración),Cultura y Turismo B. (Antiguas obras / Restauración),
10.100.1091,"Especialista en Pruebas, Ajustes y Puesta en Marcha",Labor,Labor,Sa,446.21,446.21,446.21,446.21,1,MXN,13300.33,29.8071,1239,1239,EQUIPMENT INSTALLATION,Instalación eléctrica,Instalación eléctrica,TEK FAZLI REAKTİF GÜÇ KONTROL RÖLELERİ
19.100.1113,Grúa móvil,Equipment,General,Sa,688.7,688.3,893.99,688.3,2,MXN,8491.17,12.3354,1018,1013,CONSTRUCTION WORK,Construcción,Construcción,Cam Elyaf Takviyeli Polyester (CTP) Silindirik su depoları
10.130.9991,Agua,Material,General,m³,25.61,22.31,35.06,24.54,3,MXN,3.66,0.1285,927,679,CONSTRUCTION WORK,Construcción,Construcción,
19.100.1002,Excavadora Beko (125 HP),Equipment,General,Sa,1267.25,1267.25,1267.25,1267.25,1,MXN,122.88,0.097,546,528,CONSTRUCTION WORK,Construcción,Construcción,
10.100.1060,Maestro,Labor,Labor,Sa,229.89,229.48,283.66,229.48,2,MXN,334.88,1.4311,539,398,CONSTRUCTION WORK,Construcción,Construcción,"Sürgülü (şiber) ve Glop Vanalar; pirinç vidalı, preste imal edilmiş (TS EN 12288"
10.100.1063,Trabajador de mano de obra,Labor,Labor,Sa,132.02,127.49,159.36,127.49,2,MXN,660.39,5.1657,507,371,CONSTRUCTION WORK,Construcción,Construcción,
10.100.1068,Maestro de primera clase,Labor,Labor,Sa,157.73,121.11,197.61,159.36,3,MXN,236.13,1.3882,469,399,CONSTRUCTION WORK,Construcción,Construcción,
10.100.1049,Ayudante de maestro de albañilería,Labor,Labor,Sa,125.77,117.93,146.61,117.93,2,MXN,743.0,5.4792,396,396,CONSTRUCTION WORK,Construcción,Construcción,
10.100.1021,Jornalero especializado en trabajos de albañilería,Labor,Labor,Sa,169.58,121.11,197.61,159.36,3,MXN,3245.56,19.5521,394,285,MACHINE RATE,Análisis de tarifa horaria de maquinaria,Análisis de tarifa horaria de maquinaria,
10.100.1064,Aprendiz,Labor,Labor,Sa,105.24,79.04,130.68,105.18,3,MXN,188.63,1.7933,376,130,CONSTRUCTION WORK,Construcción,Construcción,
10.100.1013,Albañil,Labor,Labor,Sa,161.41,121.11,197.61,159.36,3,MXN,127.89,0.7882,375,341,CONSTRUCTION WORK,Construcción,Construcción,
10.420.1012,Anclajes de varilla y plástico,Material,General,Ad,0.95,0.64,0.96,0.96,2,MXN,14.61,15.2894,356,265,CONSTRUCTION WORK,Construcción,Construcción,Construcción de pared revestida con placa de yeso con estructura simple (Perfil 
10.160.1035,Electrodo,Material,General,Ad,1.08,0.8,1.22,1.02,3,MXN,133.76,117.7585,345,272,MACHINE RATE,Análisis de tarifa horaria de maquinaria,Análisis de tarifa horaria de maquinaria,
10.160.1026,Combustible,Material,General,Kg,29.36,27.95,36.12,27.95,2,MXN,421.08,14.3654,331,98,MACHINE RATE,Análisis de tarifa horaria de maquinaria,Análisis de tarifa horaria de maquinaria,
10.300.1602,Papel de lija,Material,General,Ad,4.13,2.23,4.14,4.14,2,MXN,61.74,14.9103,269,101,CONSTRUCTION WORK,Construcción,Construcción,
10.100.1069,Ayudante de maestro de primera clase,Labor,Labor,Sa,116.98,89.24,117.93,117.93,2,MXN,420.88,3.5892,265,224,CONSTRUCTION WORK,Construcción,Construcción,
10.100.1015,Albañil de concreto,Labor,Labor,Sa,173.99,159.36,197.61,159.36,2,MXN,839.22,5.1905,265,103,CONSTRUCTION WORK,Construcción,Construcción,
10.100.1010,Jardinero de aislamiento,Labor,Labor,Sa,158.31,121.11,197.61,159.36,3,MXN,107.74,0.6794,255,219,CONSTRUCTION WORK,Construcción,Construcción,Depo gibi sac yüzeyler üzerine fibro camlı izolasyon;
10.100.1057,Asistente de operador,Labor,Labor,Sa,162.87,152.99,191.23,152.99,2,MXN,123.74,0.7701,241,209,MACHINE RATE,Análisis de tarifa horaria de maquinaria,Análisis de tarifa horaria de maquinaria,
10.100.1023,Pintor,Labor,Labor,Sa,159.2,121.11,159.36,159.36,2,MXN,7730.17,48.5073,238,122,CONSTRUCTION WORK,Construcción,Construcción,"Boru boyanması, sülyen boya ile;"
