resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,General laborer,Labor,Labor,Sa,1993.07,1492.43,2467.33,1985.9,3,NGN,37639.85,18.8776,16092,13864,CONSTRUCTION WORK,Construction,,Construction of single-frame curtain wall with plasterboard (Single Wall C 75 pr
10.100.1082,Installation master,Labor,Labor,Sa,3008.93,3008.93,3008.93,3008.93,1,NGN,37967.34,12.6182,5556,5540,EQUIPMENT INSTALLATION,Mechanical Installation,,Long spout and brass non-valve siphon
10.100.1084,Installation assistant foreman,Labor,Labor,Sa,2226.61,2226.61,2226.61,2226.61,1,NGN,29991.46,13.4696,5215,5199,EQUIPMENT INSTALLATION,Mechanical Installation,,Long spout and brass non-valve siphon
10.100.1081,Electrician,Labor,Labor,Sa,3008.93,3008.93,3008.93,3008.93,1,NGN,70119.55,23.3038,4719,4619,EQUIPMENT INSTALLATION,Electrical Installation,,Depth at least 400 mm
10.100.1083,Electrician assistant,Labor,Labor,Sa,2226.61,2226.61,2226.61,2226.61,1,NGN,52630.11,23.6369,4633,4633,EQUIPMENT INSTALLATION,Electrical Installation,,Depth at least 400 mm
10.100.1055,Operator machinist,Labor,Labor,Sa,3446.39,3430.18,4272.69,3430.18,2,NGN,31808.78,9.2702,3446,2481,CONSTRUCTION WORK,Construction,,Fiberglass Reinforced Polyester (FRP) Cylindrical Water Tanks
01.V04,Specialist Master,Material,General,SA,4272.69,4272.69,4272.69,4272.69,1,NGN,156506.24,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),,
19.100.1112,Forklift,Equipment,General,Sa,8279.98,8279.98,8279.98,8279.98,1,NGN,56585.23,6.834,1973,1968,CONSTRUCTION WORK,Construction,,Polyethylene Water Tanks
10.100.1050,Pipe fitter,Labor,Labor,Sa,3051.67,3008.93,3731.08,3008.93,2,NGN,10655.34,3.3658,1827,1827,CONSTRUCTION WORK,Construction,,
01.V06/01,Restoration Rough Labour,Material,General,SA,1985.9,1985.9,1985.9,1985.9,1,NGN,7963.27,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),,
01.V05,Specialist Assistant Craftsmen,Material,General,SA,2948.76,2948.76,2948.76,2948.76,1,NGN,72142.02,24.4652,1346,814,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),,
10.100.1091,"Test, Adjustment and Commissioning Specialist",Labor,Labor,Sa,8425.01,8425.01,8425.01,8425.01,1,NGN,251125.61,29.8071,1239,1239,EQUIPMENT INSTALLATION,Electrical Installation,,SINGLE-PHASE REACTIVE POWER CONTROL RELAYS
19.100.1113,Mobile crane,Equipment,General,Sa,13003.46,12995.83,16879.52,12995.83,2,NGN,160323.09,12.3354,1018,1013,CONSTRUCTION WORK,Construction,,Fiberglass Reinforced Polyester (FRP) Cylindrical Water Tanks
10.130.9991,Water,Material,General,m³,483.61,421.25,661.97,463.38,3,NGN,69.04,0.1285,927,679,CONSTRUCTION WORK,Construction,,
19.100.1002,Excavator Beko (125 HP),Equipment,General,Sa,23927.16,23927.16,23927.16,23927.16,1,NGN,2320.14,0.097,546,528,CONSTRUCTION WORK,Construction,,
10.100.1060,Foreman,Labor,Labor,Sa,4340.54,4332.86,5355.9,4332.86,2,NGN,6322.84,1.4311,539,398,CONSTRUCTION WORK,Construction,,"Sliding (gate) and Glop Valves; brass threaded, manufactured by pressing accordi"
10.100.1063,Skilled laborer,Labor,Labor,Sa,2492.78,2407.15,3008.93,2407.15,2,NGN,12468.93,5.1657,507,371,CONSTRUCTION WORK,Construction,,
10.100.1068,First-class master craftsman,Labor,Labor,Sa,2978.03,2286.79,3731.08,3008.93,3,NGN,4458.33,1.3882,469,399,CONSTRUCTION WORK,Construction,,
10.100.1049,Pipefitter assistant,Labor,Labor,Sa,2374.7,2226.61,2768.22,2226.61,2,NGN,14028.68,5.4792,396,396,CONSTRUCTION WORK,Construction,,
10.100.1021,Welder,Labor,Labor,Sa,3201.87,2286.79,3731.08,3008.93,3,NGN,61279.94,19.5521,394,285,MACHINE RATE,Machinery (Hourly Rate Analysis),,
10.100.1064,Apprentice,Labor,Labor,Sa,1987.02,1492.43,2467.33,1985.9,3,NGN,3561.48,1.7933,376,130,CONSTRUCTION WORK,Construction,,
10.100.1013,Bricklayer,Labor,Labor,Sa,3047.55,2286.79,3731.08,3008.93,3,NGN,2414.76,0.7882,375,341,CONSTRUCTION WORK,Construction,,
10.420.1012,Screw and plastic dowel,Material,General,Ad,17.94,12.04,18.05,18.05,2,NGN,275.78,15.2894,356,265,CONSTRUCTION WORK,Construction,,Construction of single-frame curtain wall with plasterboard (Single Wall C 75 pr
10.160.1035,Electrode,Material,General,Ad,20.45,15.17,23.11,19.26,3,NGN,2525.53,117.7585,345,272,MACHINE RATE,Machinery (Hourly Rate Analysis),,
10.160.1026,Diesel fuel,Material,General,Kg,554.3,527.65,681.94,527.65,2,NGN,7950.43,14.3654,331,98,MACHINE RATE,Machinery (Hourly Rate Analysis),,
10.300.1602,Sandpaper,Material,General,Ad,77.96,42.13,78.23,78.23,2,NGN,1165.77,14.9103,269,101,CONSTRUCTION WORK,Construction,,
10.100.1069,First-class master assistant,Labor,Labor,Sa,2208.71,1685.0,2226.61,2226.61,2,NGN,7946.65,3.5892,265,224,CONSTRUCTION WORK,Construction,,
