resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,Gewone arbeider,Labor,Labor,Sa,7.63,5.71,9.45,7.6,3,EUR,144.13,18.8776,16092,13864,CONSTRUCTION WORK,Bouw,Bouw,Het maken van een enkel skelet gelaagd wand met gipsplaat (Enkele Wand C 75 prof
10.100.1082,Installateur,Labor,Labor,Sa,11.52,11.52,11.52,11.52,1,EUR,145.38,12.6182,5556,5540,EQUIPMENT INSTALLATION,Mechanische Installatie,Mechanische Installatie,Langwerpige en messing bedieningsloze sifon zonder knop
10.100.1084,Installateur assistent,Labor,Labor,Sa,8.53,8.53,8.53,8.53,1,EUR,114.84,13.4696,5215,5199,EQUIPMENT INSTALLATION,Mechanische Installatie,Mechanische Installatie,Langwerpige en messing bedieningsloze sifon zonder knop
10.100.1081,Elektricien,Labor,Labor,Sa,11.52,11.52,11.52,11.52,1,EUR,268.5,23.3038,4719,4619,EQUIPMENT INSTALLATION,Elektrische installatie,Elektrische installatie,Diepte minimaal 400 mm
10.100.1083,Elektricien assistent,Labor,Labor,Sa,8.53,8.53,8.53,8.53,1,EUR,201.53,23.6369,4633,4633,EQUIPMENT INSTALLATION,Elektrische installatie,Elektrische installatie,Diepte minimaal 400 mm
10.100.1055,Machinist,Labor,Labor,Sa,13.2,13.13,16.36,13.13,2,EUR,121.8,9.2702,3446,2481,CONSTRUCTION WORK,Bouw,Bouw,Glasvezelversterkte polyester (CTP) cilindrische waterdistricten
01.V04,Gespecialiseerd vakman,Material,General,SA,16.36,16.36,16.36,16.36,1,EUR,599.28,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Cultuur en Toerisme B. (Oude Monumenten / Restauratie),Cultuur en Toerisme B. (Oude Monumenten / Restauratie),
19.100.1112,Vorkheftruck,Equipment,General,Sa,31.71,31.71,31.71,31.71,1,EUR,216.67,6.834,1973,1968,CONSTRUCTION WORK,Bouw,Bouw,Polyethyleen waterreservoirs
10.100.1050,Loodgieter,Labor,Labor,Sa,11.69,11.52,14.29,11.52,2,EUR,40.8,3.3658,1827,1827,CONSTRUCTION WORK,Bouw,Bouw,
01.V06/01,Restauratie vlakke arbeider,Material,General,SA,7.6,7.6,7.6,7.6,1,EUR,30.49,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Cultuur en Toerisme B. (Oude Monumenten / Restauratie),Cultuur en Toerisme B. (Oude Monumenten / Restauratie),
01.V05,Specialist Assistent-werknemers,Material,General,SA,11.29,11.29,11.29,11.29,1,EUR,276.24,24.4652,1346,814,RESTORATION/HERITAGE WORK,Cultuur en Toerisme B. (Oude Monumenten / Restauratie),Cultuur en Toerisme B. (Oude Monumenten / Restauratie),
10.100.1091,"Test, Afstelling en Inbedrijfstelling Specialist",Labor,Labor,Sa,32.26,32.26,32.26,32.26,1,EUR,961.6,29.8071,1239,1239,EQUIPMENT INSTALLATION,Elektrische installatie,Elektrische installatie,EENFASIGE REACTIEVE KRAFTCONTROLE-RELAIS
19.100.1113,Mobiele kraan,Equipment,General,Sa,49.79,49.76,64.63,49.76,2,EUR,613.9,12.3354,1018,1013,CONSTRUCTION WORK,Bouw,Bouw,Glasvezelversterkte polyester (CTP) cilindrische waterdistricten
10.130.9991,Water,Material,General,m³,1.85,1.61,2.53,1.77,3,EUR,0.26,0.1285,927,679,CONSTRUCTION WORK,Bouw,Bouw,
19.100.1002,Graafmachine Beko (125 HP),Equipment,General,Sa,91.62,91.62,91.62,91.62,1,EUR,8.88,0.097,546,528,CONSTRUCTION WORK,Bouw,Bouw,
10.100.1060,Vormen,Labor,Labor,Sa,16.62,16.59,20.51,16.59,2,EUR,24.21,1.4311,539,398,CONSTRUCTION WORK,Bouw,Bouw,"Sluitsystemen (shiber) en Glop-kleppen; messing schroefdraad, vervaardigd volgen"
10.100.1063,Erbab werknemer,Labor,Labor,Sa,9.55,9.22,11.52,9.22,2,EUR,47.75,5.1657,507,371,CONSTRUCTION WORK,Bouw,Bouw,
