resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,General laborer,Labor,Labor,Sa,15.05,11.27,18.64,15.0,3,NZD,284.28,18.8776,16092,13864,CONSTRUCTION WORK,Construction,Construction,Construction of single-frame curtain wall with plasterboard (Single Wall C 75 pr
10.100.1082,Installation master,Labor,Labor,Sa,22.73,22.73,22.73,22.73,1,NZD,286.76,12.6182,5556,5540,EQUIPMENT INSTALLATION,Mechanical Installation,Mechanical Installation,Long spout and brass non-valve siphon
10.100.1084,Installation assistant foreman,Labor,Labor,Sa,16.82,16.82,16.82,16.82,1,NZD,226.52,13.4696,5215,5199,EQUIPMENT INSTALLATION,Mechanical Installation,Mechanical Installation,Long spout and brass non-valve siphon
10.100.1081,Electrician,Labor,Labor,Sa,22.73,22.73,22.73,22.73,1,NZD,529.6,23.3038,4719,4619,EQUIPMENT INSTALLATION,Electrical Installation,Electrical Installation,Depth at least 400 mm
10.100.1083,Electrician assistant,Labor,Labor,Sa,16.82,16.82,16.82,16.82,1,NZD,397.5,23.6369,4633,4633,EQUIPMENT INSTALLATION,Electrical Installation,Electrical Installation,Depth at least 400 mm
10.100.1055,Operator machinist,Labor,Labor,Sa,26.03,25.91,32.27,25.91,2,NZD,240.24,9.2702,3446,2481,CONSTRUCTION WORK,Construction,Construction,Fiberglass Reinforced Polyester (FRP) Cylindrical Water Tanks
01.V04,Specialist Master,Material,General,SA,32.27,32.27,32.27,32.27,1,NZD,1182.05,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),Ministry of Culture and Tourism (Ancient Artifact / Restoration),
19.100.1112,Forklift,Equipment,General,Sa,62.54,62.54,62.54,62.54,1,NZD,427.37,6.834,1973,1968,CONSTRUCTION WORK,Construction,Construction,Polyethylene Water Tanks
10.100.1050,Pipe fitter,Labor,Labor,Sa,23.05,22.73,28.18,22.73,2,NZD,80.48,3.3658,1827,1827,CONSTRUCTION WORK,Construction,Construction,
01.V06/01,Restoration Rough Labour,Material,General,SA,15.0,15.0,15.0,15.0,1,NZD,60.14,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),Ministry of Culture and Tourism (Ancient Artifact / Restoration),
01.V05,Specialist Assistant Craftsmen,Material,General,SA,22.27,22.27,22.27,22.27,1,NZD,544.87,24.4652,1346,814,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),Ministry of Culture and Tourism (Ancient Artifact / Restoration),
10.100.1091,"Test, Adjustment and Commissioning Specialist",Labor,Labor,Sa,63.63,63.63,63.63,63.63,1,NZD,1896.69,29.8071,1239,1239,EQUIPMENT INSTALLATION,Electrical Installation,Electrical Installation,SINGLE-PHASE REACTIVE POWER CONTROL RELAYS
19.100.1113,Mobile crane,Equipment,General,Sa,98.21,98.15,127.49,98.15,2,NZD,1210.88,12.3354,1018,1013,CONSTRUCTION WORK,Construction,Construction,Fiberglass Reinforced Polyester (FRP) Cylindrical Water Tanks
10.130.9991,Water,Material,General,m³,3.65,3.18,5.0,3.5,3,NZD,0.52,0.1285,927,679,CONSTRUCTION WORK,Construction,Construction,
19.100.1002,Excavator Beko (125 HP),Equipment,General,Sa,180.72,180.72,180.72,180.72,1,NZD,17.52,0.097,546,528,CONSTRUCTION WORK,Construction,Construction,
10.100.1060,Foreman,Labor,Labor,Sa,32.78,32.73,40.45,32.73,2,NZD,47.75,1.4311,539,398,CONSTRUCTION WORK,Construction,Construction,"Sliding (gate) and Glop Valves; brass threaded, manufactured by pressing accordi"
10.100.1063,Skilled laborer,Labor,Labor,Sa,18.83,18.18,22.73,18.18,2,NZD,94.17,5.1657,507,371,CONSTRUCTION WORK,Construction,Construction,
10.100.1068,First-class master craftsman,Labor,Labor,Sa,22.49,17.27,28.18,22.73,3,NZD,33.67,1.3882,469,399,CONSTRUCTION WORK,Construction,Construction,
10.100.1049,Pipefitter assistant,Labor,Labor,Sa,17.94,16.82,20.91,16.82,2,NZD,105.96,5.4792,396,396,CONSTRUCTION WORK,Construction,Construction,
