resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,Zwykły robotnik,Labor,Labor,Sa,20.13,15.07,24.92,20.06,3,PLN,380.13,18.8776,16092,13864,CONSTRUCTION WORK,Budownictwo,,Wykonanie ściany osłonowej z pojedynczym szkieletem z płyty gipsowo-kartonowej (
10.100.1082,Specjalista ds. instalacji,Labor,Labor,Sa,30.39,30.39,30.39,30.39,1,PLN,383.44,12.6182,5556,5540,EQUIPMENT INSTALLATION,Instalacje mechaniczne,,Użycie długiego kranu i mosiężnej bezdźwigniowej syfonu
10.100.1084,Asystent murarza,Labor,Labor,Sa,22.49,22.49,22.49,22.49,1,PLN,302.89,13.4696,5215,5199,EQUIPMENT INSTALLATION,Instalacje mechaniczne,,Użycie długiego kranu i mosiężnej bezdźwigniowej syfonu
10.100.1081,elektryk,Labor,Labor,Sa,30.39,30.39,30.39,30.39,1,PLN,708.15,23.3038,4719,4619,EQUIPMENT INSTALLATION,Instalacja elektryczna,,Głębokość co najmniej 400 mm
10.100.1083,Pomocnik elektryka,Labor,Labor,Sa,22.49,22.49,22.49,22.49,1,PLN,531.52,23.6369,4633,4633,EQUIPMENT INSTALLATION,Instalacja elektryczna,,Głębokość co najmniej 400 mm
10.100.1055,Operator maszynowy,Labor,Labor,Sa,34.81,34.64,43.15,34.64,2,PLN,321.24,9.2702,3446,2481,CONSTRUCTION WORK,Budownictwo,,Poliester wzmocniony włóknem szklanym (CTP) cylindryczne zbiorniki na wodę
01.V04,Mistrz specjalista,Material,General,SA,43.15,43.15,43.15,43.15,1,PLN,1580.58,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Ministerstwo Kultury i Turystyki (Zabytki / Restauracja),,
19.100.1112,Wózek widłowy,Equipment,General,Sa,83.62,83.62,83.62,83.62,1,PLN,571.46,6.834,1973,1968,CONSTRUCTION WORK,Budownictwo,,Polietylenowe zbiorniki na wodę
10.100.1050,Mistrz rur,Labor,Labor,Sa,30.82,30.39,37.68,30.39,2,PLN,107.61,3.3658,1827,1827,CONSTRUCTION WORK,Budownictwo,,
01.V06/01,Prace wykończeniowe przy renowacji,Material,General,SA,20.06,20.06,20.06,20.06,1,PLN,80.42,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Ministerstwo Kultury i Turystyki (Zabytki / Restauracja),,
01.V05,Asystenci wykwalifikowanych majstrów,Material,General,SA,29.78,29.78,29.78,29.78,1,PLN,728.57,24.4652,1346,814,RESTORATION/HERITAGE WORK,Ministerstwo Kultury i Turystyki (Zabytki / Restauracja),,
10.100.1091,"Specjalista ds. testów, kalibracji i uruchamiania",Labor,Labor,Sa,85.09,85.09,85.09,85.09,1,PLN,2536.15,29.8071,1239,1239,EQUIPMENT INSTALLATION,Instalacja elektryczna,,RELE REAKTYWNEJ MOCY FAZY JEDNEJ
19.100.1113,Wciągnik mobilny,Equipment,General,Sa,131.32,131.25,170.47,131.25,2,PLN,1619.12,12.3354,1018,1013,CONSTRUCTION WORK,Budownictwo,,Poliester wzmocniony włóknem szklanym (CTP) cylindryczne zbiorniki na wodę
10.130.9991,Woda,Material,General,m³,4.88,4.25,6.69,4.68,3,PLN,0.7,0.1285,927,679,CONSTRUCTION WORK,Budownictwo,,
19.100.1002,Ekskawator Beko (125 HP),Equipment,General,Sa,241.64,241.64,241.64,241.64,1,PLN,23.43,0.097,546,528,CONSTRUCTION WORK,Budownictwo,,
10.100.1060,Formy,Labor,Labor,Sa,43.84,43.76,54.09,43.76,2,PLN,63.86,1.4311,539,398,CONSTRUCTION WORK,Budownictwo,,"Zawory przesuwne (siberowe) i zawory Glop; wykonane z mosiądzu na gwint, wyprodu"
10.100.1063,Robotnik,Labor,Labor,Sa,25.17,24.31,30.39,24.31,2,PLN,125.93,5.1657,507,371,CONSTRUCTION WORK,Budownictwo,,
10.100.1068,Mistrz pierwszej klasy,Labor,Labor,Sa,30.08,23.09,37.68,30.39,3,PLN,45.03,1.3882,469,399,CONSTRUCTION WORK,Budownictwo,,
10.100.1049,Pomocnik mistrza hydraulika,Labor,Labor,Sa,23.98,22.49,27.96,22.49,2,PLN,141.68,5.4792,396,396,CONSTRUCTION WORK,Budownictwo,,
10.100.1021,Specjalista ds. źródeł,Labor,Labor,Sa,32.34,23.09,37.68,30.39,3,PLN,618.87,19.5521,394,285,MACHINE RATE,Analiza stawki godzinowej dla maszyn,,
10.100.1064,Czeladnik,Labor,Labor,Sa,20.07,15.07,24.92,20.06,3,PLN,35.97,1.7933,376,130,CONSTRUCTION WORK,Budownictwo,,
10.100.1013,Murarz,Labor,Labor,Sa,30.78,23.09,37.68,30.39,3,PLN,24.39,0.7882,375,341,CONSTRUCTION WORK,Budownictwo,,
10.420.1012,Śruba i plastikowy kołek,Material,General,Ad,0.18,0.12,0.18,0.18,2,PLN,2.79,15.2894,356,265,CONSTRUCTION WORK,Budownictwo,,Wykonanie ściany osłonowej z pojedynczym szkieletem z płyty gipsowo-kartonowej (
10.160.1035,Elektrot,Material,General,Ad,0.21,0.15,0.23,0.19,3,PLN,25.51,117.7585,345,272,MACHINE RATE,Analiza stawki godzinowej dla maszyn,,
10.160.1026,Olej napędowy,Material,General,Kg,5.6,5.33,6.89,5.33,2,PLN,80.29,14.3654,331,98,MACHINE RATE,Analiza stawki godzinowej dla maszyn,,
10.300.1602,papier ścierny,Material,General,Ad,0.79,0.43,0.79,0.79,2,PLN,11.77,14.9103,269,101,CONSTRUCTION WORK,Budownictwo,,
10.100.1069,Pierwszej klasy pomocnik mistrza,Labor,Labor,Sa,22.31,17.02,22.49,22.49,2,PLN,80.25,3.5892,265,224,CONSTRUCTION WORK,Budownictwo,,
10.100.1015,Betoniarz,Labor,Labor,Sa,33.18,30.39,37.68,30.39,2,PLN,160.02,5.1905,265,103,CONSTRUCTION WORK,Budownictwo,,
10.100.1010,Specjalista ds. izolacji,Labor,Labor,Sa,30.19,23.09,37.68,30.39,3,PLN,20.54,0.6794,255,219,CONSTRUCTION WORK,Budownictwo,,"Izolacja z włókien szklanych na powierzchniach metalowych, takich jak zbiorniki;"
10.100.1057,Asystent operatora,Labor,Labor,Sa,31.06,29.17,36.47,29.17,2,PLN,23.6,0.7701,241,209,MACHINE RATE,Analiza stawki godzinowej dla maszyn,,
10.100.1023,malarz,Labor,Labor,Sa,30.36,23.09,30.39,30.39,2,PLN,1474.01,48.5073,238,122,CONSTRUCTION WORK,Budownictwo,,"Malowanie rur, farbą olejną;"
