resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,Operário comum,Labor,Labor,Sa,5.46,4.09,6.76,5.44,3,EUR,103.11,18.8776,16092,13864,CONSTRUCTION WORK,Construção,Construção,Construção de parede de revestimento com placa de gesso com estrutura única (Per
10.100.1082,Mestre de instalação,Labor,Labor,Sa,8.24,8.24,8.24,8.24,1,EUR,104.0,12.6182,5556,5540,EQUIPMENT INSTALLATION,Instalações Mecânicas,Instalações Mecânicas,Sifão com tubo longo e comando de latão sem alavanca
10.100.1084,Assistente de mestre de instalação,Labor,Labor,Sa,6.1,6.1,6.1,6.1,1,EUR,82.15,13.4696,5215,5199,EQUIPMENT INSTALLATION,Instalações Mecânicas,Instalações Mecânicas,Sifão com tubo longo e comando de latão sem alavanca
10.100.1081,Eletricista,Labor,Labor,Sa,8.24,8.24,8.24,8.24,1,EUR,192.08,23.3038,4719,4619,EQUIPMENT INSTALLATION,Instalação elétrica,Instalação elétrica,Profundidade de pelo menos 400 mm
10.100.1083,Assistente de mestre de eletricidade,Labor,Labor,Sa,6.1,6.1,6.1,6.1,1,EUR,144.17,23.6369,4633,4633,EQUIPMENT INSTALLATION,Instalação elétrica,Instalação elétrica,Profundidade de pelo menos 400 mm
10.100.1055,Operador de máquinas,Labor,Labor,Sa,9.44,9.4,11.7,9.4,2,EUR,87.13,9.2702,3446,2481,CONSTRUCTION WORK,Construção,Construção,Tanque de armazenamento de água cilíndrico com poliéster reforçado com fibra de 
01.V04,Mestre Especialista,Material,General,SA,11.7,11.7,11.7,11.7,1,EUR,428.71,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Cultura e Turismo B. (Antiguidades / Restauro),Cultura e Turismo B. (Antiguidades / Restauro),
19.100.1112,Empilhadeira,Equipment,General,Sa,22.68,22.68,22.68,22.68,1,EUR,155.0,6.834,1973,1968,CONSTRUCTION WORK,Construção,Construção,Tanques de água de polietileno
10.100.1050,Mestre de carpinteiro,Labor,Labor,Sa,8.36,8.24,10.22,8.24,2,EUR,29.19,3.3658,1827,1827,CONSTRUCTION WORK,Construção,Construção,
01.V06/01,Trabalho de reparo de restauração,Material,General,SA,5.44,5.44,5.44,5.44,1,EUR,21.81,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Cultura e Turismo B. (Antiguidades / Restauro),Cultura e Turismo B. (Antiguidades / Restauro),
01.V05,Assistentes de Mestre Especialista,Material,General,SA,8.08,8.08,8.08,8.08,1,EUR,197.62,24.4652,1346,814,RESTORATION/HERITAGE WORK,Cultura e Turismo B. (Antiguidades / Restauro),Cultura e Turismo B. (Antiguidades / Restauro),
10.100.1091,"Teste, Ajuste e Especialista em Comissionamento",Labor,Labor,Sa,23.08,23.08,23.08,23.08,1,EUR,687.9,29.8071,1239,1239,EQUIPMENT INSTALLATION,Instalação elétrica,Instalação elétrica,RELEÓGIO DE CONTROLE DE POTÊNCIA REATIVA MONOFÁSICO
19.100.1113,Guindaste móvel,Equipment,General,Sa,35.62,35.6,46.24,35.6,2,EUR,439.17,12.3354,1018,1013,CONSTRUCTION WORK,Construção,Construção,Tanque de armazenamento de água cilíndrico com poliéster reforçado com fibra de 
10.130.9991,Água,Material,General,m³,1.32,1.15,1.81,1.27,3,EUR,0.19,0.1285,927,679,CONSTRUCTION WORK,Construção,Construção,
19.100.1002,Escavadora Beko (125 HP),Equipment,General,Sa,65.54,65.54,65.54,65.54,1,EUR,6.36,0.097,546,528,CONSTRUCTION WORK,Construção,Construção,
