resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,Muncitor obișnuit,Labor,Labor,Sa,20.23,15.15,25.05,20.16,3,RON,382.08,18.8776,16092,13864,CONSTRUCTION WORK,Construcție,,Se construiește un perete de placaj cu un singur schelet (Profil C 75 - distanță
10.100.1082,Instalator,Labor,Labor,Sa,30.54,30.54,30.54,30.54,1,RON,385.41,12.6182,5556,5540,EQUIPMENT INSTALLATION,Instalații mecanice,,Sifon cu lungă țeavă și comandă din alamă fără buton
10.100.1084,Asistent de instalare,Labor,Labor,Sa,22.6,22.6,22.6,22.6,1,RON,304.44,13.4696,5215,5199,EQUIPMENT INSTALLATION,Instalații mecanice,,Sifon cu lungă țeavă și comandă din alamă fără buton
10.100.1081,Electrician,Labor,Labor,Sa,30.54,30.54,30.54,30.54,1,RON,711.79,23.3038,4719,4619,EQUIPMENT INSTALLATION,Instalație electrică,,Adâncimea minim 400 mm
10.100.1083,Asistent electrician,Labor,Labor,Sa,22.6,22.6,22.6,22.6,1,RON,534.25,23.6369,4633,4633,EQUIPMENT INSTALLATION,Instalație electrică,,Adâncimea minim 400 mm
10.100.1055,Operator de utilaje,Labor,Labor,Sa,34.98,34.82,43.37,34.82,2,RON,322.89,9.2702,3446,2481,CONSTRUCTION WORK,Construcție,,Poliester cu întărire din fibră de sticlă (CTP) pentru rezervoare de apă cilindr
01.V04,Meșter specializat,Material,General,SA,43.37,43.37,43.37,43.37,1,RON,1588.7,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Ministerul Culturii și Turismului (Restaurare / Conservare a monumentelor),,
19.100.1112,Stivuitor,Equipment,General,Sa,84.05,84.05,84.05,84.05,1,RON,574.4,6.834,1973,1968,CONSTRUCTION WORK,Construcție,,Rezervoare de apă din polietilenă
10.100.1050,Zidar,Labor,Labor,Sa,30.98,30.54,37.87,30.54,2,RON,108.16,3.3658,1827,1827,CONSTRUCTION WORK,Construcție,,
01.V06/01,Lucru de restaurare și reparații,Material,General,SA,20.16,20.16,20.16,20.16,1,RON,80.84,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Ministerul Culturii și Turismului (Restaurare / Conservare a monumentelor),,
01.V05,Asistenți specializați pentru muncitori auxiliari,Material,General,SA,29.93,29.93,29.93,29.93,1,RON,732.32,24.4652,1346,814,RESTORATION/HERITAGE WORK,Ministerul Culturii și Turismului (Restaurare / Conservare a monumentelor),,
10.100.1091,"Specialist în Testare, Ajustare și Punere în Funcțiune",Labor,Labor,Sa,85.52,85.52,85.52,85.52,1,RON,2549.18,29.8071,1239,1239,EQUIPMENT INSTALLATION,Instalație electrică,,RELEE REACTIV CU UNIC FAZĂ DE CONTROL AL PUTERII
19.100.1113,Macara mobilă,Equipment,General,Sa,132.0,131.92,171.34,131.92,2,RON,1627.44,12.3354,1018,1013,CONSTRUCTION WORK,Construcție,,Poliester cu întărire din fibră de sticlă (CTP) pentru rezervoare de apă cilindr
10.130.9991,Apă,Material,General,m³,4.91,4.28,6.72,4.7,3,RON,0.7,0.1285,927,679,CONSTRUCTION WORK,Construcție,,
19.100.1002,Excavator Beko (125 HP),Equipment,General,Sa,242.89,242.89,242.89,242.89,1,RON,23.55,0.097,546,528,CONSTRUCTION WORK,Construcție,,
10.100.1060,Forme,Labor,Labor,Sa,44.06,43.98,54.37,43.98,2,RON,64.18,1.4311,539,398,CONSTRUCTION WORK,Construcție,,"Supape glisante (șiber) și supape Glop; filetate din alamă, fabricate prin presa"
10.100.1063,Muncitor calificat,Labor,Labor,Sa,25.3,24.44,30.54,24.44,2,RON,126.57,5.1657,507,371,CONSTRUCTION WORK,Construcție,,
10.100.1068,meșteșugar de primă clasă,Labor,Labor,Sa,30.23,23.21,37.87,30.54,3,RON,45.26,1.3882,469,399,CONSTRUCTION WORK,Construcție,,
10.100.1049,Asistent de instalator,Labor,Labor,Sa,24.11,22.6,28.1,22.6,2,RON,142.41,5.4792,396,396,CONSTRUCTION WORK,Construcție,,
10.100.1021,meseriaș de resurse,Labor,Labor,Sa,32.5,23.21,37.87,30.54,3,RON,622.05,19.5521,394,285,MACHINE RATE,Analiza tarifelor orare pentru mașini,,
