resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,Обычный рабочий,Labor,Labor,Sa,302.63,226.61,374.64,301.54,3,RUB,5715.24,18.8776,16092,13864,CONSTRUCTION WORK,Строительство,Строительство,Установка гипсокартонных стен с одним каркасом (Профиль Тек Дувар C 75 - шаг 60 
10.100.1082,Слесарь по сантехнике,Labor,Labor,Sa,456.88,456.88,456.88,456.88,1,RUB,5764.97,12.6182,5556,5540,EQUIPMENT INSTALLATION,Механические системы,Механические системы,Длинный кран и латунная безкнопочная сливная арматура
10.100.1084,Помощник мастера по монтажу,Labor,Labor,Sa,338.09,338.09,338.09,338.09,1,RUB,4553.91,13.4696,5215,5199,EQUIPMENT INSTALLATION,Механические системы,Механические системы,Длинный кран и латунная безкнопочная сливная арматура
10.100.1081,Электрик,Labor,Labor,Sa,456.88,456.88,456.88,456.88,1,RUB,10646.97,23.3038,4719,4619,EQUIPMENT INSTALLATION,Электрическая установка,Электрическая установка,Глубина не менее 400 mm
10.100.1083,Помощник электрика,Labor,Labor,Sa,338.09,338.09,338.09,338.09,1,RUB,7991.37,23.6369,4633,4633,EQUIPMENT INSTALLATION,Электрическая установка,Электрическая установка,Глубина не менее 400 mm
10.100.1055,Оператор машины,Labor,Labor,Sa,523.3,520.84,648.77,520.84,2,RUB,4829.85,9.2702,3446,2481,CONSTRUCTION WORK,Строительство,Строительство,Стекловолоконный армированный полиэстер (CTP) цилиндрические водонапорные баки
01.V04,Специалист-мастер,Material,General,SA,648.77,648.77,648.77,648.77,1,RUB,23763.94,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Министерство культуры и туризма (Культурное наследие / Реставрация),Министерство культуры и туризма (Культурное наследие / Реставрация),
19.100.1112,Вилочный погрузчик,Equipment,General,Sa,1257.23,1257.23,1257.23,1257.23,1,RUB,8591.91,6.834,1973,1968,CONSTRUCTION WORK,Строительство,Строительство,Полимерные резервуары для воды
10.100.1050,Мастер по бетону,Labor,Labor,Sa,463.37,456.88,566.53,456.88,2,RUB,1617.91,3.3658,1827,1827,CONSTRUCTION WORK,Строительство,Строительство,
01.V06/01,"Реставрационные работы, простая рабочая сила",Material,General,SA,301.54,301.54,301.54,301.54,1,RUB,1209.14,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Министерство культуры и туризма (Культурное наследие / Реставрация),Министерство культуры и туризма (Культурное наследие / Реставрация),
