resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,Ouvrier général,Labor,Labor,Sa,2127.85,1593.36,2634.18,2120.19,3,XOF,40185.26,18.8776,16092,13864,CONSTRUCTION WORK,Construction,Construction,Construction d'un mur de revêtement à ossature unique en plaque de plâtre (Profi
10.100.1082,Technicien en installation,Labor,Labor,Sa,3212.41,3212.41,3212.41,3212.41,1,XOF,40534.9,12.6182,5556,5540,EQUIPMENT INSTALLATION,Installation mécanique,Installation mécanique,Soupape à longue portée et commande en laiton sans siphon
10.100.1084,Aide de maçon,Labor,Labor,Sa,2377.19,2377.19,2377.19,2377.19,1,XOF,32019.65,13.4696,5215,5199,EQUIPMENT INSTALLATION,Installation mécanique,Installation mécanique,Soupape à longue portée et commande en laiton sans siphon
10.100.1081,Électricien,Labor,Labor,Sa,3212.41,3212.41,3212.41,3212.41,1,XOF,74861.42,23.3038,4719,4619,EQUIPMENT INSTALLATION,Installation électrique,Installation électrique,Profondeur d'au moins 400 mm
10.100.1083,Aide électricien,Labor,Labor,Sa,2377.19,2377.19,2377.19,2377.19,1,XOF,56189.24,23.6369,4633,4633,EQUIPMENT INSTALLATION,Installation électrique,Installation électrique,Profondeur d'au moins 400 mm
10.100.1055,Opérateur de machine,Labor,Labor,Sa,3679.46,3662.15,4561.63,3662.15,2,XOF,33959.86,9.2702,3446,2481,CONSTRUCTION WORK,Construction,Construction,Réservoirs d'eau cylindriques en polyester renforcé de fibre de verre (CTP)
01.V04,Maître spécialisé,Material,General,SA,4561.63,4561.63,4561.63,4561.63,1,XOF,167090.06,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Ministère de la Culture et du Tourisme (Monuments historiques / Restauration),Ministère de la Culture et du Tourisme (Monuments historiques / Restauration),
19.100.1112,Chariot élévateur,Equipment,General,Sa,8839.92,8839.92,8839.92,8839.92,1,XOF,60411.84,6.834,1973,1968,CONSTRUCTION WORK,Construction,Construction,Réservoirs d'eau en polyéthylène
10.100.1050,Maçon,Labor,Labor,Sa,3258.04,3212.41,3983.39,3212.41,2,XOF,11375.92,3.3658,1827,1827,CONSTRUCTION WORK,Construction,Construction,
01.V06/01,Travailleur de finition pour restauration,Material,General,SA,2120.19,2120.19,2120.19,2120.19,1,XOF,8501.79,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Ministère de la Culture et du Tourisme (Monuments historiques / Restauration),Ministère de la Culture et du Tourisme (Monuments historiques / Restauration),
01.V05,Assistants de maître spécialisé,Material,General,SA,3148.17,3148.17,3148.17,3148.17,1,XOF,77020.66,24.4652,1346,814,RESTORATION/HERITAGE WORK,Ministère de la Culture et du Tourisme (Monuments historiques / Restauration),Ministère de la Culture et du Tourisme (Monuments historiques / Restauration),
10.100.1091,"Spécialiste des tests, des réglages et de la mise en service",Labor,Labor,Sa,8994.76,8994.76,8994.76,8994.76,1,XOF,268108.12,29.8071,1239,1239,EQUIPMENT INSTALLATION,Installation électrique,Installation électrique,RÔLES DE COMMANDE DE PUISSANCE RÉACTIVE MONOPHASÉE
19.100.1113,Grue mobile,Equipment,General,Sa,13882.82,13874.68,18021.0,13874.68,2,XOF,171165.03,12.3354,1018,1013,CONSTRUCTION WORK,Construction,Construction,Réservoirs d'eau cylindriques en polyester renforcé de fibre de verre (CTP)
10.130.9991,Eau,Material,General,m³,516.31,449.74,706.73,494.71,3,XOF,73.71,0.1285,927,679,CONSTRUCTION WORK,Construction,Construction,
19.100.1002,Excavatrice Beko (125 HP),Equipment,General,Sa,25545.25,25545.25,25545.25,25545.25,1,XOF,2477.04,0.097,546,528,CONSTRUCTION WORK,Construction,Construction,
10.100.1060,Formes,Labor,Labor,Sa,4634.07,4625.88,5718.1,4625.88,2,XOF,6750.43,1.4311,539,398,CONSTRUCTION WORK,Construction,Construction,"Vannes à glissière (à soufflet) et vannes Glop ; en laiton à vis, fabriquées sel"
10.100.1063,Ouvrier,Labor,Labor,Sa,2661.35,2569.93,3212.41,2569.93,2,XOF,13312.15,5.1657,507,371,CONSTRUCTION WORK,Construction,Construction,
10.100.1068,Maçon de première classe,Labor,Labor,Sa,3179.42,2441.44,3983.39,3212.41,3,XOF,4759.82,1.3882,469,399,CONSTRUCTION WORK,Construction,Construction,
10.100.1049,Aide de plombier,Labor,Labor,Sa,2535.29,2377.19,2955.42,2377.19,2,XOF,14977.38,5.4792,396,396,CONSTRUCTION WORK,Construction,Construction,
10.100.1021,ouvrier en approvisionnement,Labor,Labor,Sa,3418.4,2441.44,3983.39,3212.41,3,XOF,65424.03,19.5521,394,285,MACHINE RATE,Analyse des coûts horaires des machines,Analyse des coûts horaires des machines,
10.100.1064,Apprenti,Labor,Labor,Sa,2121.39,1593.36,2634.18,2120.19,3,XOF,3802.33,1.7933,376,130,CONSTRUCTION WORK,Construction,Construction,
10.100.1013,Maçon,Labor,Labor,Sa,3253.64,2441.44,3983.39,3212.41,3,XOF,2578.06,0.7882,375,341,CONSTRUCTION WORK,Construction,Construction,
10.420.1012,Vis et cheville en plastique,Material,General,Ad,19.15,12.85,19.27,19.27,2,XOF,294.43,15.2894,356,265,CONSTRUCTION WORK,Construction,Construction,Construction d'un mur de revêtement à ossature unique en plaque de plâtre (Profi
10.160.1035,Électrot,Material,General,Ad,21.84,16.19,24.67,20.56,3,XOF,2696.32,117.7585,345,272,MACHINE RATE,Analyse des coûts horaires des machines,Analyse des coûts horaires des machines,
10.160.1026,Gazole,Material,General,Kg,591.78,563.33,728.06,563.33,2,XOF,8488.08,14.3654,331,98,MACHINE RATE,Analyse des coûts horaires des machines,Analyse des coûts horaires des machines,
10.300.1602,papier de verre,Material,General,Ad,83.24,44.97,83.52,83.52,2,XOF,1244.6,14.9103,269,101,CONSTRUCTION WORK,Construction,Construction,
10.100.1069,Aide de maître de première classe,Labor,Labor,Sa,2358.07,1798.95,2377.19,2377.19,2,XOF,8484.05,3.5892,265,224,CONSTRUCTION WORK,Construction,Construction,
10.100.1015,Maçon,Labor,Labor,Sa,3507.37,3212.41,3983.39,3212.41,2,XOF,16916.91,5.1905,265,103,CONSTRUCTION WORK,Construction,Construction,
10.100.1010,Spécialiste en isolation,Labor,Labor,Sa,3191.17,2441.44,3983.39,3212.41,3,XOF,2171.79,0.6794,255,219,CONSTRUCTION WORK,Construction,Construction,Isolation en fibro-verre sur surfaces métalliques telles que des dépôts;
10.100.1057,Assistant opérateur,Labor,Labor,Sa,3283.09,3083.92,3854.9,3083.92,2,XOF,2494.44,0.7701,241,209,MACHINE RATE,Analyse des coûts horaires des machines,Analyse des coûts horaires des machines,
10.100.1023,Peintre,Labor,Labor,Sa,3209.18,2441.44,3212.41,3212.41,2,XOF,155824.83,48.5073,238,122,CONSTRUCTION WORK,Construction,Construction,"Peinture de tuyaux, avec de la peinture à l'huile;"
10.110.1003,"Coefficient de transport pour tous types et tonnages de véhicules motorisés (0,0004xK) 0,0004 %... La marge de l'entrepreneur et les frais généraux ""a"" sont calculés selon la formule générale de transport : (F= 0,00017xKxA x B x √¯M) TL/tonne. Le prix de transport dans les barrages est déterminé sur la base du m3. Étant donné que la densité moyenne des matériaux transportés dans les travaux de barrage est acceptée comme étant de 1,88 tonne/m3, cette formule est : F= 1,88x0,00017xKxA x B x √¯M) TL/m3. K : Coefficient (10.110.1003). K= Coefficient de transport (10.110.1003). A=1,25 et B=1,00 pour le transport de matériaux de remblai ; F= 1,88x0,00017xKx1,25x1x√¯M) TL/m3. F=0,0004xKx√¯M) TL/tonne. a=0,0004 K. Transport routier.",Material,General,ton,29958.39,22486.9,30389.44,30389.44,2,XOF,84.96,0.0028,223,70,WATER/DAM/IRRIGATION WORK,Direction Générale des Eaux (Analyses et Tarifs),Direction Générale des Eaux (Analyses et Tarifs),
10.100.1054,Conducteur de machine,Labor,Labor,Sa,3223.59,3212.41,3983.39,3212.41,2,XOF,38612.19,12.0168,215,116,CONSTRUCTION WORK,Construction,Construction,
