resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,คนงานทั่วไป,Labor,Labor,Sa,103.14,77.23,127.68,102.77,3,THB,1947.83,18.8776,16092,13864,CONSTRUCTION WORK,งานก่อสร้าง,งานก่อสร้าง,การติดตั้งผนังปิดผนึกด้วยแผ่นยิปซัมแบบโครงสร้างเดียว (โปรไฟล์ C 75 เส้น - ระยะห่
10.100.1082,ช่างติดตั้งระบบ,Labor,Labor,Sa,155.71,155.71,155.71,155.71,1,THB,1964.78,12.6182,5556,5540,EQUIPMENT INSTALLATION,งานระบบเครื่องกล,งานระบบเครื่องกล,ชักโครกแบบมีท่อน้ำยาวและไม่มีคอนโทรลทองเหลือง
10.100.1084,ผู้ช่วยช่างติดตั้งระบบ,Labor,Labor,Sa,115.23,115.23,115.23,115.23,1,THB,1552.03,13.4696,5215,5199,EQUIPMENT INSTALLATION,งานระบบเครื่องกล,งานระบบเครื่องกล,ชักโครกแบบมีท่อน้ำยาวและไม่มีคอนโทรลทองเหลือง
10.100.1081,ช่างไฟฟ้า,Labor,Labor,Sa,155.71,155.71,155.71,155.71,1,THB,3628.63,23.3038,4719,4619,EQUIPMENT INSTALLATION,งานระบบไฟฟ้า,งานระบบไฟฟ้า,ความลึกอย่างน้อย 400 มม
10.100.1083,ผู้ช่วยช่างไฟฟ้า,Labor,Labor,Sa,115.23,115.23,115.23,115.23,1,THB,2723.56,23.6369,4633,4633,EQUIPMENT INSTALLATION,งานระบบไฟฟ้า,งานระบบไฟฟ้า,ความลึกอย่างน้อย 400 มม
10.100.1055,พนักงานควบคุมเครื่องจักร,Labor,Labor,Sa,178.35,177.51,221.11,177.51,2,THB,1646.08,9.2702,3446,2481,CONSTRUCTION WORK,งานก่อสร้าง,งานก่อสร้าง,ฉนวนใยแก้วซ้อนทับโพลีเอสเตอร์ (CTP) ถังเก็บน้ำแบบทรงกระบอก
01.V04,ช่างผู้เชี่ยวชาญ,Material,General,SA,221.11,221.11,221.11,221.11,1,THB,8099.07,36.6295,2675,1081,RESTORATION/HERITAGE WORK,กระทรวงวัฒนธรรมและการท่องเที่ยว (โบราณสถาน / การบูรณะ),กระทรวงวัฒนธรรมและการท่องเที่ยว (โบราณสถาน / การบูรณะ),
19.100.1112,รถฟอร์คลิฟต์,Equipment,General,Sa,428.48,428.48,428.48,428.48,1,THB,2928.24,6.834,1973,1968,CONSTRUCTION WORK,งานก่อสร้าง,งานก่อสร้าง,ถังเก็บน้ำพลาสติกโพลีเอทิลีน
10.100.1050,ช่างท่อ,Labor,Labor,Sa,157.92,155.71,193.08,155.71,2,THB,551.41,3.3658,1827,1827,CONSTRUCTION WORK,งานก่อสร้าง,งานก่อสร้าง,
01.V06/01,งานซ่อมแซมพื้นฐานสำหรับแรงงานช่างซ่อมแซม,Material,General,SA,102.77,102.77,102.77,102.77,1,THB,412.09,4.0099,1687,1623,RESTORATION/HERITAGE WORK,กระทรวงวัฒนธรรมและการท่องเที่ยว (โบราณสถาน / การบูรณะ),กระทรวงวัฒนธรรมและการท่องเที่ยว (โบราณสถาน / การบูรณะ),
01.V05,ผู้ช่วยช่างผู้เชี่ยวชาญ,Material,General,SA,152.6,152.6,152.6,152.6,1,THB,3733.29,24.4652,1346,814,RESTORATION/HERITAGE WORK,กระทรวงวัฒนธรรมและการท่องเที่ยว (โบราณสถาน / การบูรณะ),กระทรวงวัฒนธรรมและการท่องเที่ยว (โบราณสถาน / การบูรณะ),
10.100.1091,ผู้เชี่ยวชาญด้านการทดสอบ การปรับตั้ง และการเดินระบบ,Labor,Labor,Sa,435.99,435.99,435.99,435.99,1,THB,12995.54,29.8071,1239,1239,EQUIPMENT INSTALLATION,งานระบบไฟฟ้า,งานระบบไฟฟ้า,รีเลย์ควบคุมกำลังไฟฟ้าสถิตย์แบบโมโนเฟส
19.100.1113,รถเครนเคลื่อนที่,Equipment,General,Sa,672.92,672.52,873.5,672.52,2,THB,8296.59,12.3354,1018,1013,CONSTRUCTION WORK,งานก่อสร้าง,งานก่อสร้าง,ฉนวนใยแก้วซ้อนทับโพลีเอสเตอร์ (CTP) ถังเก็บน้ำแบบทรงกระบอก
10.130.9991,น้ำ,Material,General,m³,25.03,21.8,34.26,23.98,3,THB,3.57,0.1285,927,679,CONSTRUCTION WORK,งานก่อสร้าง,งานก่อสร้าง,
19.100.1002,รถขุด Beko (125 HP),Equipment,General,Sa,1238.21,1238.21,1238.21,1238.21,1,THB,120.07,0.097,546,528,CONSTRUCTION WORK,งานก่อสร้าง,งานก่อสร้าง,
10.100.1060,โฟร์แมน,Labor,Labor,Sa,224.62,224.22,277.16,224.22,2,THB,327.2,1.4311,539,398,CONSTRUCTION WORK,งานก่อสร้าง,งานก่อสร้าง,"วาล์วบานเลื่อน (ชิเบอร์) และ Glop; ทำจากทองเหลืองเกลียว, ผลิตตามมาตรฐาน (TS EN 1"
10.100.1063,ช่างชำนาญงาน,Labor,Labor,Sa,129.0,124.57,155.71,124.57,2,THB,645.26,5.1657,507,371,CONSTRUCTION WORK,งานก่อสร้าง,งานก่อสร้าง,
10.100.1068,ช่างฝีมือชั้นหนึ่ง,Labor,Labor,Sa,154.11,118.34,193.08,155.71,3,THB,230.71,1.3882,469,399,CONSTRUCTION WORK,งานก่อสร้าง,งานก่อสร้าง,
10.100.1049,ผู้ช่วยช่างท่อ,Labor,Labor,Sa,122.89,115.23,143.25,115.23,2,THB,725.97,5.4792,396,396,CONSTRUCTION WORK,งานก่อสร้าง,งานก่อสร้าง,
10.100.1021,ช่างเชื่อม,Labor,Labor,Sa,165.69,118.34,193.08,155.71,3,THB,3171.19,19.5521,394,285,MACHINE RATE,เครื่องจักร (การวิเคราะห์อัตรารายชั่วโมง),เครื่องจักร (การวิเคราะห์อัตรารายชั่วโมง),
10.100.1064,เด็กฝึกงาน,Labor,Labor,Sa,102.83,77.23,127.68,102.77,3,THB,184.3,1.7933,376,130,CONSTRUCTION WORK,งานก่อสร้าง,งานก่อสร้าง,
10.100.1013,ช่างก่ออิฐ,Labor,Labor,Sa,157.71,118.34,193.08,155.71,3,THB,124.96,0.7882,375,341,CONSTRUCTION WORK,งานก่อสร้าง,งานก่อสร้าง,
10.420.1012,สกรูและพุกพลาสติก,Material,General,Ad,0.93,0.62,0.93,0.93,2,THB,14.27,15.2894,356,265,CONSTRUCTION WORK,งานก่อสร้าง,งานก่อสร้าง,การติดตั้งผนังปิดผนึกด้วยแผ่นยิปซัมแบบโครงสร้างเดียว (โปรไฟล์ C 75 เส้น - ระยะห่
10.160.1035,อิเล็กโทรด,Material,General,Ad,1.06,0.78,1.2,1.0,3,THB,130.69,117.7585,345,272,MACHINE RATE,เครื่องจักร (การวิเคราะห์อัตรารายชั่วโมง),เครื่องจักร (การวิเคราะห์อัตรารายชั่วโมง),
10.160.1026,น้ำมันดีเซล,Material,General,Kg,28.68,27.31,35.29,27.31,2,THB,411.43,14.3654,331,98,MACHINE RATE,เครื่องจักร (การวิเคราะห์อัตรารายชั่วโมง),เครื่องจักร (การวิเคราะห์อัตรารายชั่วโมง),
10.300.1602,กระดาษทราย,Material,General,Ad,4.03,2.18,4.05,4.05,2,THB,60.33,14.9103,269,101,CONSTRUCTION WORK,งานก่อสร้าง,งานก่อสร้าง,
10.100.1069,ผู้ช่วยช่างฝีมือชั้นหนึ่ง,Labor,Labor,Sa,114.3,87.2,115.23,115.23,2,THB,411.23,3.5892,265,224,CONSTRUCTION WORK,งานก่อสร้าง,งานก่อสร้าง,
10.100.1015,ช่างเทคนิคคอนกรีต,Labor,Labor,Sa,170.01,155.71,193.08,155.71,2,THB,819.98,5.1905,265,103,CONSTRUCTION WORK,งานก่อสร้าง,งานก่อสร้าง,
10.100.1010,ช่างฉนวน,Labor,Labor,Sa,154.68,118.34,193.08,155.71,3,THB,105.27,0.6794,255,219,CONSTRUCTION WORK,งานก่อสร้าง,งานก่อสร้าง,ฉนวนกันความร้อนบนพื้นผิวโลหะเช่นถังเก็บโดยใช้โฟมแก้ว;
