resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,General laborer,Labor,Labor,Sa,12994.49,9730.41,16086.56,12947.72,3,UGX,245405.68,18.8776,16092,13864,CONSTRUCTION WORK,Construction,Construction,Construction of single-frame curtain wall with plasterboard (Single Wall C 75 pr
10.100.1082,Installation master,Labor,Labor,Sa,19617.76,19617.76,19617.76,19617.76,1,UGX,247540.85,12.6182,5556,5540,EQUIPMENT INSTALLATION,Mechanical Installation,Mechanical Installation,Long spout and brass non-valve siphon
10.100.1084,Installation assistant foreman,Labor,Labor,Sa,14517.14,14517.14,14517.14,14517.14,1,UGX,195539.46,13.4696,5215,5199,EQUIPMENT INSTALLATION,Mechanical Installation,Mechanical Installation,Long spout and brass non-valve siphon
10.100.1081,Electrician,Labor,Labor,Sa,19617.76,19617.76,19617.76,19617.76,1,UGX,457168.05,23.3038,4719,4619,EQUIPMENT INSTALLATION,Electrical Installation,Electrical Installation,Depth at least 400 mm
10.100.1083,Electrician assistant,Labor,Labor,Sa,14517.14,14517.14,14517.14,14517.14,1,UGX,343139.72,23.6369,4633,4633,EQUIPMENT INSTALLATION,Electrical Installation,Electrical Installation,Depth at least 400 mm
10.100.1055,Operator machinist,Labor,Labor,Sa,22469.91,22364.24,27857.22,22364.24,2,UGX,207388.05,9.2702,3446,2481,CONSTRUCTION WORK,Construction,Construction,Fiberglass Reinforced Polyester (FRP) Cylindrical Water Tanks
01.V04,Specialist Master,Material,General,SA,27857.22,27857.22,27857.22,27857.22,1,UGX,1020395.21,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),Ministry of Culture and Tourism (Ancient Artifact / Restoration),
19.100.1112,Forklift,Equipment,General,Sa,53984.15,53984.15,53984.15,53984.15,1,UGX,368926.51,6.834,1973,1968,CONSTRUCTION WORK,Construction,Construction,Polyethylene Water Tanks
10.100.1050,Pipe fitter,Labor,Labor,Sa,19896.38,19617.76,24326.02,19617.76,2,UGX,69471.1,3.3658,1827,1827,CONSTRUCTION WORK,Construction,Construction,
01.V06/01,Restoration Rough Labour,Material,General,SA,12947.72,12947.72,12947.72,12947.72,1,UGX,51919.19,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),Ministry of Culture and Tourism (Ancient Artifact / Restoration),
01.V05,Specialist Assistant Craftsmen,Material,General,SA,19225.4,19225.4,19225.4,19225.4,1,UGX,470354.22,24.4652,1346,814,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),Ministry of Culture and Tourism (Ancient Artifact / Restoration),
10.100.1091,"Test, Adjustment and Commissioning Specialist",Labor,Labor,Sa,54929.72,54929.72,54929.72,54929.72,1,UGX,1637298.1,29.8071,1239,1239,EQUIPMENT INSTALLATION,Electrical Installation,Electrical Installation,SINGLE-PHASE REACTIVE POWER CONTROL RELAYS
19.100.1113,Mobile crane,Equipment,General,Sa,84780.41,84730.67,110051.7,84730.67,2,UGX,1045280.45,12.3354,1018,1013,CONSTRUCTION WORK,Construction,Construction,Fiberglass Reinforced Polyester (FRP) Cylindrical Water Tanks
10.130.9991,Water,Material,General,m³,3153.04,2746.49,4315.91,3021.13,3,UGX,450.11,0.1285,927,679,CONSTRUCTION WORK,Construction,Construction,
19.100.1002,Excavator Beko (125 HP),Equipment,General,Sa,156001.2,156001.2,156001.2,156001.2,1,UGX,15126.93,0.097,546,528,CONSTRUCTION WORK,Construction,Construction,
10.100.1060,Foreman,Labor,Labor,Sa,28299.63,28249.57,34919.61,28249.57,2,UGX,41223.92,1.4311,539,398,CONSTRUCTION WORK,Construction,Construction,"Sliding (gate) and Glop Valves; brass threaded, manufactured by pressing accordi"
10.100.1063,Skilled laborer,Labor,Labor,Sa,16252.5,15694.21,19617.76,15694.21,2,UGX,81295.41,5.1657,507,371,CONSTRUCTION WORK,Construction,Construction,
10.100.1068,First-class master craftsman,Labor,Labor,Sa,19416.28,14909.5,24326.02,19617.76,3,UGX,29067.57,1.3882,469,399,CONSTRUCTION WORK,Construction,Construction,
10.100.1049,Pipefitter assistant,Labor,Labor,Sa,15482.63,14517.14,18048.34,14517.14,2,UGX,91464.73,5.4792,396,396,CONSTRUCTION WORK,Construction,Construction,
10.100.1021,Welder,Labor,Labor,Sa,20875.69,14909.5,24326.02,19617.76,3,UGX,399535.24,19.5521,394,285,MACHINE RATE,Machinery (Hourly Rate Analysis),Machinery (Hourly Rate Analysis),
10.100.1064,Apprentice,Labor,Labor,Sa,12955.04,9730.41,16086.56,12947.72,3,UGX,23220.29,1.7933,376,130,CONSTRUCTION WORK,Construction,Construction,
10.100.1013,Bricklayer,Labor,Labor,Sa,19869.54,14909.5,24326.02,19617.76,3,UGX,15743.86,0.7882,375,341,CONSTRUCTION WORK,Construction,Construction,
10.420.1012,Screw and plastic dowel,Material,General,Ad,116.94,78.47,117.71,117.71,2,UGX,1798.07,15.2894,356,265,CONSTRUCTION WORK,Construction,Construction,Construction of single-frame curtain wall with plasterboard (Single Wall C 75 pr
10.160.1035,Electrode,Material,General,Ad,133.36,98.87,150.66,125.55,3,UGX,16466.03,117.7585,345,272,MACHINE RATE,Machinery (Hourly Rate Analysis),Machinery (Hourly Rate Analysis),
10.160.1026,Diesel fuel,Material,General,Kg,3613.93,3440.17,4446.17,3440.17,2,UGX,51835.52,14.3654,331,98,MACHINE RATE,Machinery (Hourly Rate Analysis),Machinery (Hourly Rate Analysis),
10.300.1602,Sandpaper,Material,General,Ad,508.31,274.65,510.06,510.06,2,UGX,7600.61,14.9103,269,101,CONSTRUCTION WORK,Construction,Construction,
10.100.1069,First-class master assistant,Labor,Labor,Sa,14400.41,10985.94,14517.14,14517.14,2,UGX,51810.88,3.5892,265,224,CONSTRUCTION WORK,Construction,Construction,
10.100.1015,Concrete mason,Labor,Labor,Sa,21419.03,19617.76,24326.02,19617.76,2,UGX,103309.14,5.1905,265,103,CONSTRUCTION WORK,Construction,Construction,
10.100.1010,Insulation master craftsman,Labor,Labor,Sa,19488.0,14909.5,24326.02,19617.76,3,UGX,13262.84,0.6794,255,219,CONSTRUCTION WORK,Construction,Construction,Fiberglass insulation on sheet metal surfaces such as tanks;
10.100.1057,Operator assistant,Labor,Labor,Sa,20049.35,18833.05,23541.31,18833.05,2,UGX,15233.19,0.7701,241,209,MACHINE RATE,Machinery (Hourly Rate Analysis),Machinery (Hourly Rate Analysis),
10.100.1023,Painter foreman,Labor,Labor,Sa,19597.98,14909.5,19617.76,19617.76,2,UGX,951600.06,48.5073,238,122,CONSTRUCTION WORK,Construction,Construction,Pipe painting with sulene paint;
10.110.1003,"Motor vehicle transport coefficient for all types and tonnages (0,0004xK) 0,0004 %... Calculation of contractor profit and overhead ""a"" coefficient (a) General transport formula: (F= 0,00017xKxAxBx√¯M ) TL/ton Transport price in dams is determined based on m3. Since the average density of materials transported in dam construction works is accepted as 1,88 ton/m3, this formula becomes; F= 1,88x0,00017xKxAxBx√¯M ) TL/m3 K: Coefficient (10.110.1003) K= Transport coefficient (10.110.1003) Taking A=1,25 and B=1,00 for excavation materials transport; F= 1,88x0,00017xKx1,25x1x√¯M ) TL/m3 F=0,0004xKx√¯M ) TL/ton a=0,0004 K Transport by Road",Material,General,ton,182951.65,137324.31,185583.99,185583.99,2,UGX,518.81,0.0028,223,70,WATER/DAM/IRRIGATION WORK,State Hydraulic Works (Analysis and Tariffs),State Hydraulic Works (Analysis and Tariffs),
10.100.1054,Machine Operator,Labor,Labor,Sa,19685.99,19617.76,24326.02,19617.76,2,UGX,235799.15,12.0168,215,116,CONSTRUCTION WORK,Construction,Construction,
10.420.1006,Nail,Material,General,Kg,1589.88,1177.07,1961.78,1569.42,3,UGX,1079.56,0.6719,212,120,CONSTRUCTION WORK,Construction,Construction,
10.100.1038,Plasterboard Assistant Worker,Labor,Labor,Sa,14517.14,14517.14,14517.14,14517.14,1,UGX,19370.21,1.3343,207,207,CONSTRUCTION WORK,Construction,Construction,Construction of single-frame curtain wall with plasterboard (Single Wall C 75 pr
10.100.1033,Plasterboard Master,Labor,Labor,Sa,19617.76,19617.76,19617.76,19617.76,1,UGX,25570.07,1.3034,205,205,CONSTRUCTION WORK,Construction,Construction,Construction of single-frame curtain wall with plasterboard (Single Wall C 75 pr
10.200.3031,Joint tape,Material,General,m,61.21,61.21,61.21,61.21,1,UGX,152.02,2.4835,203,203,CONSTRUCTION WORK,Construction,Construction,Construction of single-frame curtain wall with plasterboard (Single Wall C 75 pr
19.100.2434,Joint filler mortar preparation,Material,General,m³,283572.34,283572.34,283572.34,283572.34,1,UGX,233.88,0.0008,203,203,CONSTRUCTION WORK,Construction,Construction,Construction of single-frame curtain wall with plasterboard (Single Wall C 75 pr
10.100.1005,Marble cladding craftsman,Labor,Labor,Sa,19107.5,14909.5,19617.76,19617.76,2,UGX,46210.16,2.4128,203,194,CONSTRUCTION WORK,Construction,Construction,
10.420.1013,Trumpet screw,Material,General,Kt,10985.94,10985.94,10985.94,10985.94,1,UGX,374.53,0.0341,197,197,CONSTRUCTION WORK,Construction,Construction,Construction of single-frame curtain wall with plasterboard (Single Wall C 75 pr
01.V06,Restoration Craftsman Worker,Material,General,SA,15694.21,15694.21,15694.21,15694.21,1,UGX,75075.96,4.7837,196,192,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),Ministry of Culture and Tourism (Ancient Artifact / Restoration),
04.V39,Gloves,Material,General,AD,196.18,196.18,196.18,196.18,1,UGX,256.95,1.3098,192,73,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),Ministry of Culture and Tourism (Ancient Artifact / Restoration),
