resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,General laborer,Labor,Labor,Sa,10.22,4.62,12.65,10.18,4,USD,189.0,18.4907,16092,13864,CONSTRUCTION WORK,Construction,Construction,Construction of single-frame curtain wall with plasterboard (Single Wall C 75 pr
10.100.1082,Installation master,Labor,Labor,Sa,15.43,15.43,15.43,15.43,1,USD,192.41,12.4711,5556,5540,EQUIPMENT INSTALLATION,Mechanical Installation,Mechanical Installation,Long spout and brass non-valve siphon
10.100.1084,Installation assistant foreman,Labor,Labor,Sa,11.42,11.42,11.42,11.42,1,USD,152.1,13.3222,5215,5199,EQUIPMENT INSTALLATION,Mechanical Installation,Mechanical Installation,Long spout and brass non-valve siphon
10.100.1081,Electrician,Labor,Labor,Sa,15.43,15.43,15.43,15.43,1,USD,359.02,23.2699,4719,4619,EQUIPMENT INSTALLATION,Electrical Installation,Electrical Installation,Depth at least 400 mm
10.100.1083,Electrician assistant,Labor,Labor,Sa,11.42,11.42,11.42,11.42,1,USD,269.63,23.6158,4633,4633,EQUIPMENT INSTALLATION,Electrical Installation,Electrical Installation,Depth at least 400 mm
10.100.1055,Operator machinist,Labor,Labor,Sa,17.67,17.59,21.91,17.59,2,USD,162.48,9.2352,3446,2481,CONSTRUCTION WORK,Construction,Construction,Fiberglass Reinforced Polyester (FRP) Cylindrical Water Tanks
01.V04,Specialist Master,Material,General,SA,21.91,21.91,21.91,21.91,1,USD,629.81,28.7469,2675,1081,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),Ministry of Culture and Tourism (Ancient Artifact / Restoration),
19.100.1112,Forklift,Equipment,General,Sa,42.46,42.46,42.46,42.46,1,USD,290.15,6.834,1973,1968,CONSTRUCTION WORK,Construction,Construction,Polyethylene Water Tanks
10.100.1050,Pipe fitter,Labor,Labor,Sa,15.65,15.43,19.13,15.43,2,USD,52.83,3.249,1827,1827,CONSTRUCTION WORK,Construction,Construction,
01.V06/01,Restoration Rough Labour,Material,General,SA,10.18,10.18,10.18,10.18,1,USD,14.84,1.457,1687,1623,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),Ministry of Culture and Tourism (Ancient Artifact / Restoration),
01.V05,Specialist Assistant Craftsmen,Material,General,SA,15.12,15.12,15.12,15.12,1,USD,298.25,19.7256,1346,814,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),Ministry of Culture and Tourism (Ancient Artifact / Restoration),
10.100.1091,"Test, Adjustment and Commissioning Specialist",Labor,Labor,Sa,43.2,43.2,43.2,43.2,1,USD,1287.67,29.8071,1239,1239,EQUIPMENT INSTALLATION,Electrical Installation,Electrical Installation,SINGLE-PHASE REACTIVE POWER CONTROL RELAYS
19.100.1113,Mobile crane,Equipment,General,Sa,66.68,66.64,86.55,66.64,2,USD,821.99,12.3343,1018,1013,CONSTRUCTION WORK,Construction,Construction,Fiberglass Reinforced Polyester (FRP) Cylindrical Water Tanks
10.130.9991,Water,Material,General,CY,1.9,1.65,2.6,1.82,3,USD,0.29,0.1352,927,679,CONSTRUCTION WORK,Construction,Construction,
19.100.1002,Excavator Beko (125 HP),Equipment,General,Sa,122.69,122.69,122.69,122.69,1,USD,9.42,0.0768,546,528,CONSTRUCTION WORK,Construction,Construction,
10.100.1060,Foreman,Labor,Labor,Sa,22.26,22.22,27.46,22.22,2,USD,8.61,0.3847,539,398,CONSTRUCTION WORK,Construction,Construction,"Sliding (gate) and Glop Valves; brass threaded, manufactured by pressing accordi"
10.100.1063,Skilled laborer,Labor,Labor,Sa,12.78,12.34,15.43,12.34,2,USD,62.39,5.0423,507,371,CONSTRUCTION WORK,Construction,Construction,
10.100.1068,First-class master craftsman,Labor,Labor,Sa,15.27,11.73,19.13,15.43,3,USD,20.25,1.2063,469,399,CONSTRUCTION WORK,Construction,Construction,
10.100.1049,Pipefitter assistant,Labor,Labor,Sa,12.18,11.42,14.19,11.42,2,USD,71.03,5.3999,396,396,CONSTRUCTION WORK,Construction,Construction,
10.100.1021,Welder,Labor,Labor,Sa,16.42,11.73,19.13,15.43,3,USD,314.02,19.5389,394,285,MACHINE RATE,Machinery (Hourly Rate Analysis),Machinery (Hourly Rate Analysis),
10.100.1064,Apprentice,Labor,Labor,Sa,10.19,7.65,12.65,10.18,3,USD,11.02,1.0816,376,130,CONSTRUCTION WORK,Construction,Construction,
10.100.1013,Bricklayer,Labor,Labor,Sa,15.63,11.73,19.13,15.43,3,USD,3.63,0.229,375,341,CONSTRUCTION WORK,Construction,Construction,
10.420.1012,Screw and plastic dowel,Material,General,Ad,0.09,0.06,0.09,0.09,2,USD,1.26,13.6152,356,265,CONSTRUCTION WORK,Construction,Construction,Construction of single-frame curtain wall with plasterboard (Single Wall C 75 pr
10.160.1035,Electrode,Material,General,Ad,0.1,0.08,0.12,0.1,3,USD,12.95,117.7311,345,272,MACHINE RATE,Machinery (Hourly Rate Analysis),Machinery (Hourly Rate Analysis),
10.160.1026,Diesel fuel,Material,General,LB,1.29,1.23,1.59,1.23,2,USD,23.13,17.3028,331,98,MACHINE RATE,Machinery (Hourly Rate Analysis),Machinery (Hourly Rate Analysis),
10.300.1602,Sandpaper,Material,General,Ad,0.4,0.22,0.4,0.4,2,USD,5.8,14.4607,269,101,CONSTRUCTION WORK,Construction,Construction,
10.100.1069,First-class master assistant,Labor,Labor,Sa,11.33,8.64,11.42,11.42,2,USD,39.7,3.4807,265,224,CONSTRUCTION WORK,Construction,Construction,
10.100.1015,Concrete mason,Labor,Labor,Sa,16.85,15.43,19.13,15.43,2,USD,13.55,0.8199,265,103,CONSTRUCTION WORK,Construction,Construction,
10.100.1010,Insulation master craftsman,Labor,Labor,Sa,15.33,11.73,19.13,15.43,3,USD,5.4,0.3506,255,219,CONSTRUCTION WORK,Construction,Construction,Fiberglass insulation on sheet metal surfaces such as tanks;
10.100.1057,Operator assistant,Labor,Labor,Sa,15.77,14.81,18.51,14.81,2,USD,10.49,0.6741,241,209,MACHINE RATE,Machinery (Hourly Rate Analysis),Machinery (Hourly Rate Analysis),
10.100.1023,Painter foreman,Labor,Labor,Sa,15.41,11.73,15.43,15.43,2,USD,744.84,48.2765,238,122,CONSTRUCTION WORK,Construction,Construction,Pipe painting with sulene paint;
10.110.1003,"Motor vehicle transport coefficient for all types and tonnages (0,0004xK) 0,0004 %... Calculation of contractor profit and overhead ""a"" coefficient (a) General transport formula: (F= 0,00017xKxAxBx√¯M ) TL/ton Transport price in dams is determined based on m3. Since the average density of materials transported in dam construction works is accepted as 1,88 ton/m3, this formula becomes; F= 1,88x0,00017xKxAxBx√¯M ) TL/m3 K: Coefficient (10.110.1003) K= Transport coefficient (10.110.1003) Taking A=1,25 and B=1,00 for excavation materials transport; F= 1,88x0,00017xKx1,25x1x√¯M ) TL/m3 F=0,0004xKx√¯M ) TL/ton a=0,0004 K Transport by Road",Material,General,TON,91.33,44.49,111.59,111.59,3,USD,0.24,0.0041,223,70,WATER/DAM/IRRIGATION WORK,State Hydraulic Works (Analysis and Tariffs),State Hydraulic Works (Analysis and Tariffs),
10.100.1054,Machine Operator,Labor,Labor,Sa,15.48,15.43,19.13,15.43,2,USD,27.5,1.7795,215,116,CONSTRUCTION WORK,Construction,Construction,
10.420.1006,Nail,Material,General,LB,0.57,0.42,1.23,0.56,4,USD,0.62,1.0901,212,120,CONSTRUCTION WORK,Construction,Construction,
10.100.1038,Plasterboard Assistant Worker,Labor,Labor,Sa,11.42,11.42,11.42,11.42,1,USD,1.87,0.1634,207,207,CONSTRUCTION WORK,Construction,Construction,Construction of single-frame curtain wall with plasterboard (Single Wall C 75 pr
10.100.1033,Plasterboard Master,Labor,Labor,Sa,15.43,15.43,15.43,15.43,1,USD,1.87,0.1211,205,205,CONSTRUCTION WORK,Construction,Construction,Construction of single-frame curtain wall with plasterboard (Single Wall C 75 pr
10.200.3031,Joint tape,Material,General,LF,0.01,0.01,0.01,0.01,1,USD,0.01,0.757,203,203,CONSTRUCTION WORK,Construction,Construction,Construction of single-frame curtain wall with plasterboard (Single Wall C 75 pr
19.100.2434,Joint filler mortar preparation,Material,General,CY,170.51,170.51,170.51,170.51,1,USD,0.02,0.0001,203,203,CONSTRUCTION WORK,Construction,Construction,Construction of single-frame curtain wall with plasterboard (Single Wall C 75 pr
10.100.1005,Marble cladding craftsman,Labor,Labor,Sa,15.03,11.73,15.43,15.43,2,USD,6.34,0.4178,203,194,CONSTRUCTION WORK,Construction,Construction,
10.420.1013,Trumpet screw,Material,General,Kt,8.64,8.64,8.64,8.64,1,USD,0.03,0.0032,197,197,CONSTRUCTION WORK,Construction,Construction,Construction of single-frame curtain wall with plasterboard (Single Wall C 75 pr
01.V06,Restoration Craftsman Worker,Material,General,SA,12.34,12.34,12.34,12.34,1,USD,36.19,2.9319,196,192,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),Ministry of Culture and Tourism (Ancient Artifact / Restoration),
04.V39,Gloves,Material,General,AD,0.15,0.15,0.15,0.15,1,USD,0.19,1.2289,192,73,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),Ministry of Culture and Tourism (Ancient Artifact / Restoration),
10.130.4502,Pine timber (Class II),Material,General,CY,360.32,235.92,462.86,353.88,4,USD,26.15,0.07,192,144,CONSTRUCTION WORK,Construction,Construction,
10.100.1008,Joiner,Labor,Labor,Sa,15.43,15.43,15.43,15.43,1,USD,5.03,0.326,192,68,CONSTRUCTION WORK,Construction,Construction,
10.100.1009,Carpenter,Labor,Labor,Sa,15.51,15.43,19.13,15.43,2,USD,3294.03,213.4586,191,31,CONSTRUCTION WORK,Construction,Construction,
10.100.1018,Hot blacksmith master,Labor,Labor,Sa,15.8,11.73,19.13,15.43,3,USD,1780.64,115.4078,190,72,CONSTRUCTION WORK,Construction,Construction,
V.0104/A,400 Dozen Cement Mortar Production (with Thick Sand),Abstract Material,General,CY,89.44,89.44,89.44,89.44,1,USD,0.55,0.0061,188,188,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),Ministry of Culture and Tourism (Ancient Artifact / Restoration),
19.100.1062,1 hour rate of the generator unit (7.5 HP),Equipment,General,SA,37.68,37.68,37.68,37.68,1,USD,27.45,0.7527,186,184,INFRASTRUCTURE WORK,Infrastructure Facilities (water/sewer/stormwater),Infrastructure Facilities (water/sewer/stormwater),
04.V40,Brush,Material,General,AD,1.23,1.23,1.23,1.23,1,USD,0.29,0.2321,180,69,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),Ministry of Culture and Tourism (Ancient Artifact / Restoration),
19.100.2510,Mortar with 400 Kg cement dosage using sand and crushed stone,Material,General,CY,84.77,84.77,84.77,84.77,1,USD,0.42,0.0049,168,168,CONSTRUCTION WORK,Construction,Construction,
10.100.1022,Glazier,Labor,Labor,Sa,15.41,11.73,15.43,15.43,2,USD,5692.24,368.9404,161,63,CONSTRUCTION WORK,Construction,Construction,
Electricity,Electricity,Material,General,kWh,0.28,0.28,0.28,0.28,2,USD,1.76,6.1955,161,143,CONSTRUCTION WORK,Construction,Construction,
10.300.2231,Joint Filler Material (CG1),Material,General,LB,0.32,0.25,0.32,0.32,2,USD,0.03,0.1076,160,160,CONSTRUCTION WORK,Construction,Construction,
40.110.3221,Complete welding machine with Diesel Engine and Generator (25 HP),Material,General,SA,23.85,23.85,23.85,23.85,1,USD,113.95,4.7784,159,159,INFRASTRUCTURE WORK,Infrastructure Facilities (water/sewer/stormwater),Infrastructure Facilities (water/sewer/stormwater),
