resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,Công nhân lao động thường,Labor,Labor,Sa,71444.52,53498.39,88444.93,71187.38,3,VND,1349255.84,18.8776,16092,13864,CONSTRUCTION WORK,Xây dựng,Xây dựng,Xây dựng tường ốp trần bằng tấm thạch cao với khung đơn (Khung đơn C 75 - khoảng
10.100.1082,Thợ lắp đặt hệ thống,Labor,Labor,Sa,107859.67,107859.67,107859.67,107859.67,1,VND,1360995.13,12.6182,5556,5540,EQUIPMENT INSTALLATION,Hệ thống Cơ điện,Hệ thống Cơ điện,"Bồn cầu dài và không có điều khiển bằng đồng thau, xả không tay gạt"
10.100.1084,Trợ lý thợ lắp đặt hệ thống,Labor,Labor,Sa,79816.15,79816.15,79816.15,79816.15,1,VND,1075088.22,13.4696,5215,5199,EQUIPMENT INSTALLATION,Hệ thống Cơ điện,Hệ thống Cơ điện,"Bồn cầu dài và không có điều khiển bằng đồng thau, xả không tay gạt"
10.100.1081,Thợ điện,Labor,Labor,Sa,107859.67,107859.67,107859.67,107859.67,1,VND,2513538.65,23.3038,4719,4619,EQUIPMENT INSTALLATION,Hệ thống điện,Hệ thống điện,Độ sâu ít nhất 400 mm
10.100.1083,Trợ lý thợ điện,Labor,Labor,Sa,79816.15,79816.15,79816.15,79816.15,1,VND,1886603.69,23.6369,4633,4633,EQUIPMENT INSTALLATION,Hệ thống điện,Hệ thống điện,Độ sâu ít nhất 400 mm
10.100.1055,Người vận hành máy,Labor,Labor,Sa,123540.97,122960.02,153160.72,122960.02,2,VND,1140232.53,9.2702,3446,2481,CONSTRUCTION WORK,Xây dựng,Xây dựng,Tấm cách nhiệt polyester gia cố sợi thủy tinh (CTP) bồn chứa nước hình trụ
01.V04,Thợ chuyên nghiệp,Material,General,SA,153160.72,153160.72,153160.72,153160.72,1,VND,5610196.9,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Bộ phận Văn hóa và Du lịch. (Di tích / Cứu hộ),Bộ phận Văn hóa và Du lịch. (Di tích / Cứu hộ),
19.100.1112,Xe nâng,Equipment,General,Sa,296808.23,296808.23,296808.23,296808.23,1,VND,2028381.09,6.834,1973,1968,CONSTRUCTION WORK,Xây dựng,Xây dựng,Bể chứa nước polyethylene
10.100.1050,Thợ xây trát,Labor,Labor,Sa,109391.57,107859.67,133745.98,107859.67,2,VND,381956.45,3.3658,1827,1827,CONSTRUCTION WORK,Xây dựng,Xây dựng,
01.V06/01,Công nhân sửa chữa phục hồi mặt bằng,Material,General,SA,71187.38,71187.38,71187.38,71187.38,1,VND,285454.98,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Bộ phận Văn hóa và Du lịch. (Di tích / Cứu hộ),Bộ phận Văn hóa và Du lịch. (Di tích / Cứu hộ),
01.V05,Trợ lý Thợ chuyên nghiệp,Material,General,SA,105702.47,105702.47,105702.47,105702.47,1,VND,2586037.01,24.4652,1346,814,RESTORATION/HERITAGE WORK,Bộ phận Văn hóa và Du lịch. (Di tích / Cứu hộ),Bộ phận Văn hóa và Du lịch. (Di tích / Cứu hộ),
10.100.1091,"Chuyên gia thử nghiệm, điều chỉnh và vận hành hệ thống",Labor,Labor,Sa,302007.06,302007.06,302007.06,302007.06,1,VND,9001967.66,29.8071,1239,1239,EQUIPMENT INSTALLATION,Hệ thống điện,Hệ thống điện,RƠLE KIỂM SOÁT CÔNG SUẤT REAKTIF MỘT PHA
19.100.1113,Cẩu trục di động,Equipment,General,Sa,466128.03,465854.52,605071.15,465854.52,2,VND,5747017.48,12.3354,1018,1013,CONSTRUCTION WORK,Xây dựng,Xây dựng,Tấm cách nhiệt polyester gia cố sợi thủy tinh (CTP) bồn chứa nước hình trụ
10.130.9991,Nước,Material,General,m³,17335.59,15100.35,23729.13,16610.39,3,VND,2474.74,0.1285,927,679,CONSTRUCTION WORK,Xây dựng,Xây dựng,
19.100.1002,Máy xúc Beko (125 HP),Equipment,General,Sa,857704.37,857704.37,857704.37,857704.37,1,VND,83168.8,0.097,546,528,CONSTRUCTION WORK,Xây dựng,Xây dựng,
10.100.1060,Hình dạng,Labor,Labor,Sa,155593.13,155317.92,191990.2,155317.92,2,VND,226651.69,1.4311,539,398,CONSTRUCTION WORK,Xây dựng,Xây dựng,"Van cửa trượt (cửa chớp) và Van Glop; làm bằng đồng vít, sản xuất theo tiêu chuẩ"
10.100.1063,Công nhân Erbab,Labor,Labor,Sa,89357.26,86287.73,107859.67,86287.73,2,VND,446967.29,5.1657,507,371,CONSTRUCTION WORK,Xây dựng,Xây dựng,
10.100.1068,Thợ cả loại một,Labor,Labor,Sa,106751.92,81973.35,133745.98,107859.67,3,VND,159815.32,1.3882,469,399,CONSTRUCTION WORK,Xây dựng,Xây dựng,
10.100.1049,Trợ lý thợ hàn bê tông,Labor,Labor,Sa,85124.49,79816.15,99230.89,79816.15,2,VND,502878.82,5.4792,396,396,CONSTRUCTION WORK,Xây dựng,Xây dựng,
10.100.1021,Thợ hàn nguồn,Labor,Labor,Sa,114775.86,81973.35,133745.98,107859.67,3,VND,2196669.8,19.5521,394,285,MACHINE RATE,Máy móc (Phân tích phí theo giờ),Máy móc (Phân tích phí theo giờ),
10.100.1064,Aprentis,Labor,Labor,Sa,71227.65,53498.39,88444.93,71187.38,3,VND,127666.63,1.7933,376,130,CONSTRUCTION WORK,Xây dựng,Xây dựng,
10.100.1013,Thợ xây tường,Labor,Labor,Sa,109243.96,81973.35,133745.98,107859.67,3,VND,86560.72,0.7882,375,341,CONSTRUCTION WORK,Xây dựng,Xây dựng,
10.420.1012,Vít và chốt nhựa,Material,General,Ad,642.92,431.44,647.16,647.16,2,VND,9885.91,15.2894,356,265,CONSTRUCTION WORK,Xây dựng,Xây dựng,Xây dựng tường ốp trần bằng tấm thạch cao với khung đơn (Khung đơn C 75 - khoảng
10.160.1035,Điện,Material,General,Ad,733.22,543.61,828.36,690.3,3,VND,90531.24,117.7585,345,272,MACHINE RATE,Máy móc (Phân tích phí theo giờ),Máy móc (Phân tích phí theo giờ),
10.160.1026,Dầu diesel,Material,General,Kg,19869.63,18914.27,24445.31,18914.27,2,VND,284994.94,14.3654,331,98,MACHINE RATE,Máy móc (Phân tích phí theo giờ),Máy móc (Phân tích phí theo giờ),
10.300.1602,Giấy ráp,Material,General,Ad,2794.73,1510.04,2804.35,2804.35,2,VND,41788.65,14.9103,269,101,CONSTRUCTION WORK,Xây dựng,Xây dựng,
10.100.1069,Thợ phụ đẳng cấp nhất,Labor,Labor,Sa,79174.34,60401.41,79816.15,79816.15,2,VND,284859.46,3.5892,265,224,CONSTRUCTION WORK,Xây dựng,Xây dựng,
10.100.1015,Thợ trát bê tông,Labor,Labor,Sa,117763.14,107859.67,133745.98,107859.67,2,VND,568000.13,5.1905,265,103,CONSTRUCTION WORK,Xây dựng,Xây dựng,
10.100.1010,Thợ cách nhiệt,Labor,Labor,Sa,107146.26,81973.35,133745.98,107859.67,3,VND,72919.93,0.6794,255,219,CONSTRUCTION WORK,Xây dựng,Xây dựng,Lớp cách nhiệt fibro thủy tinh trên các bề mặt kim loại như kho chứa;
10.100.1057,Trợ lý vận hành,Labor,Labor,Sa,110232.58,103545.28,129431.6,103545.28,2,VND,83753.03,0.7701,241,209,MACHINE RATE,Máy móc (Phân tích phí theo giờ),Máy móc (Phân tích phí theo giờ),
10.100.1023,Thợ sơn,Labor,Labor,Sa,107750.9,81973.35,107859.67,107859.67,2,VND,5231956.82,48.5073,238,122,CONSTRUCTION WORK,Xây dựng,Xây dựng,"Sơn ống, bằng sơn chống thấm;"
10.110.1003,"Hệ số vận chuyển của các loại xe có trọng tải và loại khác nhau (0,0004xK) 0,0004 %... Lợi nhuận nhà thầu và chi phí chung ""a"" hệ số (a) được tính theo công thức vận chuyển chung: (F= 0,00017xKxA×B×√¯M) TL/tấn. Giá vận chuyển tại các đập được xác định dựa trên m3. Vì trong các công trình xây dựng đập, mật độ trung bình của vật liệu vận chuyển được chấp nhận là 1,88 tấn/m3, nên công thức này là; F= 1,88x0,00017xKxA×B×√¯M) TL/m3. K: Hệ số (10.110.1003). K= Hệ số vận chuyển (10.110.1003). A=1,25 và vận chuyển vật liệu đào đất B=1,00, do đó; F= 1,88x0,00017xKx1,25x1×√¯M) TL/m3. F=0,0004xK×√¯M) TL/tấn. a=0,0004 K Vận chuyển bằng đường bộ",Material,General,ton,1005879.63,755017.66,1020352.43,1020352.43,2,VND,2852.47,0.0028,223,70,WATER/DAM/IRRIGATION WORK,Cơ quan Thuỷ lợi (Phân tích và Định mức),Cơ quan Thuỷ lợi (Phân tích và Định mức),
10.100.1054,Thợ máy,Labor,Labor,Sa,108234.83,107859.67,133745.98,107859.67,2,VND,1296438.49,12.0168,215,116,CONSTRUCTION WORK,Xây dựng,Xây dựng,
10.420.1006,đinh,Material,General,Kg,8741.23,6471.58,10785.97,8628.77,3,VND,5935.49,0.6719,212,120,CONSTRUCTION WORK,Xây dựng,Xây dựng,
10.100.1038,Trợ lý thợ lắp đặt tấm thạch cao,Labor,Labor,Sa,79816.15,79816.15,79816.15,79816.15,1,VND,106498.65,1.3343,207,207,CONSTRUCTION WORK,Xây dựng,Xây dựng,Xây dựng tường ốp trần bằng tấm thạch cao với khung đơn (Khung đơn C 75 - khoảng
10.100.1033,Thợ lắp đặt tấm thạch cao,Labor,Labor,Sa,107859.67,107859.67,107859.67,107859.67,1,VND,140585.87,1.3034,205,205,CONSTRUCTION WORK,Xây dựng,Xây dựng,Xây dựng tường ốp trần bằng tấm thạch cao với khung đơn (Khung đơn C 75 - khoảng
10.200.3031,Dải keo chít mạch,Material,General,m,336.52,336.52,336.52,336.52,1,VND,835.82,2.4835,203,203,CONSTRUCTION WORK,Xây dựng,Xây dựng,Xây dựng tường ốp trần bằng tấm thạch cao với khung đơn (Khung đơn C 75 - khoảng
19.100.2434,Chuẩn bị hỗn hợp vữa trám khe nứt,Material,General,m³,1559098.52,1559098.52,1559098.52,1559098.52,1,VND,1285.88,0.0008,203,203,CONSTRUCTION WORK,Xây dựng,Xây dựng,Xây dựng tường ốp trần bằng tấm thạch cao với khung đơn (Khung đơn C 75 - khoảng
10.100.1005,Thợ lát đá hoa cương,Labor,Labor,Sa,105054.25,81973.35,107859.67,107859.67,2,VND,254066.36,2.4128,203,194,CONSTRUCTION WORK,Xây dựng,Xây dựng,
10.420.1013,Buồng tăm,Material,General,Kt,60401.41,60401.41,60401.41,60401.41,1,VND,2059.17,0.0341,197,197,CONSTRUCTION WORK,Xây dựng,Xây dựng,Xây dựng tường ốp trần bằng tấm thạch cao với khung đơn (Khung đơn C 75 - khoảng
01.V06,Công nhân phục hồi và bảo tồn,Material,General,SA,86287.73,86287.73,86287.73,86287.73,1,VND,412772.34,4.7837,196,192,RESTORATION/HERITAGE WORK,Bộ phận Văn hóa và Du lịch. (Di tích / Cứu hộ),Bộ phận Văn hóa và Du lịch. (Di tích / Cứu hộ),
04.V39,Găng tay,Material,General,AD,1078.6,1078.6,1078.6,1078.6,1,VND,1412.72,1.3098,192,73,RESTORATION/HERITAGE WORK,Bộ phận Văn hóa và Du lịch. (Di tích / Cứu hộ),Bộ phận Văn hóa và Du lịch. (Di tích / Cứu hộ),
10.130.4502,Gỗ thông (cấp II),Material,General,m³,3268543.15,2157193.31,3882947.95,3235789.96,3,VND,267922.15,0.0787,192,144,CONSTRUCTION WORK,Xây dựng,Xây dựng,
10.100.1008,Thợ làm khung cửa,Labor,Labor,Sa,107859.67,107859.67,107859.67,107859.67,1,VND,309483.83,2.8693,192,68,CONSTRUCTION WORK,Xây dựng,Xây dựng,
10.100.1009,Thợ mộc,Labor,Labor,Sa,108404.64,107859.67,133745.98,107859.67,2,VND,23065237.05,213.8008,191,31,CONSTRUCTION WORK,Xây dựng,Xây dựng,
10.100.1018,Thợ hàn sắt nóng,Labor,Labor,Sa,110461.99,81973.35,133745.98,107859.67,3,VND,12697151.79,117.7104,190,72,CONSTRUCTION WORK,Xây dựng,Xây dựng,
V.0104/A,400 Bộ vữa xi măng trộn (với cát thô),Abstract Material,General,M³,817796.3,817796.3,817796.3,817796.3,1,VND,27287.42,0.0334,188,188,RESTORATION/HERITAGE WORK,Bộ phận Văn hóa và Du lịch. (Di tích / Cứu hộ),Bộ phận Văn hóa và Du lịch. (Di tích / Cứu hộ),
19.100.1062,Tiền công 1 giờ của ĐỘNG CƠ MÁY PHÁT (7.5 HP) của CỤM ĐỘNG CƠ 5 KW,Equipment,General,SA,263436.45,263436.45,263436.45,263436.45,1,VND,279511.68,1.083,186,184,INFRASTRUCTURE WORK,Hệ thống hạ tầng (cấp nước/xả thải/thoát nước mưa),Hệ thống hạ tầng (cấp nước/xả thải/thoát nước mưa),
04.V40,Chổi quét,Material,General,AD,8628.77,8628.77,8628.77,8628.77,1,VND,2558.96,0.2966,180,69,RESTORATION/HERITAGE WORK,Bộ phận Văn hóa và Du lịch. (Di tích / Cứu hộ),Bộ phận Văn hóa và Du lịch. (Di tích / Cứu hộ),
19.100.2510,Sử dụng 400 Kg xi măng pha trộn với cát và đá mi bụi để trộn vữa,Material,General,m³,775127.01,775127.01,775127.01,775127.01,1,VND,28761.81,0.0371,168,168,CONSTRUCTION WORK,Xây dựng,Xây dựng,
10.100.1022,Thợ thủ kính,Labor,Labor,Sa,107698.88,81973.35,107859.67,107859.67,2,VND,39823827.31,369.2235,161,63,CONSTRUCTION WORK,Xây dựng,Xây dựng,
Điện năng,Điện năng,Material,General,kWh,1984.57,1983.24,1984.62,1984.62,2,VND,15725.64,7.9239,161,143,CONSTRUCTION WORK,Xây dựng,Xây dựng,
10.300.2231,Vật liệu trám khe (CG1),Material,General,Kg,4900.87,3882.95,4961.54,4961.54,2,VND,2561.88,0.522,160,160,CONSTRUCTION WORK,Xây dựng,Xây dựng,
40.110.3221,Máy xúc đào nguồn và máy phát điện diesel kèm theo máy đào nguồn hoàn chỉnh (25 HP),Material,General,SA,166712.21,166712.21,166712.21,166712.21,1,VND,796770.96,4.7793,159,159,INFRASTRUCTURE WORK,Hệ thống hạ tầng (cấp nước/xả thải/thoát nước mưa),Hệ thống hạ tầng (cấp nước/xả thải/thoát nước mưa),
10.100.1041,Trợ lý thợ mộc,Labor,Labor,Sa,79816.15,60401.41,99230.89,79816.15,3,VND,20737016.48,259.8084,158,20,CONSTRUCTION WORK,Xây dựng,Xây dựng,
10.100.1017,Thợ mộc,Labor,Labor,Sa,109353.11,81973.35,133745.98,107859.67,3,VND,320305.87,2.8443,157,114,CONSTRUCTION WORK,Xây dựng,Xây dựng,
40.120.1461,Phí kiểm tra kín hơi,Material,General,MT,72481.7,72481.7,72481.7,72481.7,1,VND,46018.95,0.6349,157,157,INFRASTRUCTURE WORK,Hệ thống hạ tầng (cấp nước/xả thải/thoát nước mưa),Hệ thống hạ tầng (cấp nước/xả thải/thoát nước mưa),
10.100.1042,Trợ lý thợ cách nhiệt,Labor,Labor,Sa,79690.9,60401.41,99230.89,79816.15,3,VND,118481.88,0.6587,156,119,CONSTRUCTION WORK,Xây dựng,Xây dựng,
04.V001/1,Nước,Material,General,M³,16610.39,16610.39,16610.39,16610.39,1,VND,2687.14,0.1618,155,155,RESTORATION/HERITAGE WORK,Bộ phận Văn hóa và Du lịch. (Di tích / Cứu hộ),Bộ phận Văn hóa và Du lịch. (Di tích / Cứu hộ),
01.V05/6,Trợ lý Thợ phụ Công tác Trát và Liên kết Mạch,Material,General,SA,105702.47,105702.47,105702.47,105702.47,1,VND,187732.59,1.776,148,120,RESTORATION/HERITAGE WORK,Bộ phận Văn hóa và Du lịch. (Di tích / Cứu hộ),Bộ phận Văn hóa và Du lịch. (Di tích / Cứu hộ),
V.0129/A,Vữa xây tường Horosan có phụ gia Puzolan (với cát thô),Abstract Material,General,M³,2090013.99,2090013.99,2090013.99,2090013.99,1,VND,112756.25,0.054,140,140,RESTORATION/HERITAGE WORK,Bộ phận Văn hóa và Du lịch. (Di tích / Cứu hộ),Bộ phận Văn hóa và Du lịch. (Di tích / Cứu hộ),
