resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,عامل مساعد مع أعباء إضافية,Labor,Labor,H,15.73,15.73,15.73,15.73,1,AED,41.65,2.6476,3636,3636,Acessibilidade,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),إمكانية الوصول,إمكانية الوصول
88267,سباك أو فني مضخات هيدروليكية مع الأعباء التكميلية,Labor,Labor,H,19.35,19.35,19.35,19.35,1,AED,13.05,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),مضخات هيدروليكية - طرد مركزي، أفقية وغاطسة,مضخات هيدروليكية - طرد مركزي، أفقية وغاطسة
88248,مساعد سباك أو عامل مضخات هيدروليكية مع الأعباء التكميلية,Labor,Labor,H,15.21,15.21,15.21,15.21,1,AED,8.08,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),مضخات هيدروليكية - طرد مركزي، أفقية وغاطسة,مضخات هيدروليكية - طرد مركزي، أفقية وغاطسة
88309,بَنَّاء مع أعباء إضافية,Labor,Labor,H,20.02,20.02,20.02,20.02,1,AED,116.4,5.8132,1283,1283,Acessibilidade,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),إمكانية الوصول,إمكانية الوصول
88264,كهربائي مع أعباء إضافية,Labor,Labor,H,20.28,20.28,20.28,20.28,1,AED,24.37,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),مضخات هيدروليكية - طرد مركزي، أفقية وغاطسة,مضخات هيدروليكية - طرد مركزي، أفقية وغاطسة
88247,مساعد كهربائي مع أعباء إضافية,Labor,Labor,H,16.06,16.06,16.06,16.06,1,AED,10.3,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),مضخات هيدروليكية - طرد مركزي، أفقية وغاطسة,مضخات هيدروليكية - طرد مركزي، أفقية وغاطسة
38383,ورق صنفرة مائي، لون أسود، حبة 100,Material,General,UN,1.66,1.66,1.66,1.66,1,AED,0.09,0.0533,654,654,Drenagem de ar condicionado,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),صرف تكييف الهواء,صرف تكييف الهواء
88262,نجار القوالب مع الأعباء التكميلية,Labor,Labor,H,19.69,19.69,19.69,19.69,1,AED,50.18,2.5478,614,614,Bocas para Bueiros,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),فتحات تصريف المجاري,فتحات تصريف المجاري
3148,شريط مانع لتسرب قلاوظ الأنابيب، من PTFE، لفة 18 MM X 50 M (العرض X الطول),Material,General,UN,8.09,8.09,8.09,8.09,1,AED,0.24,0.0299,513,513,Drenagem de ar condicionado,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),صرف تكييف الهواء,صرف تكييف الهواء
88239,مساعد نجار مع الأعباء التكميلية,Labor,Labor,H,15.62,15.62,15.62,15.62,1,AED,15.05,0.9636,489,489,Bocas para Bueiros,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),فتحات تصريف المجاري,فتحات تصريف المجاري
88246,عامل تركيب أنابيب مع أعباء إضافية,Labor,Labor,H,16.59,16.59,16.59,16.59,1,AED,7.92,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),تركيب أنابيب الصرف الصحي من PVC و PEAD,تركيب أنابيب الصرف الصحي من PVC و PEAD
20078,معجون تزييت للأنابيب والوصلات مع وصلة مرنة، عبوة *400* غرام (للاستخدام في PVC، الصلب، البولي إيثيلين وغيرها),Material,General,UN,20.25,20.25,20.25,20.25,1,AED,2.21,0.1091,396,396,Assentamento de Tubos de Esgoto em PVC e PEAD,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),تركيب أنابيب الصرف الصحي من PVC و PEAD,تركيب أنابيب الصرف الصحي من PVC و PEAD
5678,"حفارة خلفية على عجلات مع محمل، دفع 4X4، قدرة صافية 88 HP، سعة جرافة تحميل لا تقل عن 1 M3، سعة جرافة خلفية 0,26 M3، وزن تشغيلي لا يقل عن 6.674 KG، أقصى عمق حفر 4,37 M - CHP نهاري. AF_06/2014",Equipment,General,CHP,129.83,129.83,129.83,129.83,1,AED,14.54,0.112,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),تركيب أنابيب الصرف الصحي من PVC و PEAD,تركيب أنابيب الصرف الصحي من PVC و PEAD
5679,"حفارة خلفية على عجلات مع محمل، دفع 4X4، قدرة صافية 88 HP، سعة جرافة تحميل لا تقل عن 1 M3، سعة جرافة خلفية 0,26 M3، وزن تشغيلي لا يقل عن 6.674 KG، عمق الحفر الأقصى 4,37 M - CHI نهاري. AF_06/2014",Equipment,General,CHI,49.36,49.36,49.36,49.36,1,AED,12.33,0.2499,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),تركيب أنابيب الصرف الصحي من PVC و PEAD,تركيب أنابيب الصرف الصحي من PVC و PEAD
5928,"رافعة هيدروليكية، أقصى قدرة تحميل 6200 KG، أقصى عزم تحميل 11,7 TM، أقصى مدى أفقي 9,70 M، شاحنة توكو PBT 16.000 KG، قوة 189 CV - CHP نهاري. AF_06/2014",Equipment,General,CHP,237.6,237.6,237.6,237.6,1,AED,86.88,0.3656,381,381,Instalações para Canteiros de Obras,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),مرافق مواقع البناء,مرافق مواقع البناء
20083,محلول تحضيري / منظف للبولي فينيل كلوريد، زجاجة بسعة 1000 CM3,Material,General,UN,55.59,55.59,55.59,55.59,1,AED,1.4,0.0252,376,376,Drenagem de ar condicionado,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),صرف تكييف الهواء,صرف تكييف الهواء
5930,"رافعة هيدروليكية، أقصى قدرة تحميل 6200 KG، أقصى عزم تحميل 11,7 TM، أقصى مدى أفقي 9,70 M، شاحنة توكو PBT 16.000 KG مشمولة، قوة 189 CV - CHP نهاري. AF_06/2014",Equipment,General,CHI,47.57,47.57,47.57,47.57,1,AED,43.93,0.9234,371,371,Instalações para Canteiros de Obras,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),مرافق مواقع البناء,مرافق مواقع البناء
122,لاصق بلاستيكي لـ PVC، عبوة تحتوي على *850* غرام,Material,General,UN,49.06,49.06,49.06,49.06,1,AED,0.9,0.0182,368,368,Drenagem de ar condicionado,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),صرف تكييف الهواء,صرف تكييف الهواء
2692,مزيل القوالب الواقي لأشكال الخشب، أساس زيتي مستحلب في الماء,Material,General,L,8.16,8.16,8.16,8.16,1,AED,0.13,0.0157,362,362,Bocas para Bueiros,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),فتحات تصريف المجاري,فتحات تصريف المجاري
1379,أسمنت بورتلاند مركب CP II-32,Material,General,KG,0.64,0.64,0.64,0.64,1,AED,134.54,210.9891,362,362,Argamassas,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),الملاط,الملاط
5903,"شاحنة صهريج 10.000 ل تروكادو، الوزن الإجمالي 23.000 KG، الحمولة القصوى 15.935 KG، المسافة بين المحاور 4,8 M، القدرة 230 حصان، بما في ذلك خزان فولاذي لنقل المياه - CHI نهاري. AF_06/2014",Equipment,General,CHI,48.18,48.18,48.18,48.18,1,AED,4.53,0.0941,343,343,Aterro e Reaterro de Valas,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),ردم وإعادة ردم الخنادق,ردم وإعادة ردم الخنادق
5901,"شاحنة صهريج 10.000 لتر مزدوجة المحور، الوزن الإجمالي 23.000 KG، الحمولة الصافية القصوى 15.935 KG، المسافة بين المحاور 4,8 M، القدرة 230 حصان، تشمل خزان فولاذي لنقل المياه - CHP نهاري. AF_06/2014",Equipment,General,CHP,274.95,274.95,274.95,274.95,1,AED,5.33,0.0194,343,343,Aterro e Reaterro de Valas,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),ردم وإعادة ردم الخنادق,ردم وإعادة ردم الخنادق
5631,"حفارة هيدروليكية على مسارات، جرافة 0,80 M3، وزن تشغيلي 17 T، قدرة إجمالية 111 HP - CHP نهاري. AF_06/2014",Equipment,General,CHP,187.68,187.68,187.68,187.68,1,AED,10.78,0.0574,335,335,Assentamento de Tubos de Esgoto em PVC e PEAD,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),تركيب أنابيب الصرف الصحي من PVC و PEAD,تركيب أنابيب الصرف الصحي من PVC و PEAD
5632,"حفارة هيدروليكية على مسارات، دلو 0,80 M3، وزن تشغيلي 17 T، قدرة إجمالية 111 HP - CHP نهاري. AF_06/2014",Equipment,General,CHI,70.69,70.69,70.69,70.69,1,AED,10.15,0.1436,335,335,Assentamento de Tubos de Esgoto em PVC e PEAD,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),تركيب أنابيب الصرف الصحي من PVC و PEAD,تركيب أنابيب الصرف الصحي من PVC و PEAD
4517,"لوح خشبي *2,5 X 7,5* سم من خشب الصنوبر، مختلط أو ما يعادله في المنطقة - خام",Material,General,M,4.51,4.51,4.51,4.51,1,AED,5.11,1.1344,272,272,Caixas Enterradas,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),صناديق مدفونة,صناديق مدفونة
370,رمل متوسط - موقع المحجر/المورد (مأخوذ من المحجر، بدون نقل),Material,General,M3,100.21,100.21,100.21,100.21,1,AED,61.93,0.618,270,270,Argamassas,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),الملاط,الملاط
6193,"لوح غير مشطوف *2,5 X 20* سم، من ماكاراندوبا/ماساراندوبا، أنجيليم أو ما يعادلها في المنطقة - خام",Material,General,M,13.51,13.51,13.51,13.51,1,AED,21.71,1.6073,258,258,Caixas Enterradas,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),صناديق مدفونة,صناديق مدفونة
4491,"دعامات *7,5 X 7,5* سم من خشب الصنوبر، مختلطة أو ما يعادلها في المنطقة - خام",Material,General,M,12.9,12.9,12.9,12.9,1,AED,20.18,1.5645,244,244,Bocas para Bueiros,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),فتحات تصريف المجاري,فتحات تصريف المجاري
12732,"لحام قصدير/نحاس لتوصيلات النحاس، سلك 2,5 MM، بكرة 500 غرام (بدون رصاص)",Material,General,UN,254.77,254.77,254.77,254.77,1,AED,2.44,0.0096,235,235,Instalações Hidráulicas - Reservação e Bombas de Recalque,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),التركيبات الهيدروليكية - الخزانات ومضخات الضخ,التركيبات الهيدروليكية - الخزانات ومضخات الضخ
39897,معجون لحام أنابيب وموصلات النحاس (عبوة تحتوي على 250 غ),Material,General,UN,46.7,46.7,46.7,46.7,1,AED,0.12,0.0026,234,234,Instalações Hidráulicas - Reservação e Bombas de Recalque,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),التركيبات الهيدروليكية - الخزانات ومضخات الضخ,التركيبات الهيدروليكية - الخزانات ومضخات الضخ
5934,"مُرْتَفِعَةُ القُوَّةِ الصَّافِيَّةِ لِجَرَّافَةِ التَّرْبَةِ (الْوَضْعُ الأَوَّلُ) 125 HP، الوَزْنُ الإِجْمَالِيُّ 13032 KG، عَرْضُ الشَّفْرَةِ 3,7 M - CHI نَهَارِيّ. AF_06/2014",Equipment,General,CHI,72.1,72.1,72.1,72.1,1,AED,2.71,0.0376,219,219,"Aterros, Bases, Sub bases e Imprimações",تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),ردم، قواعد، قواعد فرعية وطبقات تمهيدية,ردم، قواعد، قواعد فرعية وطبقات تمهيدية
87316,ملاط بنسبة 1:4 (بحجم الأسمنت والرمل الخشن الرطب) للطبقة التمهيدية التقليدية، تحضير ميكانيكي بخلاط خرسانة 400 ل. AF_08/2019,Abstract Material,General,M3,400.34,400.34,400.34,400.34,1,AED,29.65,0.0741,219,219,Caixas Enterradas,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),صناديق مدفونة,صناديق مدفونة
