resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,SERVENTE COM ENCARGOS COMPLEMENTARES,Labor,Labor,H,2183.53,2183.53,2183.53,2183.53,1,AOA,5781.0,2.6476,3636,3636,Acessibilidade,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Acessibilidade,Acessibilidade
88267,ENCANADOR OU BOMBEIRO HIDRÁULICO COM ENCARGOS COMPLEMENTARES,Labor,Labor,H,2685.47,2685.47,2685.47,2685.47,1,AOA,1810.81,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis","Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis"
88248,AUXILIAR DE ENCANADOR OU BOMBEIRO HIDRÁULICO COM ENCARGOS COMPLEMENTARES,Labor,Labor,H,2111.46,2111.46,2111.46,2111.46,1,AOA,1120.97,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis","Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis"
88309,PEDREIRO COM ENCARGOS COMPLEMENTARES,Labor,Labor,H,2779.04,2779.04,2779.04,2779.04,1,AOA,16155.18,5.8132,1283,1283,Acessibilidade,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Acessibilidade,Acessibilidade
88264,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Labor,Labor,H,2814.44,2814.44,2814.44,2814.44,1,AOA,3381.89,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis","Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis"
88247,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Labor,Labor,H,2229.04,2229.04,2229.04,2229.04,1,AOA,1429.28,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis","Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis"
38383,"LIXA D'AGUA EM FOLHA, COR PRETA, GRAO 100",Material,General,UN,230.11,230.11,230.11,230.11,1,AOA,12.24,0.0533,654,654,Drenagem de ar condicionado,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Drenagem de ar condicionado,Drenagem de ar condicionado
88262,CARPINTEIRO DE FORMAS COM ENCARGOS COMPLEMENTARES,Labor,Labor,H,2733.52,2733.52,2733.52,2733.52,1,AOA,6964.47,2.5478,614,614,Bocas para Bueiros,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Bocas para Bueiros,Bocas para Bueiros
3148,"FITA VEDA ROSCA, EM PTFE, ROLO DE 18 MM X 50 M (L X C)",Material,General,UN,1122.74,1122.74,1122.74,1122.74,1,AOA,33.54,0.0299,513,513,Drenagem de ar condicionado,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Drenagem de ar condicionado,Drenagem de ar condicionado
88239,AJUDANTE DE CARPINTEIRO COM ENCARGOS COMPLEMENTARES,Labor,Labor,H,2168.36,2168.36,2168.36,2168.36,1,AOA,2089.47,0.9636,489,489,Bocas para Bueiros,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Bocas para Bueiros,Bocas para Bueiros
88246,ASSENTADOR DE TUBOS COM ENCARGOS COMPLEMENTARES,Labor,Labor,H,2302.38,2302.38,2302.38,2302.38,1,AOA,1098.87,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Assentamento de Tubos de Esgoto em PVC e PEAD,Assentamento de Tubos de Esgoto em PVC e PEAD
20078,"PASTA LUBRIFICANTE PARA TUBOS E CONEXOES COM JUNTA ELASTICA, EMBALAGEM DE *400* GR (USO EM PVC, ACO, POLIETILENO E OUTROS)",Material,General,UN,2810.64,2810.64,2810.64,2810.64,1,AOA,306.53,0.1091,396,396,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Assentamento de Tubos de Esgoto em PVC e PEAD,Assentamento de Tubos de Esgoto em PVC e PEAD
5678,"RETROESCAVADEIRA SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X4, POTÊNCIA LÍQ. 88 HP, CAÇAMBA CARREG. CAP. MÍN. 1 M3, CAÇAMBA RETRO CAP. 0,26 M3, PESO OPERACIONAL MÍN. 6.674 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,37 M - CHP DIURNO. AF_06/2014",Equipment,General,CHP,18019.48,18019.48,18019.48,18019.48,1,AOA,2017.53,0.112,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Assentamento de Tubos de Esgoto em PVC e PEAD,Assentamento de Tubos de Esgoto em PVC e PEAD
5679,"RETROESCAVADEIRA SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X4, POTÊNCIA LÍQ. 88 HP, CAÇAMBA CARREG. CAP. MÍN. 1 M3, CAÇAMBA RETRO CAP. 0,26 M3, PESO OPERACIONAL MÍN. 6.674 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,37 M - CHI DIURNO. AF_06/2014",Equipment,General,CHI,6851.5,6851.5,6851.5,6851.5,1,AOA,1711.92,0.2499,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Assentamento de Tubos de Esgoto em PVC e PEAD,Assentamento de Tubos de Esgoto em PVC e PEAD
5928,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 6200 KG, MOMENTO MÁXIMO DE CARGA 11,7 TM, ALCANCE MÁXIMO HORIZONTAL 9,70 M, INCLUSIVE CAMINHÃO TOCO PBT 16.000 KG, POTÊNCIA DE 189 CV - CHP DIURNO. AF_06/2014",Equipment,General,CHP,32977.97,32977.97,32977.97,32977.97,1,AOA,12057.97,0.3656,381,381,Instalações para Canteiros de Obras,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Instalações para Canteiros de Obras,Instalações para Canteiros de Obras
20083,"SOLUCAO PREPARADORA / LIMPADORA PARA PVC, FRASCO COM 1000 CM3",Material,General,UN,7715.05,7715.05,7715.05,7715.05,1,AOA,194.75,0.0252,376,376,Drenagem de ar condicionado,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Drenagem de ar condicionado,Drenagem de ar condicionado
5930,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 6200 KG, MOMENTO MÁXIMO DE CARGA 11,7 TM, ALCANCE MÁXIMO HORIZONTAL 9,70 M, INCLUSIVE CAMINHÃO TOCO PBT 16.000 KG, POTÊNCIA DE 189 CV - CHI DIURNO. AF_06/2014",Equipment,General,CHI,6602.42,6602.42,6602.42,6602.42,1,AOA,6096.72,0.9234,371,371,Instalações para Canteiros de Obras,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Instalações para Canteiros de Obras,Instalações para Canteiros de Obras
122,"ADESIVO PLASTICO PARA PVC, FRASCO COM *850* GR",Material,General,UN,6809.78,6809.78,6809.78,6809.78,1,AOA,124.23,0.0182,368,368,Drenagem de ar condicionado,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Drenagem de ar condicionado,Drenagem de ar condicionado
2692,"DESMOLDANTE PROTETOR PARA FORMAS DE MADEIRA, DE BASE OLEOSA EMULSIONADA EM AGUA",Material,General,L,1132.86,1132.86,1132.86,1132.86,1,AOA,17.85,0.0157,362,362,Bocas para Bueiros,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Bocas para Bueiros,Bocas para Bueiros
1379,CIMENTO PORTLAND COMPOSTO CP II-32,Material,General,KG,88.5,88.5,88.5,88.5,1,AOA,18673.35,210.9891,362,362,Argamassas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Argamassas,Argamassas
5903,"CAMINHÃO PIPA 10.000 L TRUCADO, PESO BRUTO TOTAL 23.000 KG, CARGA ÚTIL MÁXIMA 15.935 KG, DISTÂNCIA ENTRE EIXOS 4,8 M, POTÊNCIA 230 CV, INCLUSIVE TANQUE DE AÇO PARA TRANSPORTE DE ÁGUA - CHI DIURNO. AF_06/2014",Equipment,General,CHI,6687.13,6687.13,6687.13,6687.13,1,AOA,629.41,0.0941,343,343,Aterro e Reaterro de Valas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Aterro e Reaterro de Valas,Aterro e Reaterro de Valas
5901,"CAMINHÃO PIPA 10.000 L TRUCADO, PESO BRUTO TOTAL 23.000 KG, CARGA ÚTIL MÁXIMA 15.935 KG, DISTÂNCIA ENTRE EIXOS 4,8 M, POTÊNCIA 230 CV, INCLUSIVE TANQUE DE AÇO PARA TRANSPORTE DE ÁGUA - CHP DIURNO. AF_06/2014",Equipment,General,CHP,38160.53,38160.53,38160.53,38160.53,1,AOA,739.9,0.0194,343,343,Aterro e Reaterro de Valas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Aterro e Reaterro de Valas,Aterro e Reaterro de Valas
5631,"ESCAVADEIRA HIDRÁULICA SOBRE ESTEIRAS, CAÇAMBA 0,80 M3, PESO OPERACIONAL 17 T, POTENCIA BRUTA 111 HP - CHP DIURNO. AF_06/2014",Equipment,General,CHP,26048.09,26048.09,26048.09,26048.09,1,AOA,1496.36,0.0574,335,335,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Assentamento de Tubos de Esgoto em PVC e PEAD,Assentamento de Tubos de Esgoto em PVC e PEAD
