resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,AIDE AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1461.84,1461.84,1461.84,1461.84,1,XOF,3870.3,2.6476,3636,3636,Acessibilidade,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Accessibilité,Accessibilité
88267,PLUMBER OU PLOMBIER AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1797.89,1797.89,1797.89,1797.89,1,XOF,1212.31,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Rapport analytique des compositions (CAIXA/IBGE),"Pompes hydrauliques - Centrifuges, horizontales et submersibles","Pompes hydrauliques - Centrifuges, horizontales et submersibles"
88248,AUXILIAIRE DE PLOMBIER OU DE POMPIER HYDRAULIQUE AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1413.59,1413.59,1413.59,1413.59,1,XOF,750.47,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Rapport analytique des compositions (CAIXA/IBGE),"Pompes hydrauliques - Centrifuges, horizontales et submersibles","Pompes hydrauliques - Centrifuges, horizontales et submersibles"
88309,MAÇON AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1860.53,1860.53,1860.53,1860.53,1,XOF,10815.68,5.8132,1283,1283,Acessibilidade,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Accessibilité,Accessibilité
88264,ÉLECTRICIEN AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1884.23,1884.23,1884.23,1884.23,1,XOF,2264.13,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Rapport analytique des compositions (CAIXA/IBGE),"Pompes hydrauliques - Centrifuges, horizontales et submersibles","Pompes hydrauliques - Centrifuges, horizontales et submersibles"
88247,AUXILIAIRE ÉLECTRICIEN AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1492.32,1492.32,1492.32,1492.32,1,XOF,956.89,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Rapport analytique des compositions (CAIXA/IBGE),"Pompes hydrauliques - Centrifuges, horizontales et submersibles","Pompes hydrauliques - Centrifuges, horizontales et submersibles"
38383,"PAPIER DE VERRE HUMIDE, COULEUR NOIRE, GRAIN 100",Material,General,UN,154.06,154.06,154.06,154.06,1,XOF,8.2,0.0533,654,654,Drenagem de ar condicionado,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Drainage de climatisation,Drainage de climatisation
88262,CHARPENTIER DE FORME AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1830.05,1830.05,1830.05,1830.05,1,XOF,4662.62,2.5478,614,614,Bocas para Bueiros,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Bouches pour bouches d'égout,Bouches pour bouches d'égout
3148,"BANDE ADHÉSIVE EN PTFE, ROULEAU DE 18 MM X 50 M (L X C)",Material,General,UN,751.66,751.66,751.66,751.66,1,XOF,22.46,0.0299,513,513,Drenagem de ar condicionado,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Drainage de climatisation,Drainage de climatisation
88239,AIDE DE CHARPENTIER AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1451.68,1451.68,1451.68,1451.68,1,XOF,1398.87,0.9636,489,489,Bocas para Bueiros,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Bouches pour bouches d'égout,Bouches pour bouches d'égout
