resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,AIDE AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1340.74,1340.74,1340.74,1340.74,1,XAF,3549.68,2.6476,3636,3636,Acessibilidade,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Accessibilité,Accessibilité
88267,PLUMBER OU PLOMBIER AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1648.95,1648.95,1648.95,1648.95,1,XAF,1111.88,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Rapport analytique des compositions (CAIXA/IBGE),"Pompes hydrauliques - Centrifuges, horizontales et submersibles","Pompes hydrauliques - Centrifuges, horizontales et submersibles"
88248,AUXILIAIRE DE PLOMBIER OU DE POMPIER HYDRAULIQUE AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1296.49,1296.49,1296.49,1296.49,1,XAF,688.3,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Rapport analytique des compositions (CAIXA/IBGE),"Pompes hydrauliques - Centrifuges, horizontales et submersibles","Pompes hydrauliques - Centrifuges, horizontales et submersibles"
88309,MAÇON AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1706.4,1706.4,1706.4,1706.4,1,XAF,9919.69,5.8132,1283,1283,Acessibilidade,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Accessibilité,Accessibilité
88264,ÉLECTRICIEN AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1728.14,1728.14,1728.14,1728.14,1,XAF,2076.57,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Rapport analytique des compositions (CAIXA/IBGE),"Pompes hydrauliques - Centrifuges, horizontales et submersibles","Pompes hydrauliques - Centrifuges, horizontales et submersibles"
88247,AUXILIAIRE ÉLECTRICIEN AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1368.69,1368.69,1368.69,1368.69,1,XAF,877.62,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Rapport analytique des compositions (CAIXA/IBGE),"Pompes hydrauliques - Centrifuges, horizontales et submersibles","Pompes hydrauliques - Centrifuges, horizontales et submersibles"
38383,"PAPIER DE VERRE HUMIDE, COULEUR NOIRE, GRAIN 100",Material,General,UN,141.29,141.29,141.29,141.29,1,XAF,7.52,0.0533,654,654,Drenagem de ar condicionado,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Drainage de climatisation,Drainage de climatisation
88262,CHARPENTIER DE FORME AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1678.45,1678.45,1678.45,1678.45,1,XAF,4276.36,2.5478,614,614,Bocas para Bueiros,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Bouches pour bouches d'égout,Bouches pour bouches d'égout
3148,"BANDE ADHÉSIVE EN PTFE, ROULEAU DE 18 MM X 50 M (L X C)",Material,General,UN,689.39,689.39,689.39,689.39,1,XAF,20.6,0.0299,513,513,Drenagem de ar condicionado,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Drainage de climatisation,Drainage de climatisation
88239,AIDE DE CHARPENTIER AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1331.43,1331.43,1331.43,1331.43,1,XAF,1282.99,0.9636,489,489,Bocas para Bueiros,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Bouches pour bouches d'égout,Bouches pour bouches d'égout
88246,POSEUR DE TUBES AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1413.72,1413.72,1413.72,1413.72,1,XAF,674.74,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Pose de tuyaux d'égout en PVC et PEHD,Pose de tuyaux d'égout en PVC et PEHD
20078,"PASTE LUBRIFIANTE POUR TUBES ET RACCORDEMENTS AVEC JOINT ÉLASTIQUE, EMBALLAGE DE *400* GR (UTILISATION EN PVC, ACIER, POLYÉTHYLÈNE ET AUTRES)",Material,General,UN,1725.81,1725.81,1725.81,1725.81,1,XAF,188.22,0.1091,396,396,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Pose de tuyaux d'égout en PVC et PEHD,Pose de tuyaux d'égout en PVC et PEHD
5678,"RÉTROEXCAVATRICE SUR ROUES AVEC CHARGEUSE, TRACTION 4X4, PUISSANCE LIQ. 88 HP, GODET CHARGEUR CAP. MIN. 1 M3, GODET RÉTRO CAP. 0,26 M3, POIDS OPÉRATIONNEL MIN. 6.674 KG, PROFONDEUR D'EXCAVATION MAX. 4,37 M - CHP DIURNE. AF_06/2014",Equipment,General,CHP,11064.41,11064.41,11064.41,11064.41,1,XAF,1238.81,0.112,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Pose de tuyaux d'égout en PVC et PEHD,Pose de tuyaux d'égout en PVC et PEHD
5679,"RÉTROEXCAVATRICE SUR ROUES AVEC CHARGEUSE, TRACTION 4X4, PUISSANCE LIQ. 88 HP, GODET CHARGEUR CAP. MIN. 1 M3, GODET RÉTRO CAP. 0,26 M3, POIDS OPÉRATIONNEL MIN. 6.674 KG, PROFONDEUR D'EXCAVATION MAX. 4,37 M - CHI DIURNE. AF_06/2014",Equipment,General,CHI,4206.99,4206.99,4206.99,4206.99,1,XAF,1051.16,0.2499,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Pose de tuyaux d'égout en PVC et PEHD,Pose de tuyaux d'égout en PVC et PEHD
5928,"GRUE HYDRAULIQUE, CAPACITÉ MAXIMALE DE CHARGE 6200 KG, MOMENT MAXIMAL DE CHARGE 11,7 TM, PORTÉE HORIZONTALE MAXIMALE 9,70 M, Y COMPRIS CAMION TOCO PBT 16.000 KG, PUISSANCE DE 189 CV - CHP DIURNE. AF_06/2014",Equipment,General,CHP,20249.31,20249.31,20249.31,20249.31,1,XAF,7403.9,0.3656,381,381,Instalações para Canteiros de Obras,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Installations pour chantiers de construction,Installations pour chantiers de construction
20083,"SOLUCIÓN PRÉPARATRICE / NETTOYANTE POUR PVC, FLACON DE 1000 CM3",Material,General,UN,4737.23,4737.23,4737.23,4737.23,1,XAF,119.58,0.0252,376,376,Drenagem de ar condicionado,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Drainage de climatisation,Drainage de climatisation
5930,"GRUE HYDRAULIQUE, CAPACITÉ MAXIMALE DE CHARGE 6200 KG, MOMENT MAXIMAL DE CHARGE 11,7 TM, PORTÉE HORIZONTALE MAXIMALE 9,70 M, Y COMPRIS CAMION TOCO PBT 16.000 KG, PUISSANCE DE 189 CV - CHI DIURNO. AF_06/2014",Equipment,General,CHI,4054.05,4054.05,4054.05,4054.05,1,XAF,3743.54,0.9234,371,371,Instalações para Canteiros de Obras,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Installations pour chantiers de construction,Installations pour chantiers de construction
122,"ADHÉSIF PLASTIQUE POUR PVC, FLACON DE *850* GR",Material,General,UN,4181.37,4181.37,4181.37,4181.37,1,XAF,76.28,0.0182,368,368,Drenagem de ar condicionado,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Drainage de climatisation,Drainage de climatisation
2692,"DÉMOULEUR PROTECTEUR POUR MOULES EN BOIS, À BASE D'HUILE ÉMULSIONNÉE DANS L'EAU",Material,General,L,695.6,695.6,695.6,695.6,1,XAF,10.96,0.0157,362,362,Bocas para Bueiros,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Bouches pour bouches d'égout,Bouches pour bouches d'égout
1379,CIMENT PORTLAND COMPOSÉ CP II-32,Material,General,KG,54.34,54.34,54.34,54.34,1,XAF,11465.91,210.9891,362,362,Argamassas,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Mortiers,Mortiers
