resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,Pomocný pracovník s doplňkovými náklady,Labor,Labor,H,87.85,87.85,87.85,87.85,1,CZK,232.58,2.6476,3636,3636,Acessibilidade,SINAPI Analytická zpráva o kompozicích (CAIXA/IBGE),Přístupnost,Přístupnost
88267,Instalatér nebo hydraulik s doplňkovými náklady,Labor,Labor,H,108.04,108.04,108.04,108.04,1,CZK,72.85,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytická zpráva o kompozicích (CAIXA/IBGE),"Hydraulické čerpadla - odstředivé, horizontální a ponorné","Hydraulické čerpadla - odstředivé, horizontální a ponorné"
88248,Pomocný instalatér nebo hydraulik s doplňkovými náklady,Labor,Labor,H,84.95,84.95,84.95,84.95,1,CZK,45.1,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytická zpráva o kompozicích (CAIXA/IBGE),"Hydraulické čerpadla - odstředivé, horizontální a ponorné","Hydraulické čerpadla - odstředivé, horizontální a ponorné"
88309,ZEDNÍK S PŘÍPLATKY,Labor,Labor,H,111.81,111.81,111.81,111.81,1,CZK,649.95,5.8132,1283,1283,Acessibilidade,SINAPI Analytická zpráva o kompozicích (CAIXA/IBGE),Přístupnost,Přístupnost
88264,ELEKTRIKÁŘ S DOPLŇKOVÝMI NÁKLADY,Labor,Labor,H,113.23,113.23,113.23,113.23,1,CZK,136.06,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytická zpráva o kompozicích (CAIXA/IBGE),"Hydraulické čerpadla - odstředivé, horizontální a ponorné","Hydraulické čerpadla - odstředivé, horizontální a ponorné"
88247,Pomocný elektrikář s doplňkovými náklady,Labor,Labor,H,89.68,89.68,89.68,89.68,1,CZK,57.5,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytická zpráva o kompozicích (CAIXA/IBGE),"Hydraulické čerpadla - odstředivé, horizontální a ponorné","Hydraulické čerpadla - odstředivé, horizontální a ponorné"
38383,"PAPÍR NA BRUSNÍK, ČERNÁ BARVA, ZRNO 100",Material,General,UN,9.26,9.26,9.26,9.26,1,CZK,0.49,0.0533,654,654,Drenagem de ar condicionado,SINAPI Analytická zpráva o kompozicích (CAIXA/IBGE),Odvodnění klimatizace,Odvodnění klimatizace
88262,Tesař formových konstrukcí s doplňkovými náklady,Labor,Labor,H,109.97,109.97,109.97,109.97,1,CZK,280.19,2.5478,614,614,Bocas para Bueiros,SINAPI Analytická zpráva o kompozicích (CAIXA/IBGE),Otvory pro vpusti,Otvory pro vpusti
3148,"PÁSKA NA ZÁVIT, Z PTFE, CÍVKA 18 MM X 50 M (D X Š)",Material,General,UN,45.17,45.17,45.17,45.17,1,CZK,1.35,0.0299,513,513,Drenagem de ar condicionado,SINAPI Analytická zpráva o kompozicích (CAIXA/IBGE),Odvodnění klimatizace,Odvodnění klimatizace
88239,Pomocný tesař s doplňkovými náklady,Labor,Labor,H,87.24,87.24,87.24,87.24,1,CZK,84.06,0.9636,489,489,Bocas para Bueiros,SINAPI Analytická zpráva o kompozicích (CAIXA/IBGE),Otvory pro vpusti,Otvory pro vpusti
88246,SVAŘOVACÍ TRUBKY S DOPLŇKOVÝMI NÁKLADY,Labor,Labor,H,92.63,92.63,92.63,92.63,1,CZK,44.21,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analytická zpráva o kompozicích (CAIXA/IBGE),Uložení odpadních trubek z PVC a PEAD,Uložení odpadních trubek z PVC a PEAD
20078,"MAZIVO NA TRUBKY A SPOJE S ELASTICKOU SPOJKOU, BALENÍ *400* GR (POUŽITÍ V PVC, OCELI, POLYETYLENU A DALŠÍCH)",Material,General,UN,113.08,113.08,113.08,113.08,1,CZK,12.33,0.1091,396,396,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analytická zpráva o kompozicích (CAIXA/IBGE),Uložení odpadních trubek z PVC a PEAD,Uložení odpadních trubek z PVC a PEAD
