resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,HILFSARBEITER MIT ZUSÄTZLICHEN ABGABEN,Labor,Labor,H,4.8,4.8,4.8,4.8,1,EUR,12.71,2.6476,3636,3636,Acessibilidade,SINAPI Analytischer Bericht der Zusammensetzungen (CAIXA/IBGE),Barrierefreiheit,Barrierefreiheit
88267,KLEMPNER ODER HYDRAULIKINSTALLATEUR MIT ZUSÄTZLICHEN ABGABEN,Labor,Labor,H,5.9,5.9,5.9,5.9,1,EUR,3.98,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytischer Bericht der Zusammensetzungen (CAIXA/IBGE),"Hydraulikpumpen - Kreiselpumpen, Horizontal- und Tauchpumpen","Hydraulikpumpen - Kreiselpumpen, Horizontal- und Tauchpumpen"
88248,HILFSARBEITER FÜR KLEMPNER- ODER HYDRAULIKINSTALLATEUR MIT ZUSÄTZLICHEN ABGABEN,Labor,Labor,H,4.64,4.64,4.64,4.64,1,EUR,2.46,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytischer Bericht der Zusammensetzungen (CAIXA/IBGE),"Hydraulikpumpen - Kreiselpumpen, Horizontal- und Tauchpumpen","Hydraulikpumpen - Kreiselpumpen, Horizontal- und Tauchpumpen"
88309,MAURER MIT ZUSÄTZLICHEN ABGABEN,Labor,Labor,H,6.11,6.11,6.11,6.11,1,EUR,35.51,5.8132,1283,1283,Acessibilidade,SINAPI Analytischer Bericht der Zusammensetzungen (CAIXA/IBGE),Barrierefreiheit,Barrierefreiheit
88264,ELEKTRIKER MIT ZUSÄTZLICHEN ABGABEN,Labor,Labor,H,6.19,6.19,6.19,6.19,1,EUR,7.43,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytischer Bericht der Zusammensetzungen (CAIXA/IBGE),"Hydraulikpumpen - Kreiselpumpen, Horizontal- und Tauchpumpen","Hydraulikpumpen - Kreiselpumpen, Horizontal- und Tauchpumpen"
88247,ELEKTRIKERHILFSARBEITER MIT ZUSÄTZLICHEN ABGABEN,Labor,Labor,H,4.9,4.9,4.9,4.9,1,EUR,3.14,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytischer Bericht der Zusammensetzungen (CAIXA/IBGE),"Hydraulikpumpen - Kreiselpumpen, Horizontal- und Tauchpumpen","Hydraulikpumpen - Kreiselpumpen, Horizontal- und Tauchpumpen"
38383,"WASSERSCHLEIFPAPIER IN BLATTFORM, SCHWARZE FARBE, KORN 100",Material,General,UN,0.51,0.51,0.51,0.51,1,EUR,0.03,0.0533,654,654,Drenagem de ar condicionado,SINAPI Analytischer Bericht der Zusammensetzungen (CAIXA/IBGE),Klimaanlagenentwässerung,Klimaanlagenentwässerung
88262,SCHALUNGSZIMMERER MIT ZUSÄTZLICHEN ABGABEN,Labor,Labor,H,6.01,6.01,6.01,6.01,1,EUR,15.31,2.5478,614,614,Bocas para Bueiros,SINAPI Analytischer Bericht der Zusammensetzungen (CAIXA/IBGE),Einläufe für Straßengullys,Einläufe für Straßengullys
3148,"DICHTBAND FÜR GEWINDE, AUS PTFE, ROLLE 18 MM X 50 M (L X B)",Material,General,UN,2.47,2.47,2.47,2.47,1,EUR,0.07,0.0299,513,513,Drenagem de ar condicionado,SINAPI Analytischer Bericht der Zusammensetzungen (CAIXA/IBGE),Klimaanlagenentwässerung,Klimaanlagenentwässerung
88239,Tischlerhelfer mit Zusatzkosten,Labor,Labor,H,4.77,4.77,4.77,4.77,1,EUR,4.59,0.9636,489,489,Bocas para Bueiros,SINAPI Analytischer Bericht der Zusammensetzungen (CAIXA/IBGE),Einläufe für Straßengullys,Einläufe für Straßengullys
88246,ROHRLEGER MIT ZUSÄTZLICHEN AUFWANDSKOSTEN,Labor,Labor,H,5.06,5.06,5.06,5.06,1,EUR,2.42,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analytischer Bericht der Zusammensetzungen (CAIXA/IBGE),Verlegung von Abwasserrohren aus PVC und PEAD,Verlegung von Abwasserrohren aus PVC und PEAD
