resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,SERVICIO CON CARGOS COMPLEMENTARIOS,Labor,Labor,H,3.86,3.86,3.86,3.86,1,EUR,10.22,2.6476,3636,3636,Acessibilidade,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Accesibilidad,Accesibilidad
88267,Plomero o bombero hidráulico con cargas complementarias,Labor,Labor,H,4.75,4.75,4.75,4.75,1,EUR,3.2,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),"Bombas hidráulicas - centrífugas, horizontales y sumergibles","Bombas hidráulicas - centrífugas, horizontales y sumergibles"
88248,AYUDANTE DE FONTANERO O BOMBERO HIDRÁULICO CON CARGOS COMPLEMENTARIOS,Labor,Labor,H,3.73,3.73,3.73,3.73,1,EUR,1.98,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),"Bombas hidráulicas - centrífugas, horizontales y sumergibles","Bombas hidráulicas - centrífugas, horizontales y sumergibles"
88309,Albañil con cargos complementarios,Labor,Labor,H,4.91,4.91,4.91,4.91,1,EUR,28.56,5.8132,1283,1283,Acessibilidade,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Accesibilidad,Accesibilidad
88264,ELECTRICISTA CON CARGOS COMPLEMENTARIOS,Labor,Labor,H,4.98,4.98,4.98,4.98,1,EUR,5.98,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),"Bombas hidráulicas - centrífugas, horizontales y sumergibles","Bombas hidráulicas - centrífugas, horizontales y sumergibles"
88247,AYUDANTE DE ELECTRICISTA CON CARGOS COMPLEMENTARIOS,Labor,Labor,H,3.94,3.94,3.94,3.94,1,EUR,2.53,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),"Bombas hidráulicas - centrífugas, horizontales y sumergibles","Bombas hidráulicas - centrífugas, horizontales y sumergibles"
38383,"LIMPIEZA DE AGUA EN HOJA, COLOR NEGRO, GRANO 100",Material,General,UN,0.41,0.41,0.41,0.41,1,EUR,0.02,0.0533,654,654,Drenagem de ar condicionado,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Drenaje de aire acondicionado,Drenaje de aire acondicionado
88262,CARPINTERO DE FORMA CON CARGOS COMPLEMENTARIOS,Labor,Labor,H,4.83,4.83,4.83,4.83,1,EUR,12.31,2.5478,614,614,Bocas para Bueiros,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Aberturas para alcantarillas,Aberturas para alcantarillas
3148,"CINTA VEDALOSA DE ROSCA, EM PTFE, ROLLO DE 18 MM X 50 M (L X C)",Material,General,UN,1.98,1.98,1.98,1.98,1,EUR,0.06,0.0299,513,513,Drenagem de ar condicionado,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Drenaje de aire acondicionado,Drenaje de aire acondicionado
88239,AYUDANTE DE CARPINTERO CON CARGOS COMPLEMENTARIOS,Labor,Labor,H,3.83,3.83,3.83,3.83,1,EUR,3.69,0.9636,489,489,Bocas para Bueiros,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Aberturas para alcantarillas,Aberturas para alcantarillas
88246,INSTALADOR DE TUBERÍAS CON CARGOS COMPLEMENTARIOS,Labor,Labor,H,4.07,4.07,4.07,4.07,1,EUR,1.94,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Fijación de tuberías de alcantarillado en PVC y PEAD,Fijación de tuberías de alcantarillado en PVC y PEAD
20078,"PASTA LUBRICANTE PARA TUBERÍAS Y CONEXIONES CON JUNTA ELÁSTICA, ENVASE DE *400* G (USO EN PVC, ACERO, POLIETILENO Y OTROS)",Material,General,UN,4.97,4.97,4.97,4.97,1,EUR,0.54,0.1091,396,396,Assentamento de Tubos de Esgoto em PVC e PEAD,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Fijación de tuberías de alcantarillado en PVC y PEAD,Fijación de tuberías de alcantarillado en PVC y PEAD
5678,"RETROEXCAVADORA SOBRE RODAS CON CARGADORA, tracción 4X4, potencia líquida 88 HP, cucharón de carga capacidad mínima 1 M3, cucharón retro capacidad 0,26 M3, peso operacional mínimo 6.674 KG, profundidad de excavación máxima 4,37 M - CHP diurno. AF_06/2014",Equipment,General,CHP,31.86,31.86,31.86,31.86,1,EUR,3.57,0.112,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Fijación de tuberías de alcantarillado en PVC y PEAD,Fijación de tuberías de alcantarillado en PVC y PEAD
