resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,AIDE AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,4.58,4.58,4.58,4.58,1,EUR,12.13,2.6476,3636,3636,Acessibilidade,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Accessibilité,Accessibilité
88267,PLUMBER OU PLOMBIER AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,5.63,5.63,5.63,5.63,1,EUR,3.8,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Rapport analytique des compositions (CAIXA/IBGE),"Pompes hydrauliques - Centrifuges, horizontales et submersibles","Pompes hydrauliques - Centrifuges, horizontales et submersibles"
88248,AUXILIAIRE DE PLOMBIER OU DE POMPIER HYDRAULIQUE AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,4.43,4.43,4.43,4.43,1,EUR,2.35,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Rapport analytique des compositions (CAIXA/IBGE),"Pompes hydrauliques - Centrifuges, horizontales et submersibles","Pompes hydrauliques - Centrifuges, horizontales et submersibles"
88309,MAÇON AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,5.83,5.83,5.83,5.83,1,EUR,33.9,5.8132,1283,1283,Acessibilidade,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Accessibilité,Accessibilité
88264,ÉLECTRICIEN AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,5.9,5.9,5.9,5.9,1,EUR,7.1,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Rapport analytique des compositions (CAIXA/IBGE),"Pompes hydrauliques - Centrifuges, horizontales et submersibles","Pompes hydrauliques - Centrifuges, horizontales et submersibles"
88247,AUXILIAIRE ÉLECTRICIEN AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,4.68,4.68,4.68,4.68,1,EUR,3.0,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Rapport analytique des compositions (CAIXA/IBGE),"Pompes hydrauliques - Centrifuges, horizontales et submersibles","Pompes hydrauliques - Centrifuges, horizontales et submersibles"
38383,"PAPIER DE VERRE HUMIDE, COULEUR NOIRE, GRAIN 100",Material,General,UN,0.48,0.48,0.48,0.48,1,EUR,0.03,0.0533,654,654,Drenagem de ar condicionado,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Drainage de climatisation,Drainage de climatisation
88262,CHARPENTIER DE FORME AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,5.74,5.74,5.74,5.74,1,EUR,14.61,2.5478,614,614,Bocas para Bueiros,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Bouches pour bouches d'égout,Bouches pour bouches d'égout
3148,"BANDE ADHÉSIVE EN PTFE, ROULEAU DE 18 MM X 50 M (L X C)",Material,General,UN,2.36,2.36,2.36,2.36,1,EUR,0.07,0.0299,513,513,Drenagem de ar condicionado,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Drainage de climatisation,Drainage de climatisation
88239,AIDE DE CHARPENTIER AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,4.55,4.55,4.55,4.55,1,EUR,4.38,0.9636,489,489,Bocas para Bueiros,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Bouches pour bouches d'égout,Bouches pour bouches d'égout
88246,POSEUR DE TUBES AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,4.83,4.83,4.83,4.83,1,EUR,2.31,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Pose de tuyaux d'égout en PVC et PEHD,Pose de tuyaux d'égout en PVC et PEHD
20078,"PASTE LUBRIFIANTE POUR TUBES ET RACCORDEMENTS AVEC JOINT ÉLASTIQUE, EMBALLAGE DE *400* GR (UTILISATION EN PVC, ACIER, POLYÉTHYLÈNE ET AUTRES)",Material,General,UN,5.9,5.9,5.9,5.9,1,EUR,0.64,0.1091,396,396,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Pose de tuyaux d'égout en PVC et PEHD,Pose de tuyaux d'égout en PVC et PEHD
5678,"RÉTROEXCAVATRICE SUR ROUES AVEC CHARGEUSE, TRACTION 4X4, PUISSANCE LIQ. 88 HP, GODET CHARGEUR CAP. MIN. 1 M3, GODET RÉTRO CAP. 0,26 M3, POIDS OPÉRATIONNEL MIN. 6.674 KG, PROFONDEUR D'EXCAVATION MAX. 4,37 M - CHP DIURNE. AF_06/2014",Equipment,General,CHP,37.81,37.81,37.81,37.81,1,EUR,4.23,0.112,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Pose de tuyaux d'égout en PVC et PEHD,Pose de tuyaux d'égout en PVC et PEHD
