resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,LABORER WITH ADDITIONAL CHARGES,Labor,Labor,H,32.11,32.11,32.11,32.11,1,GHS,85.03,2.6476,3636,3636,Acessibilidade,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Accessibility,Accessibility
88267,PLUMBER OR HYDRAULIC FITTER WITH ADDITIONAL CHARGES,Labor,Labor,H,39.5,39.5,39.5,39.5,1,GHS,26.63,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytical Report of Compositions (CAIXA/IBGE),"Hydraulic Pumps - Centrifugal, Horizontal and Submersible","Hydraulic Pumps - Centrifugal, Horizontal and Submersible"
88248,PLUMBER'S ASSISTANT OR HYDRAULIC FIREMAN WITH ADDITIONAL CHARGES,Labor,Labor,H,31.05,31.05,31.05,31.05,1,GHS,16.49,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytical Report of Compositions (CAIXA/IBGE),"Hydraulic Pumps - Centrifugal, Horizontal and Submersible","Hydraulic Pumps - Centrifugal, Horizontal and Submersible"
88309,MASON WITH ADDITIONAL CHARGES,Labor,Labor,H,40.87,40.87,40.87,40.87,1,GHS,237.61,5.8132,1283,1283,Acessibilidade,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Accessibility,Accessibility
88264,ELECTRICIAN WITH ADDITIONAL CHARGES,Labor,Labor,H,41.39,41.39,41.39,41.39,1,GHS,49.74,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytical Report of Compositions (CAIXA/IBGE),"Hydraulic Pumps - Centrifugal, Horizontal and Submersible","Hydraulic Pumps - Centrifugal, Horizontal and Submersible"
88247,ELECTRICIAN'S ASSISTANT WITH ADDITIONAL CHARGES,Labor,Labor,H,32.78,32.78,32.78,32.78,1,GHS,21.02,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytical Report of Compositions (CAIXA/IBGE),"Hydraulic Pumps - Centrifugal, Horizontal and Submersible","Hydraulic Pumps - Centrifugal, Horizontal and Submersible"
38383,"WATERPROOF SANDPAPER SHEET, BLACK COLOR, GRAIN 100",Material,General,UN,3.38,3.38,3.38,3.38,1,GHS,0.18,0.0533,654,654,Drenagem de ar condicionado,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Air conditioning drainage,Air conditioning drainage
88262,FORMWORK CARPENTER WITH ADDITIONAL CHARGES,Labor,Labor,H,40.2,40.2,40.2,40.2,1,GHS,102.43,2.5478,614,614,Bocas para Bueiros,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Inlets for Storm Drains,Inlets for Storm Drains
3148,"THREAD SEAL TAPE, PTFE, 18 MM X 50 M ROLL (L X W)",Material,General,UN,16.51,16.51,16.51,16.51,1,GHS,0.49,0.0299,513,513,Drenagem de ar condicionado,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Air conditioning drainage,Air conditioning drainage
88239,CARPENTER'S HELPER WITH ADDITIONAL CHARGES,Labor,Labor,H,31.89,31.89,31.89,31.89,1,GHS,30.73,0.9636,489,489,Bocas para Bueiros,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Inlets for Storm Drains,Inlets for Storm Drains
88246,PIPE LAYER WITH ADDITIONAL CHARGES,Labor,Labor,H,33.86,33.86,33.86,33.86,1,GHS,16.16,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Installation of PVC and HDPE Sewage Pipes,Installation of PVC and HDPE Sewage Pipes
20078,"LUBRICANT PASTE FOR PIPES AND FITTINGS WITH ELASTIC JOINT, PACKAGING OF *400* GR (USE IN PVC, STEEL, POLYETHYLENE AND OTHERS)",Material,General,UN,41.34,41.34,41.34,41.34,1,GHS,4.51,0.1091,396,396,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Installation of PVC and HDPE Sewage Pipes,Installation of PVC and HDPE Sewage Pipes
5678,"WHEEL BACKHOE LOADER WITH LOADER, 4X4 DRIVE, NET POWER 88 HP, LOADER BUCKET MIN. CAP. 1 M3, BACKHOE BUCKET CAP. 0,26 M3, MIN. OPERATING WEIGHT 6.674 KG, MAX. EXCAVATION DEPTH 4,37 M - DAYTIME CHP. AF_06/2014",Equipment,General,CHP,265.03,265.03,265.03,265.03,1,GHS,29.67,0.112,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Installation of PVC and HDPE Sewage Pipes,Installation of PVC and HDPE Sewage Pipes
