resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,POMOĆNI RADNIK S DODATNIM TROŠKOVIMA,Labor,Labor,H,3.18,3.18,3.18,3.18,1,EUR,8.43,2.6476,3636,3636,Acessibilidade,SINAPI Analitički izvještaj o sastavnicama (CAIXA/IBGE),Pristupačnost,Pristupačnost
88267,Cijevni ili vodoinstalater s dodatnim troškovima,Labor,Labor,H,3.91,3.91,3.91,3.91,1,EUR,2.64,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analitički izvještaj o sastavnicama (CAIXA/IBGE),"Hidraulične pumpe - centrifugalne, horizontalne i potopne","Hidraulične pumpe - centrifugalne, horizontalne i potopne"
88248,POMOĆNI CJELOVODAR ILI HIDRAULIČAR S DODATNIM TROŠKOVIMA,Labor,Labor,H,3.08,3.08,3.08,3.08,1,EUR,1.63,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analitički izvještaj o sastavnicama (CAIXA/IBGE),"Hidraulične pumpe - centrifugalne, horizontalne i potopne","Hidraulične pumpe - centrifugalne, horizontalne i potopne"
88309,ZIDAR S DODATNIM TROŠKOVIMA,Labor,Labor,H,4.05,4.05,4.05,4.05,1,EUR,23.55,5.8132,1283,1283,Acessibilidade,SINAPI Analitički izvještaj o sastavnicama (CAIXA/IBGE),Pristupačnost,Pristupačnost
88264,ELEKTRIČAR S DODATNIM OBVEZAMA,Labor,Labor,H,4.1,4.1,4.1,4.1,1,EUR,4.93,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analitički izvještaj o sastavnicama (CAIXA/IBGE),"Hidraulične pumpe - centrifugalne, horizontalne i potopne","Hidraulične pumpe - centrifugalne, horizontalne i potopne"
88247,POMOĆNI ELEKTRIČAR S DODATNIM OBVEZAMA,Labor,Labor,H,3.25,3.25,3.25,3.25,1,EUR,2.08,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analitički izvještaj o sastavnicama (CAIXA/IBGE),"Hidraulične pumpe - centrifugalne, horizontalne i potopne","Hidraulične pumpe - centrifugalne, horizontalne i potopne"
38383,"VLAKNA ŠPINA U LISTU, CRNA BOJA, ZRNOST 100",Material,General,UN,0.34,0.34,0.34,0.34,1,EUR,0.02,0.0533,654,654,Drenagem de ar condicionado,SINAPI Analitički izvještaj o sastavnicama (CAIXA/IBGE),Odvodnja klimatizacije,Odvodnja klimatizacije
88262,DRVOSJEČA OBLIKA S DODATNIM TROŠKOVIMA,Labor,Labor,H,3.98,3.98,3.98,3.98,1,EUR,10.15,2.5478,614,614,Bocas para Bueiros,SINAPI Analitički izvještaj o sastavnicama (CAIXA/IBGE),Otvor za odvodne šahtove,Otvor za odvodne šahtove
3148,"FITA VEDA ROSCA, EM PTFE, ROLO DE 18 MM X 50 M (L X C)",Material,General,UN,1.64,1.64,1.64,1.64,1,EUR,0.05,0.0299,513,513,Drenagem de ar condicionado,SINAPI Analitički izvještaj o sastavnicama (CAIXA/IBGE),Odvodnja klimatizacije,Odvodnja klimatizacije
88239,POMOĆNIK ZIDARA S DODATNIM TROŠKOVIMA,Labor,Labor,H,3.16,3.16,3.16,3.16,1,EUR,3.05,0.9636,489,489,Bocas para Bueiros,SINAPI Analitički izvještaj o sastavnicama (CAIXA/IBGE),Otvor za odvodne šahtove,Otvor za odvodne šahtove
88246,POSTAVLJAČ CEVOVODOV S DODATNIM STROŠKOVIMA,Labor,Labor,H,3.36,3.36,3.36,3.36,1,EUR,1.6,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analitički izvještaj o sastavnicama (CAIXA/IBGE),Postavljanje PVC i PEAD cijevi za odvodnju,Postavljanje PVC i PEAD cijevi za odvodnju
