resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,PEKERJA DENGAN TANGGUNG JAWAB TAMBAHAN,Labor,Labor,H,31918.01,31918.01,31918.01,31918.01,1,IDR,84504.52,2.6476,3636,3636,Acessibilidade,Laporan Analitik Komposisi SINAPI (CAIXA/IBGE),Aksesibilitas,Aksesibilitas
88267,TUKANG PIPA ATAU PEMADAM KEBAKARAN HIDRANT DENGAN BIAYA TAMBAHAN,Labor,Labor,H,39255.27,39255.27,39255.27,39255.27,1,IDR,26469.76,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",Laporan Analitik Komposisi SINAPI (CAIXA/IBGE),"Pompa Hidráulica - Sentrifugal, Horizontal dan Submersible","Pompa Hidráulica - Sentrifugal, Horizontal dan Submersible"
88248,Asisten Pekerja Tukang Ledeng atau Pemadam Kebakaran Hidrolik dengan biaya tambahan,Labor,Labor,H,30864.55,30864.55,30864.55,30864.55,1,IDR,16385.89,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",Laporan Analitik Komposisi SINAPI (CAIXA/IBGE),"Pompa Hidráulica - Sentrifugal, Horizontal dan Submersible","Pompa Hidráulica - Sentrifugal, Horizontal dan Submersible"
88309,TUKANG BATU DENGAN BIAYA PELENGKAP,Labor,Labor,H,40622.92,40622.92,40622.92,40622.92,1,IDR,236150.52,5.8132,1283,1283,Acessibilidade,Laporan Analitik Komposisi SINAPI (CAIXA/IBGE),Aksesibilitas,Aksesibilitas
88264,TUKANG Listrik dengan biaya tambahan,Labor,Labor,H,41140.41,41140.41,41140.41,41140.41,1,IDR,49435.21,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",Laporan Analitik Komposisi SINAPI (CAIXA/IBGE),"Pompa Hidráulica - Sentrifugal, Horizontal dan Submersible","Pompa Hidráulica - Sentrifugal, Horizontal dan Submersible"
88247,Asisten Electrician dengan biaya tambahan,Labor,Labor,H,32583.35,32583.35,32583.35,32583.35,1,IDR,20892.73,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",Laporan Analitik Komposisi SINAPI (CAIXA/IBGE),"Pompa Hidráulica - Sentrifugal, Horizontal dan Submersible","Pompa Hidráulica - Sentrifugal, Horizontal dan Submersible"
38383,"LIXA D'AGUA EM FOLHA, COR PRETA, GRAO 100",Material,General,UN,3363.68,3363.68,3363.68,3363.68,1,IDR,178.94,0.0533,654,654,Drenagem de ar condicionado,Laporan Analitik Komposisi SINAPI (CAIXA/IBGE),Drenagem de ar condicionado,Drenagem de ar condicionado
88262,TUKANG UKUR CETAK BETON DENGAN BIAYA TAMBAHAN,Labor,Labor,H,39957.58,39957.58,39957.58,39957.58,1,IDR,101804.06,2.5478,614,614,Bocas para Bueiros,Laporan Analitik Komposisi SINAPI (CAIXA/IBGE),Lubang untuk gorong-gorong,Lubang untuk gorong-gorong
3148,"FITA VEDA ROSCA, EM PTFE, ROLLO 18 MM X 50 M (L X C)",Material,General,UN,16411.81,16411.81,16411.81,16411.81,1,IDR,490.33,0.0299,513,513,Drenagem de ar condicionado,Laporan Analitik Komposisi SINAPI (CAIXA/IBGE),Drenagem de ar condicionado,Drenagem de ar condicionado
88239,Asisten tukang kayu dengan biaya tambahan,Labor,Labor,H,31696.23,31696.23,31696.23,31696.23,1,IDR,30543.14,0.9636,489,489,Bocas para Bueiros,Laporan Analitik Komposisi SINAPI (CAIXA/IBGE),Lubang untuk gorong-gorong,Lubang untuk gorong-gorong
