resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,Servente con oneri complementari,Labor,Labor,H,4.13,4.13,4.13,4.13,1,EUR,10.92,2.6476,3636,3636,Acessibilidade,Rapporto Analitico delle Composizioni SINAPI (CAIXA/IBGE),Accessibilità,Accessibilità
88267,Idraulico o pompista con oneri accessori,Labor,Labor,H,5.07,5.07,5.07,5.07,1,EUR,3.42,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",Rapporto Analitico delle Composizioni SINAPI (CAIXA/IBGE),"Pompe idrauliche - Centrifughe, orizzontali e sommergibili","Pompe idrauliche - Centrifughe, orizzontali e sommergibili"
88248,TECNICO ASSISTENTE DI IDRAULICO O IMPIANTISTA IDRAULICO CON ONERI COMPLEMENTARI,Labor,Labor,H,3.99,3.99,3.99,3.99,1,EUR,2.12,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",Rapporto Analitico delle Composizioni SINAPI (CAIXA/IBGE),"Pompe idrauliche - Centrifughe, orizzontali e sommergibili","Pompe idrauliche - Centrifughe, orizzontali e sommergibili"
88309,Muratore con oneri complementari,Labor,Labor,H,5.25,5.25,5.25,5.25,1,EUR,30.53,5.8132,1283,1283,Acessibilidade,Rapporto Analitico delle Composizioni SINAPI (CAIXA/IBGE),Accessibilità,Accessibilità
88264,ELETTRICISTA CON ONERI COMPLEMENTARI,Labor,Labor,H,5.32,5.32,5.32,5.32,1,EUR,6.39,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",Rapporto Analitico delle Composizioni SINAPI (CAIXA/IBGE),"Pompe idrauliche - Centrifughe, orizzontali e sommergibili","Pompe idrauliche - Centrifughe, orizzontali e sommergibili"
88247,Ausiliario elettricista con oneri accessori,Labor,Labor,H,4.21,4.21,4.21,4.21,1,EUR,2.7,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",Rapporto Analitico delle Composizioni SINAPI (CAIXA/IBGE),"Pompe idrauliche - Centrifughe, orizzontali e sommergibili","Pompe idrauliche - Centrifughe, orizzontali e sommergibili"
38383,"LIXA D'AGUA EM FOLHA, COR PRETA, GRAO 100",Material,General,UN,0.43,0.43,0.43,0.43,1,EUR,0.02,0.0533,654,654,Drenagem de ar condicionado,Rapporto Analitico delle Composizioni SINAPI (CAIXA/IBGE),Drenaggio di aria condizionata,Drenaggio di aria condizionata
88262,Falegname di casseforma con oneri accessori,Labor,Labor,H,5.17,5.17,5.17,5.17,1,EUR,13.16,2.5478,614,614,Bocas para Bueiros,Rapporto Analitico delle Composizioni SINAPI (CAIXA/IBGE),Bocche per tombini,Bocche per tombini
3148,"Nastro veda rosca, in PTFE, rotolo di 18 MM x 50 M (L x C)",Material,General,UN,2.12,2.12,2.12,2.12,1,EUR,0.06,0.0299,513,513,Drenagem de ar condicionado,Rapporto Analitico delle Composizioni SINAPI (CAIXA/IBGE),Drenaggio di aria condizionata,Drenaggio di aria condizionata
88239,Aiutante di carpentiere con oneri accessori,Labor,Labor,H,4.1,4.1,4.1,4.1,1,EUR,3.95,0.9636,489,489,Bocas para Bueiros,Rapporto Analitico delle Composizioni SINAPI (CAIXA/IBGE),Bocche per tombini,Bocche per tombini
88246,Fornitore di tubi con oneri complementari,Labor,Labor,H,4.35,4.35,4.35,4.35,1,EUR,2.08,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,Rapporto Analitico delle Composizioni SINAPI (CAIXA/IBGE),Posizionamento di tubazioni di scarico in PVC e PEAD,Posizionamento di tubazioni di scarico in PVC e PEAD
20078,"Pasta lubrificante per tubi e raccordi con guarnizione elastica, confezione da *400* g (uso in PVC, acciaio, polietilene e altri)",Material,General,UN,5.31,5.31,5.31,5.31,1,EUR,0.58,0.1091,396,396,Assentamento de Tubos de Esgoto em PVC e PEAD,Rapporto Analitico delle Composizioni SINAPI (CAIXA/IBGE),Posizionamento di tubazioni di scarico in PVC e PEAD,Posizionamento di tubazioni di scarico in PVC e PEAD
5678,"ESCAVATRICE RETROCESKAVATRICE SU RUOTE CON PALETTI, TRAZIONE 4X4, POTENZA NETTA 88 HP, VAGONE CASSA CAPACITÀ MIN. 1 M3, VAGONE RETRO CAPACITÀ 0,26 M3, PESO OPERATIVO MIN. 6.674 KG, PROFONDITÀ DI SCAVO MASSIMA 4,37 M - CHP DIURNO. AF_06/2014",Equipment,General,CHP,34.05,34.05,34.05,34.05,1,EUR,3.81,0.112,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,Rapporto Analitico delle Composizioni SINAPI (CAIXA/IBGE),Posizionamento di tubazioni di scarico in PVC e PEAD,Posizionamento di tubazioni di scarico in PVC e PEAD
