resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,補完諸経費込み普通作業員,Labor,Labor,H,656.34,656.34,656.34,656.34,1,JPY,1737.71,2.6476,3636,3636,Acessibilidade,SINAPI 構成分析報告書（CAIXA/IBGE）,アクセシビリティ,アクセシビリティ
88267,補完諸経費込み配管工または給排水設備工,Labor,Labor,H,807.22,807.22,807.22,807.22,1,JPY,544.31,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI 構成分析報告書（CAIXA/IBGE）,水力ポンプ - 遠心式、水平型および潜水型,水力ポンプ - 遠心式、水平型および潜水型
88248,補完諸経費込み配管工・給排水設備工補助者,Labor,Labor,H,634.68,634.68,634.68,634.68,1,JPY,336.95,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI 構成分析報告書（CAIXA/IBGE）,水力ポンプ - 遠心式、水平型および潜水型,水力ポンプ - 遠心式、水平型および潜水型
88309,補完諸経費込みれんが工・左官工,Labor,Labor,H,835.35,835.35,835.35,835.35,1,JPY,4856.07,5.8132,1283,1283,Acessibilidade,SINAPI 構成分析報告書（CAIXA/IBGE）,アクセシビリティ,アクセシビリティ
88264,補完諸経費込み電気工,Labor,Labor,H,845.99,845.99,845.99,845.99,1,JPY,1016.56,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI 構成分析報告書（CAIXA/IBGE）,水力ポンプ - 遠心式、水平型および潜水型,水力ポンプ - 遠心式、水平型および潜水型
88247,補完諸経費込み電気工補助者,Labor,Labor,H,670.03,670.03,670.03,670.03,1,JPY,429.63,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI 構成分析報告書（CAIXA/IBGE）,水力ポンプ - 遠心式、水平型および潜水型,水力ポンプ - 遠心式、水平型および潜水型
38383,水洗紙、黒色、粒度100,Material,General,UN,69.17,69.17,69.17,69.17,1,JPY,3.68,0.0533,654,654,Drenagem de ar condicionado,SINAPI 構成分析報告書（CAIXA/IBGE）,空調排水,空調排水
88262,補完諸経費込み型枠大工,Labor,Labor,H,821.67,821.67,821.67,821.67,1,JPY,2093.44,2.5478,614,614,Bocas para Bueiros,SINAPI 構成分析報告書（CAIXA/IBGE）,暗渠用吐口・流入口,暗渠用吐口・流入口
3148,PTFE 製のロール式シールテープ、18 MM X 50 M (L X C),Material,General,UN,337.48,337.48,337.48,337.48,1,JPY,10.08,0.0299,513,513,Drenagem de ar condicionado,SINAPI 構成分析報告書（CAIXA/IBGE）,空調排水,空調排水
88239,補完諸経費込み大工補助者,Labor,Labor,H,651.78,651.78,651.78,651.78,1,JPY,628.07,0.9636,489,489,Bocas para Bueiros,SINAPI 構成分析報告書（CAIXA/IBGE）,暗渠用吐口・流入口,暗渠用吐口・流入口
88246,補完諸経費込み管布設工,Labor,Labor,H,692.07,692.07,692.07,692.07,1,JPY,330.31,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI 構成分析報告書（CAIXA/IBGE）,PVC および PEAD 製下水管の布設,PVC および PEAD 製下水管の布設
20078,潤滑グリースパスタ、弾性ジョイント付きパイプおよびコネクタ用、*400*グラムパッケージ（PVC、鋼、ポリエチレンその他に使用）,Material,General,UN,844.85,844.85,844.85,844.85,1,JPY,92.14,0.1091,396,396,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI 構成分析報告書（CAIXA/IBGE）,PVC および PEAD 製下水管の布設,PVC および PEAD 製下水管の布設
5678,"ローダー付きホイール式バックホウ、4X4 駆動、正味出力 88 HP、ローダーバケット最小容量 1 M3、バックホウバケット容量 0,26 M3、最小運転質量 6.674 KG、最大掘削深さ 4,37 M - 昼間 CHP。AF_06/2014",Equipment,General,CHP,5416.46,5416.46,5416.46,5416.46,1,JPY,606.45,0.112,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI 構成分析報告書（CAIXA/IBGE）,PVC および PEAD 製下水管の布設,PVC および PEAD 製下水管の布設
5679,"ローダー付きホイール式バックホウ、4X4 駆動、正味出力 88 HP、ローダーバケット最小容量 1 M3、バックホウバケット容量 0,26 M3、最小運転質量 6.674 KG、最大掘削深さ 4,37 M - 昼間 CHI。AF_06/2014",Equipment,General,CHI,2059.49,2059.49,2059.49,2059.49,1,JPY,514.58,0.2499,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI 構成分析報告書（CAIXA/IBGE）,PVC および PEAD 製下水管の布設,PVC および PEAD 製下水管の布設
5928,"油圧式クレーン、最大積載能力6200 KG、最大荷重モーメント11.7 TM、最大水平到達距離9.70 M、トラックトラックPBT 16,000 KGを含む、出力189 CV - 日中CHP。",Equipment,General,CHP,9912.82,9912.82,9912.82,9912.82,1,JPY,3624.49,0.3656,381,381,Instalações para Canteiros de Obras,SINAPI 構成分析報告書（CAIXA/IBGE）,工事現場仮設設備,工事現場仮設設備
20083,PVC用の準備・清掃ソリューション / 1000 CM3の瓶,Material,General,UN,2319.06,2319.06,2319.06,2319.06,1,JPY,58.54,0.0252,376,376,Drenagem de ar condicionado,SINAPI 構成分析報告書（CAIXA/IBGE）,空調排水,空調排水
5930,"油圧式クレーン、最大積載能力6200 KG、最大荷重モーメント11.7 TM、最大水平範囲9.70 M、トラックトラックPBT 16,000 KGを含む、189 CVの出力 - 日勤CHI。AF_06/2014",Equipment,General,CHI,1984.62,1984.62,1984.62,1984.62,1,JPY,1832.61,0.9234,371,371,Instalações para Canteiros de Obras,SINAPI 構成分析報告書（CAIXA/IBGE）,工事現場仮設設備,工事現場仮設設備
122,PVC用プラスチック接着剤、瓶入り *850* グラム,Material,General,UN,2046.94,2046.94,2046.94,2046.94,1,JPY,37.34,0.0182,368,368,Drenagem de ar condicionado,SINAPI 構成分析報告書（CAIXA/IBGE）,空調排水,空調排水
2692,木材型枠用保護脱 mold剤、油性エマルジョン水性,Material,General,L,340.52,340.52,340.52,340.52,1,JPY,5.36,0.0157,362,362,Bocas para Bueiros,SINAPI 構成分析報告書（CAIXA/IBGE）,暗渠用吐口・流入口,暗渠用吐口・流入口
1379,ポルトランドセメント混合CP II-32,Material,General,KG,26.6,26.6,26.6,26.6,1,JPY,5613.01,210.9891,362,362,Argamassas,SINAPI 構成分析報告書（CAIXA/IBGE）,モルタル,モルタル
5903,"10,000リットルトラックパイプカー、総重量23,000 KG、最大積載量15,935 KG、軸距4.8 M、出力230 CV、鋼タンク付き水運搬用 - CHI 昼間。AF_06/2014",Equipment,General,CHI,2010.08,2010.08,2010.08,2010.08,1,JPY,189.19,0.0941,343,343,Aterro e Reaterro de Valas,SINAPI 構成分析報告書（CAIXA/IBGE）,溝の埋戻しおよび再埋戻し,溝の埋戻しおよび再埋戻し
5901,"10,000リットルトラックパイプカー、総車両重量23,000 KG、最大積載量15,935 KG、軸間距離4.8 M、出力230 CV、鋼製水タンクを含む - CHP昼間。",Equipment,General,CHP,11470.64,11470.64,11470.64,11470.64,1,JPY,222.41,0.0194,343,343,Aterro e Reaterro de Valas,SINAPI 構成分析報告書（CAIXA/IBGE）,溝の埋戻しおよび再埋戻し,溝の埋戻しおよび再埋戻し
5631,"クローラ式油圧ショベル、バケット 0,80 M3、運転質量 17 T、総出力 111 HP - 昼間 CHP。AF_06/2014",Equipment,General,CHP,7829.77,7829.77,7829.77,7829.77,1,JPY,449.79,0.0574,335,335,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI 構成分析報告書（CAIXA/IBGE）,PVC および PEAD 製下水管の布設,PVC および PEAD 製下水管の布設
5632,"クローラ式油圧ショベル、バケット 0,80 M3、運転質量 17 T、総出力 111 HP - 昼間 CHI。AF_06/2014",Equipment,General,CHI,2949.18,2949.18,2949.18,2949.18,1,JPY,423.44,0.1436,335,335,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI 構成分析報告書（CAIXA/IBGE）,PVC および PEAD 製下水管の布設,PVC および PEAD 製下水管の布設
4517,松材、混合または地域の同等品の*2.5 X 7.5* CMのサラッファ - 粗い,Material,General,M,188.12,188.12,188.12,188.12,1,JPY,213.39,1.1344,272,272,Caixas Enterradas,SINAPI 構成分析報告書（CAIXA/IBGE）,埋設ボックス,埋設ボックス
370,中粒砂 - 掘削地点/供給者（掘削地点から採取、輸送なし）,Material,General,M3,4180.54,4180.54,4180.54,4180.54,1,JPY,2583.68,0.618,270,270,Argamassas,SINAPI 構成分析報告書（CAIXA/IBGE）,モルタル,モルタル
6193,"未仕上げの板 *2,5 X 20* CM、マカランダバ/マサランダバ、エンジェリムまたは地域の同等品 - 総量",Material,General,M,563.61,563.61,563.61,563.61,1,JPY,905.92,1.6073,258,258,Caixas Enterradas,SINAPI 構成分析報告書（CAIXA/IBGE）,埋設ボックス,埋設ボックス
4491,"【7,5 X 7,5】cmの松材または地域の標準材の合板または同等品 - 総額",Material,General,M,538.15,538.15,538.15,538.15,1,JPY,841.92,1.5645,244,244,Bocas para Bueiros,SINAPI 構成分析報告書（CAIXA/IBGE）,暗渠用吐口・流入口,暗渠用吐口・流入口
12732,"コネクション用のシール/銅線 2.5 MM, 500 グラムリール (鉛なし)",Material,General,UN,10628.83,10628.83,10628.83,10628.83,1,JPY,101.79,0.0096,235,235,Instalações Hidráulicas - Reservação e Bombas de Recalque,SINAPI 構成分析報告書（CAIXA/IBGE）,給排水設備 - 貯水槽および揚水ポンプ,給排水設備 - 貯水槽および揚水ポンプ
39897,銅管および継手の溶接用ペースト（250 gパッケージ）,Material,General,UN,1948.51,1948.51,1948.51,1948.51,1,JPY,5.14,0.0026,234,234,Instalações Hidráulicas - Reservação e Bombas de Recalque,SINAPI 構成分析報告書（CAIXA/IBGE）,給排水設備 - 貯水槽および揚水ポンプ,給排水設備 - 貯水槽および揚水ポンプ
5934,モーターブレーカーの基本出力（第一ギア） 125 HP、総重量 13032 KG、ブレード幅 3.7 M - CHI 日勤。AF_06/2014,Equipment,General,CHI,3008.09,3008.09,3008.09,3008.09,1,JPY,113.1,0.0376,219,219,"Aterros, Bases, Sub bases e Imprimações",SINAPI 構成分析報告書（CAIXA/IBGE）,盛土、路盤、下層路盤およびプライムコート,盛土、路盤、下層路盤およびプライムコート
87316,トラソーアス ARGAMASSA 1:4 (湿潤コンクリートと粗砂の体積比) 通常のプラスター用、機械式ミキサー400Lによる準備 AF_08/2019,Abstract Material,General,M3,16702.02,16702.02,16702.02,16702.02,1,JPY,1237.09,0.0741,219,219,Caixas Enterradas,SINAPI 構成分析報告書（CAIXA/IBGE）,埋設ボックス,埋設ボックス
5932,"モーターブレーカー 基本定格出力 (第一速) 125 HP, 総重量 13032 KG, ブレード幅 3,7 M - CHP 日勤. AF_06/2014",Equipment,General,CHP,9147.4,9147.4,9147.4,9147.4,1,JPY,46.79,0.0051,219,219,"Aterros, Bases, Sub bases e Imprimações",SINAPI 構成分析報告書（CAIXA/IBGE）,盛土、路盤、下層路盤およびプライムコート,盛土、路盤、下層路盤およびプライムコート
