resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,보조 인력 및 부가 비용,Labor,Labor,H,5519.09,5519.09,5519.09,5519.09,1,KRW,14612.06,2.6476,3636,3636,Acessibilidade,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),접근성,접근성
88267,배관공 또는 배수공 하수도공과 보조 비용,Labor,Labor,H,6787.81,6787.81,6787.81,6787.81,1,KRW,4577.01,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI 분석적 구성 보고서 (CAIXA/IBGE),"수압 펌프 - 원심, 수평 및 잠수형","수압 펌프 - 원심, 수평 및 잠수형"
88248,배관공 또는 배수공 보조 인력 및 부가 비용,Labor,Labor,H,5336.93,5336.93,5336.93,5336.93,1,KRW,2833.36,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI 분석적 구성 보고서 (CAIXA/IBGE),"수압 펌프 - 원심, 수평 및 잠수형","수압 펌프 - 원심, 수평 및 잠수형"
88309,석공 및 부대비용,Labor,Labor,H,7024.29,7024.29,7024.29,7024.29,1,KRW,40833.87,5.8132,1283,1283,Acessibilidade,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),접근성,접근성
88264,전기공사 기술자 및 부가 비용,Labor,Labor,H,7113.78,7113.78,7113.78,7113.78,1,KRW,8548.07,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI 분석적 구성 보고서 (CAIXA/IBGE),"수압 펌프 - 원심, 수평 및 잠수형","수압 펌프 - 원심, 수평 및 잠수형"
88247,전기공 보조원 및 부가 비용,Labor,Labor,H,5634.14,5634.14,5634.14,5634.14,1,KRW,3612.66,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI 분석적 구성 보고서 (CAIXA/IBGE),"수압 펌프 - 원심, 수평 및 잠수형","수압 펌프 - 원심, 수평 및 잠수형"
38383,"물청소용 종이, 검은색, 100 그레인",Material,General,UN,581.63,581.63,581.63,581.63,1,KRW,30.94,0.0533,654,654,Drenagem de ar condicionado,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),에어컨 배관,에어컨 배관
88262,형틀 목수 및 부가 비용,Labor,Labor,H,6909.25,6909.25,6909.25,6909.25,1,KRW,17603.41,2.5478,614,614,Bocas para Bueiros,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),맨홀용 입구구,맨홀용 입구구
3148,"PTFE 인장 방수 테이프, 18 MM X 50 M 롤 (L X C)",Material,General,UN,2837.84,2837.84,2837.84,2837.84,1,KRW,84.78,0.0299,513,513,Drenagem de ar condicionado,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),에어컨 배관,에어컨 배관
88239,목수 보조원 및 부가 비용,Labor,Labor,H,5480.74,5480.74,5480.74,5480.74,1,KRW,5281.35,0.9636,489,489,Bocas para Bueiros,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),맨홀용 입구구,맨홀용 입구구
88246,파이프 조임공 및 부가 비용,Labor,Labor,H,5819.49,5819.49,5819.49,5819.49,1,KRW,2777.51,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),PVC 및 PEAD 하수도관 매설,PVC 및 PEAD 하수도관 매설
20078,"윤활제 파이프 및 연결부용, 고무 조임새가 있는 *400* 그램 포장 (PVC, 강철, 폴리에틸렌 및 기타에 사용)",Material,General,UN,7104.19,7104.19,7104.19,7104.19,1,KRW,774.8,0.1091,396,396,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),PVC 및 PEAD 하수도관 매설,PVC 및 PEAD 하수도관 매설
5678,"바퀴식 굴착기와 포클레인, 4X4 구동, 순 출력 88 HP, 최소 적재 용량 1 M3, 후방 적재함 용량 0.26 M3, 최소 작업중량 6.674 KG, 최대 굴착 깊이 4.37 M - CHP 주간. AF_06/2014",Equipment,General,CHP,45546.06,45546.06,45546.06,45546.06,1,KRW,5099.51,0.112,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),PVC 및 PEAD 하수도관 매설,PVC 및 PEAD 하수도관 매설
5679,"바퀴 달린 굴착기와 로더, 4X4 구동, 순 출력 88 HP, 최소 적재 용량 1 M3, 후방 적재함 용량 0.26 M3, 최소 작업 무게 6.674 KG, 최대 굴착 깊이 4.37 M - 주간 CHI. AF_06/2014",Equipment,General,CHI,17317.86,17317.86,17317.86,17317.86,1,KRW,4327.04,0.2499,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),PVC 및 PEAD 하수도관 매설,PVC 및 PEAD 하수도관 매설
5928,"유압식 크레인, 최대 적재 용량 6200 KG, 최대 적재 모멘트 11.7 TM, 최대 수평 도달 거리 9.70 M, 트럭 토코 PBT 16,000 KG 포함, 189 CV CHP 디아누. AF_06/2014",Equipment,General,CHP,83355.18,83355.18,83355.18,83355.18,1,KRW,30477.75,0.3656,381,381,Instalações para Canteiros de Obras,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),공사 현장 설비,공사 현장 설비
20083,PVC용 준비/세척 솔루션 / 1000 CM3 병,Material,General,UN,19500.57,19500.57,19500.57,19500.57,1,KRW,492.25,0.0252,376,376,Drenagem de ar condicionado,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),에어컨 배관,에어컨 배관
5930,"유압 붐대, 최대 적재 용량 6200 KG, 최대 적재 모멘트 11.7 TM, 최대 수평 도달 거리 9.70 M, 트럭 토코 PBT 16,000 KG 포함, 189 CV의 출력 - 주간 CHI. AF_06/2014",Equipment,General,CHI,16688.29,16688.29,16688.29,16688.29,1,KRW,15410.07,0.9234,371,371,Instalações para Canteiros de Obras,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),공사 현장 설비,공사 현장 설비
122,"PVC용 플라스틱 접착제, 병에 *850* 그램",Material,General,UN,17212.4,17212.4,17212.4,17212.4,1,KRW,314.01,0.0182,368,368,Drenagem de ar condicionado,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),에어컨 배관,에어컨 배관
2692,"목재 몰드용 보호 방수제, 유분 기반 에멀젼, 물에 희석",Material,General,L,2863.41,2863.41,2863.41,2863.41,1,KRW,45.11,0.0157,362,362,Bocas para Bueiros,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),맨홀용 입구구,맨홀용 입구구
1379,포틀랜드 시멘트 복합 CP II-32,Material,General,KG,223.7,223.7,223.7,223.7,1,KRW,47198.79,210.9891,362,362,Argamassas,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),미장재,미장재
5903,"10,000리터 트럭, 총 중량 23,000 KG, 최대 적재량 15,935 KG, 축간 거리 4.8 M, 출력 230 CV, 물 운반용 강철 탱크 포함 - CHI 주간.",Equipment,General,CHI,16902.41,16902.41,16902.41,16902.41,1,KRW,1590.89,0.0941,343,343,Aterro e Reaterro de Valas,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),배수 및 배수관 매설 후 복구,배수 및 배수관 매설 후 복구
5901,"10,000리터 트럭, 총 중량 23,000 KG, 최대 적재량 15,935 KG, 축간 거리 4.8 M, 출력 230 CV, 물 운반용 강철 탱크 포함 - CHP 주간. AF_06/2014",Equipment,General,CHP,96454.63,96454.63,96454.63,96454.63,1,KRW,1870.17,0.0194,343,343,Aterro e Reaterro de Valas,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),배수 및 배수관 매설 후 복구,배수 및 배수관 매설 후 복구
5631,"유압 굴착기, 트랙형, 버킷 0.80 M3, 작업중량 17 T, 총 출력 111 HP - CHP 주간. AF_06/2014",Equipment,General,CHP,65839.18,65839.18,65839.18,65839.18,1,KRW,3782.2,0.0574,335,335,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),PVC 및 PEAD 하수도관 매설,PVC 및 PEAD 하수도관 매설
5632,"유압 굴착기, 트랙형, 버킷 0.80 M3, 작업중량 17 T, 총 출력 111 HP - 주간 CHI. AF_06/2014",Equipment,General,CHI,24799.15,24799.15,24799.15,24799.15,1,KRW,3560.66,0.1436,335,335,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),PVC 및 PEAD 하수도관 매설,PVC 및 PEAD 하수도관 매설
4517,"파이프 *2,5 X 7,5* CM, 소나무 또는 지역의 혼합 또는 동등한 재료 - 총액",Material,General,M,1581.9,1581.9,1581.9,1581.9,1,KRW,1794.38,1.1344,272,272,Caixas Enterradas,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),매설된 박스,매설된 박스
370,"모래 중간 - 채석장/공급처 (채석장에서 제거, 운송 없음)",Material,General,M3,35153.43,35153.43,35153.43,35153.43,1,KRW,21725.71,0.618,270,270,Argamassas,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),미장재,미장재
6193,"비설치된 판넬 *2,5 X 20* CM, 마카란두바/마사란두바, 앙젤림 또는 지역의 이와 유사한 제품 - 총액",Material,General,M,4739.32,4739.32,4739.32,4739.32,1,KRW,7617.7,1.6073,258,258,Caixas Enterradas,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),매설된 박스,매설된 박스
4491,"포인트레테 *7,5 X 7,5* CM 파인우드, 혼합 또는 지역과 동등한 것 - 총액",Material,General,M,4525.21,4525.21,4525.21,4525.21,1,KRW,7079.54,1.5645,244,244,Bocas para Bueiros,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),맨홀용 입구구,맨홀용 입구구
12732,"납땜/구리로 된 구리 연결용, 2.5 MM 와이어, 500 그램 릴 (납 없음)",Material,General,UN,89376.0,89376.0,89376.0,89376.0,1,KRW,855.94,0.0096,235,235,Instalações Hidráulicas - Reservação e Bombas de Recalque,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),수압 설비 - 배수 및 펌프,수압 설비 - 배수 및 펌프
39897,구리 파이프 및 연결부용 용접 페이스트 (250 g 포장),Material,General,UN,16384.7,16384.7,16384.7,16384.7,1,KRW,43.18,0.0026,234,234,Instalações Hidráulicas - Reservação e Bombas de Recalque,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),수압 설비 - 배수 및 펌프,수압 설비 - 배수 및 펌프
5934,"모터레벨레이터 기본 순수 출력 (1단계) 125 HP, 총중량 13032 KG, 블레이드 너비 3.7 M - CHI 주간. AF_06/2014",Equipment,General,CHI,25294.49,25294.49,25294.49,25294.49,1,KRW,951.05,0.0376,219,219,"Aterros, Bases, Sub bases e Imprimações",SINAPI 분석적 구성 보고서 (CAIXA/IBGE),"토사, 기초, 하부 기초 및 인쇄물","토사, 기초, 하부 기초 및 인쇄물"
87316,"모래와 시멘트의 부피 비율 1:4의 미장용 트레이스 아르가마사(시멘트와 굵은 모래, 습식), 기계 혼합기 400L로 준비, 일반 벽체용",Abstract Material,General,M3,140444.35,140444.35,140444.35,140444.35,1,KRW,10402.48,0.0741,219,219,Caixas Enterradas,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),매설된 박스,매설된 박스
5932,"모터레벨러 기본 순수 출력 (1단 기어) 125 HP, 총중량 13032 KG, 블레이드 너비 3.7 M - CHP 주간. AF_06/2014",Equipment,General,CHP,76918.9,76918.9,76918.9,76918.9,1,KRW,393.43,0.0051,219,219,"Aterros, Bases, Sub bases e Imprimações",SINAPI 분석적 구성 보고서 (CAIXA/IBGE),"토사, 기초, 하부 기초 및 인쇄물","토사, 기초, 하부 기초 및 인쇄물"
7307,금속용 방청 페인트 (ZARCAO),Material,General,L,11498.37,11498.37,11498.37,11498.37,1,KRW,156.33,0.0136,218,218,Dutos para ar condicionado,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),에어컨용 덕트,에어컨용 덕트
88377,고정식 콘크리트 믹서/혼합기 운영자 및 부가 비용,Labor,Labor,H,5650.12,5650.12,5650.12,5650.12,1,KRW,17970.88,3.1806,216,216,Argamassas,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),미장재,미장재
88245,보조 장비를 갖춘 조립공,Labor,Labor,H,6966.77,6966.77,6966.77,6966.77,1,KRW,1335.52,0.1917,215,215,Armação de Estacas,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),말뚝 철근 조립,말뚝 철근 조립
96464,"타이어 압축기, 정적, 가변 압력, 110 HP, 무/추 무게 10.8/27 T, 롤러 폭 2.30 M - CHI 주간. AF_06/2017",Equipment,General,CHI,26812.48,26812.48,26812.48,26812.48,1,KRW,1002.42,0.0374,206,206,Asfalto,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),아스팔트,아스팔트
96463,"타이어 압축기, 정적, 가변 압력, 110 HP, 무게/추가 무게 10.8/27 T, 롤러 폭 2.30 M - CHP 주간. AF_06/2017",Equipment,General,CHP,70239.75,70239.75,70239.75,70239.75,1,KRW,365.09,0.0052,206,206,Asfalto,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),아스팔트,아스팔트
89995,상부 띠 또는 버거의 벽돌조 및 구조적 조적에 대한 그라우팅. AF_09/2021,Abstract Material,General,M3,283883.14,283883.14,283883.14,283883.14,1,KRW,36394.51,0.1282,196,196,Caixas Enterradas,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),매설된 박스,매설된 박스
5685,"진동 롤러, 원통형 강철 실린더, 80 HP, 최대 작업중량 8.1 T, 다이내믹 임팩트 16.15 / 9.5 T, 작업폭 1.68 M - 주간 CHI.",Equipment,General,CHI,18998.83,18998.83,18998.83,18998.83,1,KRW,795.04,0.0418,196,196,"Aterros, Bases, Sub bases e Imprimações",SINAPI 분석적 구성 보고서 (CAIXA/IBGE),"토사, 기초, 하부 기초 및 인쇄물","토사, 기초, 하부 기초 및 인쇄물"
5684,"진동 롤러, 단일 강철 실린더, 80 HP, 최대 작업중량 8.1 T, 다이내믹 임팩트 16.15 / 9.5 T, 작업폭 1.68 M - 주간 CHP. AF_06/2014",Equipment,General,CHP,51554.11,51554.11,51554.11,51554.11,1,KRW,434.27,0.0084,196,196,"Aterros, Bases, Sub bases e Imprimações",SINAPI 분석적 구성 보고서 (CAIXA/IBGE),"토사, 기초, 하부 기초 및 인쇄물","토사, 기초, 하부 기초 및 인쇄물"
89998,"구조 벽돌 벽체용 띠철근; 직경 10,0 MM. AF_09/2021",Abstract Material,General,KG,3457.82,3457.82,3457.82,3457.82,1,KRW,16973.73,4.9088,193,193,Caixas Enterradas,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),매설된 박스,매설된 박스
21114,"CPVC 파이프용 접착제, *75* G",Material,General,UN,8826.71,8826.71,8826.71,8826.71,1,KRW,2276.16,0.2579,193,193,Instalações Hidráulicas - Reservação e Bombas de Recalque,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),수압 설비 - 배수 및 펌프,수압 설비 - 배수 및 펌프
88238,철근 조립 보조원 및 부가 비용,Labor,Labor,H,5525.48,5525.48,5525.48,5525.48,1,KRW,1382.15,0.2501,188,188,Armação de Estacas,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),말뚝 철근 조립,말뚝 철근 조립
90776,현장 책임자 및 부대비용,Labor,Labor,H,6787.81,6787.81,6787.81,6787.81,1,KRW,2409.05,0.3549,183,183,"Estacas Broca, Strauss e Escavada com Fluido Estabilizante",SINAPI 분석적 구성 보고서 (CAIXA/IBGE),"파일럿 파일, Strauss 및 굴착기, 안정화 유체를 사용하는 파일","파일럿 파일, Strauss 및 굴착기, 안정화 유체를 사용하는 파일"
5069,연마된 강철 볼트 헤드 17 X 27 (2 1/2 X 11),Material,General,KG,7951.07,7951.07,7951.07,7951.07,1,KRW,401.29,0.0505,177,177,Caixas Enterradas,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),매설된 박스,매설된 박스
91693,"전동 모터 5HP가 장착된 벤치형 원형톱, 10"" 디스크 커버 포함 - CHI 주간. AF_08/2015",Equipment,General,CHI,6647.19,6647.19,6647.19,6647.19,1,KRW,2580.41,0.3882,173,173,Bocas para Bueiros,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),맨홀용 입구구,맨홀용 입구구
91692,"전동 모터 5HP가 장착된 벤치형 원형톱, 디스크 10""용 후드 포함 - CHP 주간. AF_08/2015",Equipment,General,CHP,6979.55,6979.55,6979.55,6979.55,1,KRW,491.22,0.0704,173,173,Bocas para Bueiros,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),맨홀용 입구구,맨홀용 입구구
40304,강구조 폴리시드 강봉 17 X 27 (2 1/2 X 11),Material,General,KG,9628.84,9628.84,9628.84,9628.84,1,KRW,538.17,0.0559,170,170,Bocas para Bueiros,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),맨홀용 입구구,맨홀용 입구구
88310,페인터 및 보조 비용,Labor,Labor,H,7417.37,7417.37,7417.37,7417.37,1,KRW,2771.48,0.3736,166,166,Custos Horários Produtivo e Improdutivo dos Equipamentos,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),장비의 생산적 및 비생산적 시간 비용,장비의 생산적 및 비생산적 시간 비용
88297,기계 및 장비 운영자 및 부가 비용,Labor,Labor,H,6602.45,6602.45,6602.45,6602.45,1,KRW,5025.2,0.7611,163,163,Concreto Projetado,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),프리캐스트 콘크리트,프리캐스트 콘크리트
4721,"조각석 N. 1 (9,5 ~ 19 MM) 채석장/공급처, 운송비 제외",Material,General,M3,38147.87,38147.87,38147.87,38147.87,1,KRW,15759.18,0.4131,160,160,"Aterros, Bases, Sub bases e Imprimações",SINAPI 분석적 구성 보고서 (CAIXA/IBGE),"토사, 기초, 하부 기초 및 인쇄물","토사, 기초, 하부 기초 및 인쇄물"
43132,"철근 16 BWG, D = 1.65 MM (0,016 KG/M) 또는 18 BWG, D = 1.25 MM (0,01 KG/M)",Material,General,KG,9443.49,9443.49,9443.49,9443.49,1,KRW,157.9,0.0167,159,159,Armação de Estacas,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),말뚝 철근 조립,말뚝 철근 조립
88628,"모래와 시멘트의 부피 비율 1:3의 모르타르 (중간 습윤 상태), 400리터 믹서기로 기계적 준비",Abstract Material,General,M3,165927.39,165927.39,165927.39,165927.39,1,KRW,124430.43,0.7499,158,158,Caixas Enterradas,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),매설된 박스,매설된 박스
94970,"콘크리트 FCK = 20MPA, 배합 1:2,7:3 (건조 질량 기준 시멘트/중간 모래/자갈 1) - 기계적 준비, 믹서기 600L. AF_05/2021",Abstract Material,General,M3,141866.47,141866.47,141866.47,141866.47,1,KRW,132721.11,0.9355,156,156,Caixas Enterradas,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),매설된 박스,매설된 박스
88278,금속 구조물 조립자 및 부가 비용,Labor,Labor,H,5439.19,5439.19,5439.19,5439.19,1,KRW,18548.21,3.4101,155,155,Demolições e Remoções,SINAPI 분석적 구성 보고서 (CAIXA/IBGE),철거 및 제거,철거 및 제거
