resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,Нэмэлт үүрэгтэй туслах ажилтан,Labor,Labor,H,8191.82,8191.82,8191.82,8191.82,1,MNT,21688.26,2.6476,3636,3636,Acessibilidade,SINAPI Аналитик тайлангийн бүрдлүүд (CAIXA/IBGE),Хандлага,Хандлага
88267,УСАНДАЛТЫН ХЭРЭГЛЭГЧ ЭСВЭЛ УСАНДАЛТЫН МАШИНЫ ЗАХИРГАА,Labor,Labor,H,10074.94,10074.94,10074.94,10074.94,1,MNT,6793.52,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Аналитик тайлангийн бүрдлүүд (CAIXA/IBGE),"Гидравлик насос - төвөөс зугтах, хэвтээ болон усанд шумбагч","Гидравлик насос - төвөөс зугтах, хэвтээ болон усанд шумбагч"
88248,УГС-ЫН ТУСЛАХ ЭНГИЙН БУУДЛАГА БУУДЛАГА ХЭРЭГСЭЛД НЭГДЭГ ЗАРДЛЫН ХЭРЭГСЭЛ,Labor,Labor,H,7921.45,7921.45,7921.45,7921.45,1,MNT,4205.47,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Аналитик тайлангийн бүрдлүүд (CAIXA/IBGE),"Гидравлик насос - төвөөс зугтах, хэвтээ болон усанд шумбагч","Гидравлик насос - төвөөс зугтах, хэвтээ болон усанд шумбагч"
88309,БҮТЭЭГЧИН НЭГДЭЛ ЗАРДЛЫН ХУВЬ,Labor,Labor,H,10425.95,10425.95,10425.95,10425.95,1,MNT,60608.51,5.8132,1283,1283,Acessibilidade,SINAPI Аналитик тайлангийн бүрдлүүд (CAIXA/IBGE),Хандлага,Хандлага
88264,Цахилгаанчин нэмэлт үүрэгтэй,Labor,Labor,H,10558.77,10558.77,10558.77,10558.77,1,MNT,12687.65,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Аналитик тайлангийн бүрдлүүд (CAIXA/IBGE),"Гидравлик насос - төвөөс зугтах, хэвтээ болон усанд шумбагч","Гидравлик насос - төвөөс зугтах, хэвтээ болон усанд шумбагч"
88247,"Цахилгаанчин туслах, нэмэлт үүрэгтэй",Labor,Labor,H,8362.58,8362.58,8362.58,8362.58,1,MNT,5362.16,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Аналитик тайлангийн бүрдлүүд (CAIXA/IBGE),"Гидравлик насос - төвөөс зугтах, хэвтээ болон усанд шумбагч","Гидравлик насос - төвөөс зугтах, хэвтээ болон усанд шумбагч"
38383,"ХАР ЦААСНЫ ЛИПА, ХАР ӨНГӨ, 100",Material,General,UN,863.3,863.3,863.3,863.3,1,MNT,45.93,0.0533,654,654,Drenagem de ar condicionado,SINAPI Аналитик тайлангийн бүрдлүүд (CAIXA/IBGE),Агааржуулалтын дренаж,Агааржуулалтын дренаж
88262,ФОРМЫН МОДНЫ АЖИЛТАН НЭМЭЛТ ЗАРДЛЫН ХУВЬ,Labor,Labor,H,10255.19,10255.19,10255.19,10255.19,1,MNT,26128.22,2.5478,614,614,Bocas para Bueiros,SINAPI Аналитик тайлангийн бүрдлүүд (CAIXA/IBGE),Буйрны ам,Буйрны ам
3148,"PTFE-ийн ороомог, 18 MM X 50 M (У X У)",Material,General,UN,4212.12,4212.12,4212.12,4212.12,1,MNT,125.84,0.0299,513,513,Drenagem de ar condicionado,SINAPI Аналитик тайлангийн бүрдлүүд (CAIXA/IBGE),Агааржуулалтын дренаж,Агааржуулалтын дренаж
88239,МОДОНЧИНЫ ТУСЛАХ АЖИЛТАН СУДЛАХ ЗАРДЛАГААР,Labor,Labor,H,8134.9,8134.9,8134.9,8134.9,1,MNT,7838.96,0.9636,489,489,Bocas para Bueiros,SINAPI Аналитик тайлангийн бүрдлүүд (CAIXA/IBGE),Буйрны ам,Буйрны ам
88246,ТҮҮВРИЙН ХЭРЭГСЭЛД ЗОХИЦУУЛСАН ТҮҮВРИЙН ХЭРЭГСЭЛ,Labor,Labor,H,8637.7,8637.7,8637.7,8637.7,1,MNT,4122.58,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Аналитик тайлангийн бүрдлүүд (CAIXA/IBGE),PVC болон PEAD хоолойн суурилуулалт,PVC болон PEAD хоолойн суурилуулалт
20078,"PVC, ган төмөр, полиэтилен болон бусад зориулалтаар ашиглах *400* гр жинтэй уян хатан холболттой хоолой, тосолгооны паста",Material,General,UN,10544.54,10544.54,10544.54,10544.54,1,MNT,1150.01,0.1091,396,396,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Аналитик тайлангийн бүрдлүүд (CAIXA/IBGE),PVC болон PEAD хоолойн суурилуулалт,PVC болон PEAD хоолойн суурилуулалт
5678,"ДӨРВӨН ТЭЭВРИЙН ХАВТГАЙТАЙ БУУДЛАГА, ТРАЦИОН 4X4, ХҮЧ 88 HP, АЧИГЧИЙН СУУДАЛ. БАГА ДУНД 1 M3, БУУДЛАГЫН СУУДАЛ 0,26 M3, АЖИЛЛАХ ЖИН 6.674 KG, ХУВИРГАЛЫН ГҮН 4,37 M - CHP ӨДРИЙН. AF_06/2014",Equipment,General,CHP,67602.69,67602.69,67602.69,67602.69,1,MNT,7569.05,0.112,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Аналитик тайлангийн бүрдлүүд (CAIXA/IBGE),PVC болон PEAD хоолойн суурилуулалт,PVC болон PEAD хоолойн суурилуулалт
5679,"ДӨРӨГТ ТЭЭВРИЙН ХАВТГАЙТАЙ, 4X4 ТАЧИГЧ, 88 HP БҮТЭЭГДЭХҮҮН, 1 M3 БАГТААМЖТАЙ БУУДЛАГА, 0,26 M3 БУУДЛАГА, 6.674 KG АЖИЛЛАГЧИЙН ЖИН, 4,37 M ГҮН ХАВТГАЙТАЙ - CHI ӨДРИЙН. AF_06/2014",Equipment,General,CHI,25704.39,25704.39,25704.39,25704.39,1,MNT,6422.5,0.2499,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Аналитик тайлангийн бүрдлүүд (CAIXA/IBGE),PVC болон PEAD хоолойн суурилуулалт,PVC болон PEAD хоолойн суурилуулалт
5928,"ГИДРАВЛИКИЙ КРАН, ДЭЛГЭРЭНГҮЙ АЧИХ ЧАДАЛ 6200 KG, ДЭЛГЭРЭНГҮЙ АЧИХ МОМЕНТ 11,7 TM, ДЭЛГЭРЭНГҮЙ ХЭМЖЭЭ 9,70 M, ОРОНД НЬ ТАВИУРЫН ТЭЭВЭР 16.000 KG, ХҮЧ 189 CV - CHP ӨДРИЙН. AF_06/2014",Equipment,General,CHP,123721.64,123721.64,123721.64,123721.64,1,MNT,45237.23,0.3656,381,381,Instalações para Canteiros de Obras,SINAPI Аналитик тайлангийн бүрдлүүд (CAIXA/IBGE),Барилгын талбайн байгууламж,Барилгын талбайн байгууламж
20083,"PVC бэлдмэлийн бэлтгэл / цэвэрлэгээний төхөөрөмж, 1000 CM3 савтай",Material,General,UN,28944.12,28944.12,28944.12,28944.12,1,MNT,730.63,0.0252,376,376,Drenagem de ar condicionado,SINAPI Аналитик тайлангийн бүрдлүүд (CAIXA/IBGE),Агааржуулалтын дренаж,Агааржуулалтын дренаж
5930,"ГИДРАВЛИКИЙ КРАН, ХҮЧИН ЧАДАЛ 6200 KG, ДЭЭД АЧААЛАЛ 11,7 TM, ХЭМЖЭЭ 9,70 M, ТЭРЭГ ТОККО PBT 16.000 KG, ХҮЧ 189 CV - CHI ДИУРНАЛ. AF_06/2014",Equipment,General,CHI,24769.94,24769.94,24769.94,24769.94,1,MNT,22872.72,0.9234,371,371,Instalações para Canteiros de Obras,SINAPI Аналитик тайлангийн бүрдлүүд (CAIXA/IBGE),Барилгын талбайн байгууламж,Барилгын талбайн байгууламж
