resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,SERVICIO CON CARGOS COMPLEMENTARIOS,Labor,Labor,H,69.83,69.83,69.83,69.83,1,MXN,184.89,2.6476,3636,3636,Acessibilidade,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Accesibilidad,Accesibilidad
88267,Plomero o bombero hidráulico con cargas complementarias,Labor,Labor,H,85.89,85.89,85.89,85.89,1,MXN,57.91,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),"Bombas hidráulicas - centrífugas, horizontales y sumergibles","Bombas hidráulicas - centrífugas, horizontales y sumergibles"
88248,AYUDANTE DE FONTANERO O BOMBERO HIDRÁULICO CON CARGOS COMPLEMENTARIOS,Labor,Labor,H,67.53,67.53,67.53,67.53,1,MXN,35.85,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),"Bombas hidráulicas - centrífugas, horizontales y sumergibles","Bombas hidráulicas - centrífugas, horizontales y sumergibles"
88309,Albañil con cargos complementarios,Labor,Labor,H,88.88,88.88,88.88,88.88,1,MXN,516.67,5.8132,1283,1283,Acessibilidade,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Accesibilidad,Accesibilidad
88264,ELECTRICISTA CON CARGOS COMPLEMENTARIOS,Labor,Labor,H,90.01,90.01,90.01,90.01,1,MXN,108.16,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),"Bombas hidráulicas - centrífugas, horizontales y sumergibles","Bombas hidráulicas - centrífugas, horizontales y sumergibles"
88247,AYUDANTE DE ELECTRICISTA CON CARGOS COMPLEMENTARIOS,Labor,Labor,H,71.29,71.29,71.29,71.29,1,MXN,45.71,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),"Bombas hidráulicas - centrífugas, horizontales y sumergibles","Bombas hidráulicas - centrífugas, horizontales y sumergibles"
38383,"LIMPIEZA DE AGUA EN HOJA, COLOR NEGRO, GRANO 100",Material,General,UN,7.36,7.36,7.36,7.36,1,MXN,0.39,0.0533,654,654,Drenagem de ar condicionado,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Drenaje de aire acondicionado,Drenaje de aire acondicionado
88262,CARPINTERO DE FORMA CON CARGOS COMPLEMENTARIOS,Labor,Labor,H,87.42,87.42,87.42,87.42,1,MXN,222.73,2.5478,614,614,Bocas para Bueiros,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Aberturas para alcantarillas,Aberturas para alcantarillas
3148,"CINTA VEDALOSA DE ROSCA, EM PTFE, ROLLO DE 18 MM X 50 M (L X C)",Material,General,UN,35.91,35.91,35.91,35.91,1,MXN,1.07,0.0299,513,513,Drenagem de ar condicionado,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Drenaje de aire acondicionado,Drenaje de aire acondicionado
88239,AYUDANTE DE CARPINTERO CON CARGOS COMPLEMENTARIOS,Labor,Labor,H,69.35,69.35,69.35,69.35,1,MXN,66.82,0.9636,489,489,Bocas para Bueiros,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Aberturas para alcantarillas,Aberturas para alcantarillas
88246,INSTALADOR DE TUBERÍAS CON CARGOS COMPLEMENTARIOS,Labor,Labor,H,73.63,73.63,73.63,73.63,1,MXN,35.14,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Fijación de tuberías de alcantarillado en PVC y PEAD,Fijación de tuberías de alcantarillado en PVC y PEAD
20078,"PASTA LUBRICANTE PARA TUBERÍAS Y CONEXIONES CON JUNTA ELÁSTICA, ENVASE DE *400* G (USO EN PVC, ACERO, POLIETILENO Y OTROS)",Material,General,UN,89.89,89.89,89.89,89.89,1,MXN,9.8,0.1091,396,396,Assentamento de Tubos de Esgoto em PVC e PEAD,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Fijación de tuberías de alcantarillado en PVC y PEAD,Fijación de tuberías de alcantarillado en PVC y PEAD
5678,"RETROEXCAVADORA SOBRE RODAS CON CARGADORA, tracción 4X4, potencia líquida 88 HP, cucharón de carga capacidad mínima 1 M3, cucharón retro capacidad 0,26 M3, peso operacional mínimo 6.674 KG, profundidad de excavación máxima 4,37 M - CHP diurno. AF_06/2014",Equipment,General,CHP,576.29,576.29,576.29,576.29,1,MXN,64.52,0.112,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Fijación de tuberías de alcantarillado en PVC y PEAD,Fijación de tuberías de alcantarillado en PVC y PEAD
5679,"RETROEXCAVADORA SOBRE RODAS CON CARGADORA, TRACCIÓN 4X4, POTENCIA LÍQ. 88 HP, CANGILÓN CARGADOR CAP. MÍN. 1 M3, CANGILÓN RETRO CAP. 0,26 M3, PESO OPERATIVO MÍN. 6.674 KG, PROFUNDIDAD DE EXCAVACIÓN MÁX. 4,37 M - CHI DIURNO. AF_06/2014",Equipment,General,CHI,219.12,219.12,219.12,219.12,1,MXN,54.75,0.2499,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Fijación de tuberías de alcantarillado en PVC y PEAD,Fijación de tuberías de alcantarillado en PVC y PEAD
5928,"GUINDAUTO HIDRÁULICO, CAPACIDAD MÁXIMA DE CARGA 6200 KG, MOMENTO MÁXIMO DE CARGA 11,7 TM, ALANCE MÁXIMO HORIZONTAL 9,70 M, INCLUYE CAMIÓN TIPO PICK-UP PBT 16.000 KG, POTENCIA DE 189 CV - CHP DIURNO. AF_06/2014",Equipment,General,CHP,1054.69,1054.69,1054.69,1054.69,1,MXN,385.63,0.3656,381,381,Instalações para Canteiros de Obras,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Instalaciones para Campamentos de Obra,Instalaciones para Campamentos de Obra
20083,"SOLUCIÓN PREPARADORA / LIMPIADORA PARA PVC, FRASCO CON 1000 CM3",Material,General,UN,246.74,246.74,246.74,246.74,1,MXN,6.23,0.0252,376,376,Drenagem de ar condicionado,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Drenaje de aire acondicionado,Drenaje de aire acondicionado
5930,"GUINDAUTO HIDRÁULICO, CAPACIDAD MÁXIMA DE CARGA 6200 KG, MOMENTO MÁXIMO DE CARGA 11,7 TM, ALANCE MÁXIMO HORIZONTAL 9,70 M, INCLUYE CAMIÓN TIPO PICK-UP PBT 16.000 KG, POTENCIA DE 189 CV - CHI DIURNO. AF_06/2014",Equipment,General,CHI,211.16,211.16,211.16,211.16,1,MXN,194.98,0.9234,371,371,Instalações para Canteiros de Obras,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Instalaciones para Campamentos de Obra,Instalaciones para Campamentos de Obra
122,"ADHESIVO PLÁSTICO PARA PVC, FRASCO CON *850* G",Material,General,UN,217.79,217.79,217.79,217.79,1,MXN,3.97,0.0182,368,368,Drenagem de ar condicionado,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Drenaje de aire acondicionado,Drenaje de aire acondicionado
2692,"DESMOLDANTE PROTECTOR PARA FORMAS DE MADERA, DE BASE OLEOSA EMULSIONADA EM AGUA",Material,General,L,36.23,36.23,36.23,36.23,1,MXN,0.57,0.0157,362,362,Bocas para Bueiros,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Aberturas para alcantarillas,Aberturas para alcantarillas
1379,CEMENTO PORTLAND COMPOSTO CP II-32,Material,General,KG,2.83,2.83,2.83,2.83,1,MXN,597.2,210.9891,362,362,Argamassas,Informe Analítico de Composiciones SINAPI (CAIXA/IBGE),Morteros,Morteros
