resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,LABORER WITH ADDITIONAL CHARGES,Labor,Labor,H,1318.52,1318.52,1318.52,1318.52,1,NGN,3490.85,2.6476,3636,3636,Acessibilidade,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Accessibility,Accessibility
88267,PLUMBER OR HYDRAULIC FITTER WITH ADDITIONAL CHARGES,Labor,Labor,H,1621.62,1621.62,1621.62,1621.62,1,NGN,1093.46,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytical Report of Compositions (CAIXA/IBGE),"Hydraulic Pumps - Centrifugal, Horizontal and Submersible","Hydraulic Pumps - Centrifugal, Horizontal and Submersible"
88248,PLUMBER'S ASSISTANT OR HYDRAULIC FIREMAN WITH ADDITIONAL CHARGES,Labor,Labor,H,1275.0,1275.0,1275.0,1275.0,1,NGN,676.89,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytical Report of Compositions (CAIXA/IBGE),"Hydraulic Pumps - Centrifugal, Horizontal and Submersible","Hydraulic Pumps - Centrifugal, Horizontal and Submersible"
88309,MASON WITH ADDITIONAL CHARGES,Labor,Labor,H,1678.12,1678.12,1678.12,1678.12,1,NGN,9755.28,5.8132,1283,1283,Acessibilidade,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Accessibility,Accessibility
88264,ELECTRICIAN WITH ADDITIONAL CHARGES,Labor,Labor,H,1699.49,1699.49,1699.49,1699.49,1,NGN,2042.15,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytical Report of Compositions (CAIXA/IBGE),"Hydraulic Pumps - Centrifugal, Horizontal and Submersible","Hydraulic Pumps - Centrifugal, Horizontal and Submersible"
88247,ELECTRICIAN'S ASSISTANT WITH ADDITIONAL CHARGES,Labor,Labor,H,1346.01,1346.01,1346.01,1346.01,1,NGN,863.07,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytical Report of Compositions (CAIXA/IBGE),"Hydraulic Pumps - Centrifugal, Horizontal and Submersible","Hydraulic Pumps - Centrifugal, Horizontal and Submersible"
38383,"WATERPROOF SANDPAPER SHEET, BLACK COLOR, GRAIN 100",Material,General,UN,138.95,138.95,138.95,138.95,1,NGN,7.39,0.0533,654,654,Drenagem de ar condicionado,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Air conditioning drainage,Air conditioning drainage
88262,FORMWORK CARPENTER WITH ADDITIONAL CHARGES,Labor,Labor,H,1650.63,1650.63,1650.63,1650.63,1,NGN,4205.49,2.5478,614,614,Bocas para Bueiros,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Inlets for Storm Drains,Inlets for Storm Drains
3148,"THREAD SEAL TAPE, PTFE, 18 MM X 50 M ROLL (L X W)",Material,General,UN,677.97,677.97,677.97,677.97,1,NGN,20.26,0.0299,513,513,Drenagem de ar condicionado,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Air conditioning drainage,Air conditioning drainage
88239,CARPENTER'S HELPER WITH ADDITIONAL CHARGES,Labor,Labor,H,1309.36,1309.36,1309.36,1309.36,1,NGN,1261.73,0.9636,489,489,Bocas para Bueiros,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Inlets for Storm Drains,Inlets for Storm Drains
88246,PIPE LAYER WITH ADDITIONAL CHARGES,Labor,Labor,H,1390.29,1390.29,1390.29,1390.29,1,NGN,663.55,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Installation of PVC and HDPE Sewage Pipes,Installation of PVC and HDPE Sewage Pipes
20078,"LUBRICANT PASTE FOR PIPES AND FITTINGS WITH ELASTIC JOINT, PACKAGING OF *400* GR (USE IN PVC, STEEL, POLYETHYLENE AND OTHERS)",Material,General,UN,1697.2,1697.2,1697.2,1697.2,1,NGN,185.1,0.1091,396,396,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Installation of PVC and HDPE Sewage Pipes,Installation of PVC and HDPE Sewage Pipes
5678,"WHEEL BACKHOE LOADER WITH LOADER, 4X4 DRIVE, NET POWER 88 HP, LOADER BUCKET MIN. CAP. 1 M3, BACKHOE BUCKET CAP. 0,26 M3, MIN. OPERATING WEIGHT 6.674 KG, MAX. EXCAVATION DEPTH 4,37 M - DAYTIME CHP. AF_06/2014",Equipment,General,CHP,10881.04,10881.04,10881.04,10881.04,1,NGN,1218.28,0.112,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Installation of PVC and HDPE Sewage Pipes,Installation of PVC and HDPE Sewage Pipes
5679,"WHEEL BACKHOE LOADER WITH LOADER, 4X4 DRIVE, NET POWER 88 HP, LOADER BUCKET MIN. CAP. 1 M3, BACKHOE BUCKET CAP. 0,26 M3, MIN. OPERATING WEIGHT 6.674 KG, MAX. EXCAVATION DEPTH 4,37 M - DAYTIME CHI. AF_06/2014",Equipment,General,CHI,4137.27,4137.27,4137.27,4137.27,1,NGN,1033.74,0.2499,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Installation of PVC and HDPE Sewage Pipes,Installation of PVC and HDPE Sewage Pipes
5928,"HYDRAULIC WINCH, MAXIMUM LOAD CAPACITY 6200 KG, MAXIMUM LOAD MOMENT 11.7 TM, MAXIMUM HORIZONTAL REACH 9.70 M, INCLUDING PICKUP TRUCK PBT 16,000 KG, POWER 189 HP - DAYTIME CHP.",Equipment,General,CHP,19913.7,19913.7,19913.7,19913.7,1,NGN,7281.19,0.3656,381,381,Instalações para Canteiros de Obras,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Site Facilities,Site Facilities
20083,"PREPARATORY / CLEANING SOLUTION FOR PVC, BOTTLE WITH 1000 CM3",Material,General,UN,4658.72,4658.72,4658.72,4658.72,1,NGN,117.6,0.0252,376,376,Drenagem de ar condicionado,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Air conditioning drainage,Air conditioning drainage
