resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,HULP MET AANVULLENDE LASTEN,Labor,Labor,H,5.05,5.05,5.05,5.05,1,EUR,13.37,2.6476,3636,3636,Acessibilidade,SINAPI Analytisch Rapport van Samenstellingen (CAIXA/IBGE),Toegankelijkheid,Toegankelijkheid
88267,Loodgieter of hydraulisch monteur met aanvullende kosten,Labor,Labor,H,6.21,6.21,6.21,6.21,1,EUR,4.19,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytisch Rapport van Samenstellingen (CAIXA/IBGE),"Hydraulische Pompen - Centrifugaal, Horizontaal en Dompelpompen","Hydraulische Pompen - Centrifugaal, Horizontaal en Dompelpompen"
88248,HULP VAN DE LASSER OF HYDRAULISCHE BRANDWEERMAN MET AANVULLENDE LASTEN,Labor,Labor,H,4.88,4.88,4.88,4.88,1,EUR,2.59,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytisch Rapport van Samenstellingen (CAIXA/IBGE),"Hydraulische Pompen - Centrifugaal, Horizontaal en Dompelpompen","Hydraulische Pompen - Centrifugaal, Horizontaal en Dompelpompen"
88309,METSER MET AANVULLENDE LASTEN,Labor,Labor,H,6.43,6.43,6.43,6.43,1,EUR,37.35,5.8132,1283,1283,Acessibilidade,SINAPI Analytisch Rapport van Samenstellingen (CAIXA/IBGE),Toegankelijkheid,Toegankelijkheid
88264,ELEKTRICIËN MET AANVULLENDE LASTEN,Labor,Labor,H,6.51,6.51,6.51,6.51,1,EUR,7.82,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytisch Rapport van Samenstellingen (CAIXA/IBGE),"Hydraulische Pompen - Centrifugaal, Horizontaal en Dompelpompen","Hydraulische Pompen - Centrifugaal, Horizontaal en Dompelpompen"
88247,HULPELEKTRICI MET AANVULLENDE LASTEN,Labor,Labor,H,5.15,5.15,5.15,5.15,1,EUR,3.3,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytisch Rapport van Samenstellingen (CAIXA/IBGE),"Hydraulische Pompen - Centrifugaal, Horizontaal en Dompelpompen","Hydraulische Pompen - Centrifugaal, Horizontaal en Dompelpompen"
38383,"Waterproof schuurpapier, zwarte kleur, korrel 100",Material,General,UN,0.53,0.53,0.53,0.53,1,EUR,0.03,0.0533,654,654,Drenagem de ar condicionado,SINAPI Analytisch Rapport van Samenstellingen (CAIXA/IBGE),Luchtontwatering,Luchtontwatering
88262,VORMGEVER MET AANVULLENDE LASTEN,Labor,Labor,H,6.32,6.32,6.32,6.32,1,EUR,16.1,2.5478,614,614,Bocas para Bueiros,SINAPI Analytisch Rapport van Samenstellingen (CAIXA/IBGE),Inlaten voor rioolputten,Inlaten voor rioolputten
3148,"TEFLON DICHTBAND, ROL VAN 18 MM X 50 M (L X B)",Material,General,UN,2.6,2.6,2.6,2.6,1,EUR,0.08,0.0299,513,513,Drenagem de ar condicionado,SINAPI Analytisch Rapport van Samenstellingen (CAIXA/IBGE),Luchtontwatering,Luchtontwatering
88239,HULP VAN TIMMERMAN MET AANVULLENDE LASTEN,Labor,Labor,H,5.01,5.01,5.01,5.01,1,EUR,4.83,0.9636,489,489,Bocas para Bueiros,SINAPI Analytisch Rapport van Samenstellingen (CAIXA/IBGE),Inlaten voor rioolputten,Inlaten voor rioolputten
