resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,Pomocnik z dodatkowymi obowiązkami,Labor,Labor,H,13.32,13.32,13.32,13.32,1,PLN,35.25,2.6476,3636,3636,Acessibilidade,SINAPI Raport analityczny kompozycji (CAIXA/IBGE),Dostępność,Dostępność
88267,HYDRAULICZNY MONTER LUB INSTALATOR Z DODATKOWYMI OPŁATAMI,Labor,Labor,H,16.38,16.38,16.38,16.38,1,PLN,11.04,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Raport analityczny kompozycji (CAIXA/IBGE),"Pompy hydrauliczne - odśrodkowe, poziome i zanurzeniowe","Pompy hydrauliczne - odśrodkowe, poziome i zanurzeniowe"
88248,POMOCNIK INSTALATORA LUB HYDRAULIKA Z DODATKOWYMI OBOWIĄZKAMI,Labor,Labor,H,12.88,12.88,12.88,12.88,1,PLN,6.84,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Raport analityczny kompozycji (CAIXA/IBGE),"Pompy hydrauliczne - odśrodkowe, poziome i zanurzeniowe","Pompy hydrauliczne - odśrodkowe, poziome i zanurzeniowe"
88309,MURARZ Z DODATKOWYMI OBOWIĄZKAMI,Labor,Labor,H,16.95,16.95,16.95,16.95,1,PLN,98.52,5.8132,1283,1283,Acessibilidade,SINAPI Raport analityczny kompozycji (CAIXA/IBGE),Dostępność,Dostępność
88264,ELEKTRYK Z DODATKOWYMI OBOWIĄZKAMI,Labor,Labor,H,17.16,17.16,17.16,17.16,1,PLN,20.62,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Raport analityczny kompozycji (CAIXA/IBGE),"Pompy hydrauliczne - odśrodkowe, poziome i zanurzeniowe","Pompy hydrauliczne - odśrodkowe, poziome i zanurzeniowe"
88247,POMOCNIK ELEKTRYKA Z DODATKOWYMI OBOWIĄZKAMI,Labor,Labor,H,13.59,13.59,13.59,13.59,1,PLN,8.72,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Raport analityczny kompozycji (CAIXA/IBGE),"Pompy hydrauliczne - odśrodkowe, poziome i zanurzeniowe","Pompy hydrauliczne - odśrodkowe, poziome i zanurzeniowe"
38383,"Papier ścierny wodny, kolor czarny, ziarno 100",Material,General,UN,1.4,1.4,1.4,1.4,1,PLN,0.07,0.0533,654,654,Drenagem de ar condicionado,SINAPI Raport analityczny kompozycji (CAIXA/IBGE),Odwodnienie klimatyzacji,Odwodnienie klimatyzacji
88262,CIEŚLA FORMAREK Z DODATKOWYMI KOSZTAMI,Labor,Labor,H,16.67,16.67,16.67,16.67,1,PLN,42.47,2.5478,614,614,Bocas para Bueiros,SINAPI Raport analityczny kompozycji (CAIXA/IBGE),Otwory na studnie,Otwory na studnie
3148,"TAŚMA USZCZELNIAJĄCA, Z PTFE, ROLKA 18 MM X 50 M (D X S)",Material,General,UN,6.85,6.85,6.85,6.85,1,PLN,0.2,0.0299,513,513,Drenagem de ar condicionado,SINAPI Raport analityczny kompozycji (CAIXA/IBGE),Odwodnienie klimatyzacji,Odwodnienie klimatyzacji
88239,POMOCNIK CIEŚLI Z DODATKOWYMI OBOWIĄZKAMI,Labor,Labor,H,13.22,13.22,13.22,13.22,1,PLN,12.74,0.9636,489,489,Bocas para Bueiros,SINAPI Raport analityczny kompozycji (CAIXA/IBGE),Otwory na studnie,Otwory na studnie
