resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,MUNCITOR CU ÎNCĂRCĂRI SUPLIMENTARE,Labor,Labor,H,13.38,13.38,13.38,13.38,1,RON,35.44,2.6476,3636,3636,Acessibilidade,SINAPI Raport Analitic de Compoziții (CAIXA/IBGE),Accesibilitate,Accesibilitate
88267,INSTALATOR SAU POMPIER HIDRAULIC CU ÎNCĂRCĂTURI SUPLIMENTARE,Labor,Labor,H,16.46,16.46,16.46,16.46,1,RON,11.1,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Raport Analitic de Compoziții (CAIXA/IBGE),"Pompă Hidraulică - Centrifugă, Orizontală și Submersibilă","Pompă Hidraulică - Centrifugă, Orizontală și Submersibilă"
88248,ASISTENT DE INSTALATOR SAU POMPIER HIDRAULIC CU ÎNCĂRCĂTURI SUPLIMENTARE,Labor,Labor,H,12.94,12.94,12.94,12.94,1,RON,6.87,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Raport Analitic de Compoziții (CAIXA/IBGE),"Pompă Hidraulică - Centrifugă, Orizontală și Submersibilă","Pompă Hidraulică - Centrifugă, Orizontală și Submersibilă"
88309,ZIDAR CU ÎNCĂRCĂRI SUPLIMENTARE,Labor,Labor,H,17.03,17.03,17.03,17.03,1,RON,99.03,5.8132,1283,1283,Acessibilidade,SINAPI Raport Analitic de Compoziții (CAIXA/IBGE),Accesibilitate,Accesibilitate
88264,ELECTRICIAN CU ÎNCĂRCĂRI SUPLIMENTARE,Labor,Labor,H,17.25,17.25,17.25,17.25,1,RON,20.73,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Raport Analitic de Compoziții (CAIXA/IBGE),"Pompă Hidraulică - Centrifugă, Orizontală și Submersibilă","Pompă Hidraulică - Centrifugă, Orizontală și Submersibilă"
88247,AJUTOR DE ELECTRICIAN CU ÎNCĂRCĂTURI SUPLIMENTARE,Labor,Labor,H,13.66,13.66,13.66,13.66,1,RON,8.76,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Raport Analitic de Compoziții (CAIXA/IBGE),"Pompă Hidraulică - Centrifugă, Orizontală și Submersibilă","Pompă Hidraulică - Centrifugă, Orizontală și Submersibilă"
38383,"ȘLEFUIRE CU APĂ PE FOAIE, CULOARE NEAGRĂ, GRANULAȚIE 100",Material,General,UN,1.41,1.41,1.41,1.41,1,RON,0.08,0.0533,654,654,Drenagem de ar condicionado,SINAPI Raport Analitic de Compoziții (CAIXA/IBGE),Drenaj de aer condiționat,Drenaj de aer condiționat
88262,ZUGRAV DE FORMĂ CU ÎNCĂRCĂTURI SUPLIMENTARE,Labor,Labor,H,16.76,16.76,16.76,16.76,1,RON,42.69,2.5478,614,614,Bocas para Bueiros,SINAPI Raport Analitic de Compoziții (CAIXA/IBGE),Bucșe pentru bazine,Bucșe pentru bazine
3148,"FITA VEDA ROSCA, EM PTFE, ROLO DE 18 MM X 50 M (L X C)",Material,General,UN,6.88,6.88,6.88,6.88,1,RON,0.21,0.0299,513,513,Drenagem de ar condicionado,SINAPI Raport Analitic de Compoziții (CAIXA/IBGE),Drenaj de aer condiționat,Drenaj de aer condiționat
88239,AJUTOR DE ZIDARIE CU ÎNCĂRCĂTURI SUPLIMENTARE,Labor,Labor,H,13.29,13.29,13.29,13.29,1,RON,12.81,0.9636,489,489,Bocas para Bueiros,SINAPI Raport Analitic de Compoziții (CAIXA/IBGE),Bucșe pentru bazine,Bucșe pentru bazine
88246,ASENTATOR DE TUBURI CU ÎNCĂRCĂTURI SUPLIMENTARE,Labor,Labor,H,14.11,14.11,14.11,14.11,1,RON,6.74,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Raport Analitic de Compoziții (CAIXA/IBGE),Instalarea tuburilor de canalizare din PVC și PEAD,Instalarea tuburilor de canalizare din PVC și PEAD
20078,"PASTA LUBRIFICANTĂ PENTRU TUBURI ȘI CONEXIUNI CU JUNTA ELASTICĂ, AMBALAJ DE *400* GR (UTILIZARE ÎN PVC, OȚEL, POLIETILENĂ ȘI ALTELE)",Material,General,UN,17.23,17.23,17.23,17.23,1,RON,1.88,0.1091,396,396,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Raport Analitic de Compoziții (CAIXA/IBGE),Instalarea tuburilor de canalizare din PVC și PEAD,Instalarea tuburilor de canalizare din PVC și PEAD
5678,"RETROESCAVATOR PE ROȚI CU ÎNCĂRCĂTOARE, TRACTIUNE 4X4, PUTERE LICHIDĂ 88 HP, CUPA ÎNCĂRCĂTOARE CAP. MIN. 1 M3, CUPA RETRO CAP. 0,26 M3, GREUTATE OPERAȚIONALĂ MIN. 6.674 KG, PROFUNDIME MAXIMĂ DE SĂPARE 4,37 M - CHP DIURN. AF_06/2014",Equipment,General,CHP,110.45,110.45,110.45,110.45,1,RON,12.37,0.112,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Raport Analitic de Compoziții (CAIXA/IBGE),Instalarea tuburilor de canalizare din PVC și PEAD,Instalarea tuburilor de canalizare din PVC și PEAD
