resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,Рабочий с дополнительными обязанностями,Labor,Labor,H,200.2,200.2,200.2,200.2,1,RUB,530.05,2.6476,3636,3636,Acessibilidade,SINAPI Аналитический отчет по составам (CAIXA/IBGE),Доступность,Доступность
88267,САНИТАР ИЛИ ГИДРАВЛИК С ДОПОЛНИТЕЛЬНЫМИ ЗАТРАТАМИ,Labor,Labor,H,246.23,246.23,246.23,246.23,1,RUB,166.03,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Аналитический отчет по составам (CAIXA/IBGE),"Гидравлические насосы - центробежные, горизонтальные и погружные","Гидравлические насосы - центробежные, горизонтальные и погружные"
88248,Помощник сантехника или водопроводчика с дополнительными расходами,Labor,Labor,H,193.6,193.6,193.6,193.6,1,RUB,102.78,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Аналитический отчет по составам (CAIXA/IBGE),"Гидравлические насосы - центробежные, горизонтальные и погружные","Гидравлические насосы - центробежные, горизонтальные и погружные"
88309,Каменщик с дополнительными расходами,Labor,Labor,H,254.81,254.81,254.81,254.81,1,RUB,1481.24,5.8132,1283,1283,Acessibilidade,SINAPI Аналитический отчет по составам (CAIXA/IBGE),Доступность,Доступность
88264,ЭЛЕКТРИК С ДОПОЛНИТЕЛЬНЫМИ ОБЯЗАННОСТЯМИ,Labor,Labor,H,258.05,258.05,258.05,258.05,1,RUB,310.08,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Аналитический отчет по составам (CAIXA/IBGE),"Гидравлические насосы - центробежные, горизонтальные и погружные","Гидравлические насосы - центробежные, горизонтальные и погружные"
88247,Помощник электрика с дополнительными обязанностями,Labor,Labor,H,204.38,204.38,204.38,204.38,1,RUB,131.05,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Аналитический отчет по составам (CAIXA/IBGE),"Гидравлические насосы - центробежные, горизонтальные и погружные","Гидравлические насосы - центробежные, горизонтальные и погружные"
38383,"ШЛИФОВАЛЬНАЯ БУМАГА В ЛИСТАХ, ЧЕРНЫЙ ЦВЕТ, ЗЕРНО 100",Material,General,UN,21.1,21.1,21.1,21.1,1,RUB,1.12,0.0533,654,654,Drenagem de ar condicionado,SINAPI Аналитический отчет по составам (CAIXA/IBGE),Дренаж кондиционирования воздуха,Дренаж кондиционирования воздуха
88262,Столяр форм с дополнительными затратами,Labor,Labor,H,250.63,250.63,250.63,250.63,1,RUB,638.56,2.5478,614,614,Bocas para Bueiros,SINAPI Аналитический отчет по составам (CAIXA/IBGE),Входы для ливневых стоков,Входы для ливневых стоков
3148,"ЛЕНТА УПЛОТНЕНИЯ РЕЗЬБЫ, ИЗ PTFE, КАТУШКА 18 MM X 50 M (Д X Ш)",Material,General,UN,102.94,102.94,102.94,102.94,1,RUB,3.08,0.0299,513,513,Drenagem de ar condicionado,SINAPI Аналитический отчет по составам (CAIXA/IBGE),Дренаж кондиционирования воздуха,Дренаж кондиционирования воздуха
88239,Помощник плотника с дополнительными расходами,Labor,Labor,H,198.81,198.81,198.81,198.81,1,RUB,191.58,0.9636,489,489,Bocas para Bueiros,SINAPI Аналитический отчет по составам (CAIXA/IBGE),Входы для ливневых стоков,Входы для ливневых стоков
