resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,AIDE AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1407.69,1407.69,1407.69,1407.69,1,XOF,3726.92,2.6476,3636,3636,Acessibilidade,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Accessibilité,Accessibilité
88267,PLUMBER OU PLOMBIER AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1731.28,1731.28,1731.28,1731.28,1,XOF,1167.4,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Rapport analytique des compositions (CAIXA/IBGE),"Pompes hydrauliques - Centrifuges, horizontales et submersibles","Pompes hydrauliques - Centrifuges, horizontales et submersibles"
88248,AUXILIAIRE DE PLOMBIER OU DE POMPIER HYDRAULIQUE AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1361.23,1361.23,1361.23,1361.23,1,XOF,722.67,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Rapport analytique des compositions (CAIXA/IBGE),"Pompes hydrauliques - Centrifuges, horizontales et submersibles","Pompes hydrauliques - Centrifuges, horizontales et submersibles"
88309,MAÇON AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1791.6,1791.6,1791.6,1791.6,1,XOF,10414.99,5.8132,1283,1283,Acessibilidade,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Accessibilité,Accessibilité
88264,ÉLECTRICIEN AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1814.42,1814.42,1814.42,1814.42,1,XOF,2180.25,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Rapport analytique des compositions (CAIXA/IBGE),"Pompes hydrauliques - Centrifuges, horizontales et submersibles","Pompes hydrauliques - Centrifuges, horizontales et submersibles"
88247,AUXILIAIRE ÉLECTRICIEN AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1437.03,1437.03,1437.03,1437.03,1,XOF,921.44,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Rapport analytique des compositions (CAIXA/IBGE),"Pompes hydrauliques - Centrifuges, horizontales et submersibles","Pompes hydrauliques - Centrifuges, horizontales et submersibles"
38383,"PAPIER DE VERRE HUMIDE, COULEUR NOIRE, GRAIN 100",Material,General,UN,148.35,148.35,148.35,148.35,1,XOF,7.89,0.0533,654,654,Drenagem de ar condicionado,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Drainage de climatisation,Drainage de climatisation
88262,CHARPENTIER DE FORME AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1762.26,1762.26,1762.26,1762.26,1,XOF,4489.88,2.5478,614,614,Bocas para Bueiros,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Bouches pour bouches d'égout,Bouches pour bouches d'égout
3148,"BANDE ADHÉSIVE EN PTFE, ROULEAU DE 18 MM X 50 M (L X C)",Material,General,UN,723.81,723.81,723.81,723.81,1,XOF,21.62,0.0299,513,513,Drenagem de ar condicionado,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Drainage de climatisation,Drainage de climatisation
88239,AIDE DE CHARPENTIER AVEC CHARGES COMPLÉMENTAIRES,Labor,Labor,H,1397.9,1397.9,1397.9,1397.9,1,XOF,1347.05,0.9636,489,489,Bocas para Bueiros,SINAPI Rapport analytique des compositions (CAIXA/IBGE),Bouches pour bouches d'égout,Bouches pour bouches d'égout
