resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,คนงานทั่วไปพร้อมค่าใช้จ่ายประกอบ,Labor,Labor,H,68.23,68.23,68.23,68.23,1,THB,180.65,2.6476,3636,3636,Acessibilidade,รายงานวิเคราะห์องค์ประกอบต้นทุน SINAPI (CAIXA/IBGE),การเข้าถึง,การเข้าถึง
88267,ช่างประปาหรือช่างระบบสุขาภิบาลพร้อมค่าใช้จ่ายประกอบ,Labor,Labor,H,83.92,83.92,83.92,83.92,1,THB,56.59,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",รายงานวิเคราะห์องค์ประกอบต้นทุน SINAPI (CAIXA/IBGE),"ปั๊มน้ำแรงดัน - แบบศูนย์กลาง, แนวนอน และจุ่ม","ปั๊มน้ำแรงดัน - แบบศูนย์กลาง, แนวนอน และจุ่ม"
88248,ผู้ช่วยช่างประปาหรือช่างระบบสุขาภิบาลพร้อมค่าใช้จ่ายประกอบ,Labor,Labor,H,65.98,65.98,65.98,65.98,1,THB,35.03,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",รายงานวิเคราะห์องค์ประกอบต้นทุน SINAPI (CAIXA/IBGE),"ปั๊มน้ำแรงดัน - แบบศูนย์กลาง, แนวนอน และจุ่ม","ปั๊มน้ำแรงดัน - แบบศูนย์กลาง, แนวนอน และจุ่ม"
88309,ช่างก่ออิฐพร้อมค่าใช้จ่ายประกอบ,Labor,Labor,H,86.84,86.84,86.84,86.84,1,THB,504.83,5.8132,1283,1283,Acessibilidade,รายงานวิเคราะห์องค์ประกอบต้นทุน SINAPI (CAIXA/IBGE),การเข้าถึง,การเข้าถึง
88264,ช่างไฟฟ้าพร้อมค่าใช้จ่ายประกอบ,Labor,Labor,H,87.95,87.95,87.95,87.95,1,THB,105.68,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",รายงานวิเคราะห์องค์ประกอบต้นทุน SINAPI (CAIXA/IBGE),"ปั๊มน้ำแรงดัน - แบบศูนย์กลาง, แนวนอน และจุ่ม","ปั๊มน้ำแรงดัน - แบบศูนย์กลาง, แนวนอน และจุ่ม"
88247,ผู้ช่วยช่างไฟฟ้าพร้อมค่าใช้จ่ายประกอบ,Labor,Labor,H,69.65,69.65,69.65,69.65,1,THB,44.66,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",รายงานวิเคราะห์องค์ประกอบต้นทุน SINAPI (CAIXA/IBGE),"ปั๊มน้ำแรงดัน - แบบศูนย์กลาง, แนวนอน และจุ่ม","ปั๊มน้ำแรงดัน - แบบศูนย์กลาง, แนวนอน และจุ่ม"
38383,"แผ่นกรองน้ำมัน, สีดำ, เกรน 100",Material,General,UN,7.19,7.19,7.19,7.19,1,THB,0.38,0.0533,654,654,Drenagem de ar condicionado,รายงานวิเคราะห์องค์ประกอบต้นทุน SINAPI (CAIXA/IBGE),ระบายน้ำปรับอากาศ,ระบายน้ำปรับอากาศ
88262,ช่างไม้แบบหล่อพร้อมค่าใช้จ่ายประกอบ,Labor,Labor,H,85.42,85.42,85.42,85.42,1,THB,217.63,2.5478,614,614,Bocas para Bueiros,รายงานวิเคราะห์องค์ประกอบต้นทุน SINAPI (CAIXA/IBGE),ปากท่อระบายน้ำ,ปากท่อระบายน้ำ
3148,"เทปป้องกันการรั่วซึมแบบเกลียว, ใน PTFE, ม้วน 18 MM X 50 M (L X C)",Material,General,UN,35.08,35.08,35.08,35.08,1,THB,1.05,0.0299,513,513,Drenagem de ar condicionado,รายงานวิเคราะห์องค์ประกอบต้นทุน SINAPI (CAIXA/IBGE),ระบายน้ำปรับอากาศ,ระบายน้ำปรับอากาศ
88239,ผู้ช่วยช่างไม้พร้อมค่าใช้จ่ายประกอบ,Labor,Labor,H,67.76,67.76,67.76,67.76,1,THB,65.29,0.9636,489,489,Bocas para Bueiros,รายงานวิเคราะห์องค์ประกอบต้นทุน SINAPI (CAIXA/IBGE),ปากท่อระบายน้ำ,ปากท่อระบายน้ำ
88246,ช่างวางท่อพร้อมค่าใช้จ่ายประกอบ,Labor,Labor,H,71.95,71.95,71.95,71.95,1,THB,34.34,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,รายงานวิเคราะห์องค์ประกอบต้นทุน SINAPI (CAIXA/IBGE),การวางท่อน้ำเสียด้วย PVC และ PEAD,การวางท่อน้ำเสียด้วย PVC และ PEAD
20078,"จาระบีหล่อลื่นสำหรับท่อและข้อต่อพร้อมข้อต่อยางกันรั่ว, บรรจุภัณฑ์ *400* กรัม (ใช้ใน PVC, เหล็ก, โพลีเอทิลีน และอื่น ๆ)",Material,General,UN,87.83,87.83,87.83,87.83,1,THB,9.58,0.1091,396,396,Assentamento de Tubos de Esgoto em PVC e PEAD,รายงานวิเคราะห์องค์ประกอบต้นทุน SINAPI (CAIXA/IBGE),การวางท่อน้ำเสียด้วย PVC และ PEAD,การวางท่อน้ำเสียด้วย PVC และ PEAD
5678,"รถแบ็กโฮล้อยางพร้อมบุ้งกี๋หน้า, ระบบขับเคลื่อน 4X4, กำลังสุทธิ 88 HP, บุ้งกี๋หน้าความจุขั้นต่ำ 1 M3, บุ้งกี๋หลังความจุ 0,26 M3, น้ำหนักใช้งานขั้นต่ำ 6.674 KG, ความลึกขุดสูงสุด 4,37 M - CHP กลางวัน. AF_06/2014",Equipment,General,CHP,563.08,563.08,563.08,563.08,1,THB,63.05,0.112,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,รายงานวิเคราะห์องค์ประกอบต้นทุน SINAPI (CAIXA/IBGE),การวางท่อน้ำเสียด้วย PVC และ PEAD,การวางท่อน้ำเสียด้วย PVC และ PEAD
