resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,عامل مساعد مع أعباء إضافية,Labor,Labor,H,6.19,6.19,6.19,6.19,1,TND,16.4,2.6476,3636,3636,Acessibilidade,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),إمكانية الوصول,إمكانية الوصول
88267,سباك أو فني مضخات هيدروليكية مع الأعباء التكميلية,Labor,Labor,H,7.62,7.62,7.62,7.62,1,TND,5.14,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),مضخات هيدروليكية - طرد مركزي، أفقية وغاطسة,مضخات هيدروليكية - طرد مركزي، أفقية وغاطسة
88248,مساعد سباك أو عامل مضخات هيدروليكية مع الأعباء التكميلية,Labor,Labor,H,5.99,5.99,5.99,5.99,1,TND,3.18,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),مضخات هيدروليكية - طرد مركزي، أفقية وغاطسة,مضخات هيدروليكية - طرد مركزي، أفقية وغاطسة
88309,بَنَّاء مع أعباء إضافية,Labor,Labor,H,7.88,7.88,7.88,7.88,1,TND,45.82,5.8132,1283,1283,Acessibilidade,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),إمكانية الوصول,إمكانية الوصول
88264,كهربائي مع أعباء إضافية,Labor,Labor,H,7.98,7.98,7.98,7.98,1,TND,9.59,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),مضخات هيدروليكية - طرد مركزي، أفقية وغاطسة,مضخات هيدروليكية - طرد مركزي، أفقية وغاطسة
88247,مساعد كهربائي مع أعباء إضافية,Labor,Labor,H,6.32,6.32,6.32,6.32,1,TND,4.05,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),مضخات هيدروليكية - طرد مركزي، أفقية وغاطسة,مضخات هيدروليكية - طرد مركزي، أفقية وغاطسة
38383,ورق صنفرة مائي، لون أسود، حبة 100,Material,General,UN,0.65,0.65,0.65,0.65,1,TND,0.03,0.0533,654,654,Drenagem de ar condicionado,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),صرف تكييف الهواء,صرف تكييف الهواء
88262,نجار القوالب مع الأعباء التكميلية,Labor,Labor,H,7.75,7.75,7.75,7.75,1,TND,19.75,2.5478,614,614,Bocas para Bueiros,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),فتحات تصريف المجاري,فتحات تصريف المجاري
3148,شريط مانع لتسرب قلاوظ الأنابيب، من PTFE، لفة 18 MM X 50 M (العرض X الطول),Material,General,UN,3.18,3.18,3.18,3.18,1,TND,0.1,0.0299,513,513,Drenagem de ar condicionado,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),صرف تكييف الهواء,صرف تكييف الهواء
88239,مساعد نجار مع الأعباء التكميلية,Labor,Labor,H,6.15,6.15,6.15,6.15,1,TND,5.93,0.9636,489,489,Bocas para Bueiros,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),فتحات تصريف المجاري,فتحات تصريف المجاري
88246,عامل تركيب أنابيب مع أعباء إضافية,Labor,Labor,H,6.53,6.53,6.53,6.53,1,TND,3.12,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),تركيب أنابيب الصرف الصحي من PVC و PEAD,تركيب أنابيب الصرف الصحي من PVC و PEAD
20078,معجون تزييت للأنابيب والوصلات مع وصلة مرنة، عبوة *400* غرام (للاستخدام في PVC، الصلب، البولي إيثيلين وغيرها),Material,General,UN,7.97,7.97,7.97,7.97,1,TND,0.87,0.1091,396,396,Assentamento de Tubos de Esgoto em PVC e PEAD,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),تركيب أنابيب الصرف الصحي من PVC و PEAD,تركيب أنابيب الصرف الصحي من PVC و PEAD
5678,"حفارة خلفية على عجلات مع محمل، دفع 4X4، قدرة صافية 88 HP، سعة جرافة تحميل لا تقل عن 1 M3، سعة جرافة خلفية 0,26 M3، وزن تشغيلي لا يقل عن 6.674 KG، أقصى عمق حفر 4,37 M - CHP نهاري. AF_06/2014",Equipment,General,CHP,51.11,51.11,51.11,51.11,1,TND,5.72,0.112,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),تركيب أنابيب الصرف الصحي من PVC و PEAD,تركيب أنابيب الصرف الصحي من PVC و PEAD
5679,"حفارة خلفية على عجلات مع محمل، دفع 4X4، قدرة صافية 88 HP، سعة جرافة تحميل لا تقل عن 1 M3، سعة جرافة خلفية 0,26 M3، وزن تشغيلي لا يقل عن 6.674 KG، عمق الحفر الأقصى 4,37 M - CHI نهاري. AF_06/2014",Equipment,General,CHI,19.43,19.43,19.43,19.43,1,TND,4.86,0.2499,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),تركيب أنابيب الصرف الصحي من PVC و PEAD,تركيب أنابيب الصرف الصحي من PVC و PEAD
5928,"رافعة هيدروليكية، أقصى قدرة تحميل 6200 KG، أقصى عزم تحميل 11,7 TM، أقصى مدى أفقي 9,70 M، شاحنة توكو PBT 16.000 KG، قوة 189 CV - CHP نهاري. AF_06/2014",Equipment,General,CHP,93.53,93.53,93.53,93.53,1,TND,34.2,0.3656,381,381,Instalações para Canteiros de Obras,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),مرافق مواقع البناء,مرافق مواقع البناء
20083,محلول تحضيري / منظف للبولي فينيل كلوريد، زجاجة بسعة 1000 CM3,Material,General,UN,21.88,21.88,21.88,21.88,1,TND,0.55,0.0252,376,376,Drenagem de ar condicionado,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),صرف تكييف الهواء,صرف تكييف الهواء
5930,"رافعة هيدروليكية، أقصى قدرة تحميل 6200 KG، أقصى عزم تحميل 11,7 TM، أقصى مدى أفقي 9,70 M، شاحنة توكو PBT 16.000 KG مشمولة، قوة 189 CV - CHP نهاري. AF_06/2014",Equipment,General,CHI,18.73,18.73,18.73,18.73,1,TND,17.29,0.9234,371,371,Instalações para Canteiros de Obras,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),مرافق مواقع البناء,مرافق مواقع البناء
122,لاصق بلاستيكي لـ PVC، عبوة تحتوي على *850* غرام,Material,General,UN,19.31,19.31,19.31,19.31,1,TND,0.35,0.0182,368,368,Drenagem de ar condicionado,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),صرف تكييف الهواء,صرف تكييف الهواء
2692,مزيل القوالب الواقي لأشكال الخشب، أساس زيتي مستحلب في الماء,Material,General,L,3.21,3.21,3.21,3.21,1,TND,0.05,0.0157,362,362,Bocas para Bueiros,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),فتحات تصريف المجاري,فتحات تصريف المجاري
1379,أسمنت بورتلاند مركب CP II-32,Material,General,KG,0.25,0.25,0.25,0.25,1,TND,52.96,210.9891,362,362,Argamassas,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),الملاط,الملاط
5903,"شاحنة صهريج 10.000 ل تروكادو، الوزن الإجمالي 23.000 KG، الحمولة القصوى 15.935 KG، المسافة بين المحاور 4,8 M، القدرة 230 حصان، بما في ذلك خزان فولاذي لنقل المياه - CHI نهاري. AF_06/2014",Equipment,General,CHI,18.97,18.97,18.97,18.97,1,TND,1.79,0.0941,343,343,Aterro e Reaterro de Valas,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),ردم وإعادة ردم الخنادق,ردم وإعادة ردم الخنادق
5901,"شاحنة صهريج 10.000 لتر مزدوجة المحور، الوزن الإجمالي 23.000 KG، الحمولة الصافية القصوى 15.935 KG، المسافة بين المحاور 4,8 M، القدرة 230 حصان، تشمل خزان فولاذي لنقل المياه - CHP نهاري. AF_06/2014",Equipment,General,CHP,108.23,108.23,108.23,108.23,1,TND,2.1,0.0194,343,343,Aterro e Reaterro de Valas,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),ردم وإعادة ردم الخنادق,ردم وإعادة ردم الخنادق
5631,"حفارة هيدروليكية على مسارات، جرافة 0,80 M3، وزن تشغيلي 17 T، قدرة إجمالية 111 HP - CHP نهاري. AF_06/2014",Equipment,General,CHP,73.88,73.88,73.88,73.88,1,TND,4.24,0.0574,335,335,Assentamento de Tubos de Esgoto em PVC e PEAD,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),تركيب أنابيب الصرف الصحي من PVC و PEAD,تركيب أنابيب الصرف الصحي من PVC و PEAD
5632,"حفارة هيدروليكية على مسارات، دلو 0,80 M3، وزن تشغيلي 17 T، قدرة إجمالية 111 HP - CHP نهاري. AF_06/2014",Equipment,General,CHI,27.83,27.83,27.83,27.83,1,TND,4.0,0.1436,335,335,Assentamento de Tubos de Esgoto em PVC e PEAD,تقرير تحليلي لتراكيب SINAPI (CAIXA/IBGE),تركيب أنابيب الصرف الصحي من PVC و PEAD,تركيب أنابيب الصرف الصحي من PVC و PEAD
