resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,Hizmetli ve Ek Masraflar,Labor,Labor,H,109.55,109.55,109.55,109.55,1,TRY,290.04,2.6476,3636,3636,Acessibilidade,SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),Erişilebilirlik,Erişilebilirlik
88267,"ÇATKILAR VEYA SU TESİSATÇISI, EK GİDERLERLE",Labor,Labor,H,134.73,134.73,134.73,134.73,1,TRY,90.85,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),"Hidrolik Pompalar - Santrifüj, Yatay ve Su Altı","Hidrolik Pompalar - Santrifüj, Yatay ve Su Altı"
88248,TİPİK TESİSATÇI VEYA HİDROLİK TESİSATÇI ASİSTANI VEYA YARDIMCI PERSONELİ,Labor,Labor,H,105.93,105.93,105.93,105.93,1,TRY,56.24,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),"Hidrolik Pompalar - Santrifüj, Yatay ve Su Altı","Hidrolik Pompalar - Santrifüj, Yatay ve Su Altı"
88309,İnşaatçı VE EK ÜCRETLERİ,Labor,Labor,H,139.43,139.43,139.43,139.43,1,TRY,810.53,5.8132,1283,1283,Acessibilidade,SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),Erişilebilirlik,Erişilebilirlik
88264,ELEKTRİKÇİ VE EK MALİYETLERİ,Labor,Labor,H,141.2,141.2,141.2,141.2,1,TRY,169.67,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),"Hidrolik Pompalar - Santrifüj, Yatay ve Su Altı","Hidrolik Pompalar - Santrifüj, Yatay ve Su Altı"
88247,ELEKTRİKÇİ YARDIMCI SİSTEMİ VE EK GİDERLER,Labor,Labor,H,111.83,111.83,111.83,111.83,1,TRY,71.71,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),"Hidrolik Pompalar - Santrifüj, Yatay ve Su Altı","Hidrolik Pompalar - Santrifüj, Yatay ve Su Altı"
38383,"SU KİRİTİ, KARA, 100 GR",Material,General,UN,11.54,11.54,11.54,11.54,1,TRY,0.61,0.0533,654,654,Drenagem de ar condicionado,SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),Klima hava tahliyesi,Klima hava tahliyesi
88262,Kalıpçı ve ek ücretler,Labor,Labor,H,137.14,137.14,137.14,137.14,1,TRY,349.42,2.5478,614,614,Bocas para Bueiros,SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),Menholar için ağzı,Menholar için ağzı
3148,"PTFE ile, 18 MM X 50 M (Uzunluk x Genişlik) Rulo, SİNAİ KODLARINI, BOYUTLARI VE CHP/CHI MAKİNE-SAAT DURUMUNU KORUYARAK",Material,General,UN,56.33,56.33,56.33,56.33,1,TRY,1.68,0.0299,513,513,Drenagem de ar condicionado,SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),Klima hava tahliyesi,Klima hava tahliyesi
88239,İnşaat işçisi yardımcısı,Labor,Labor,H,108.79,108.79,108.79,108.79,1,TRY,104.83,0.9636,489,489,Bocas para Bueiros,SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),Menholar için ağzı,Menholar için ağzı
88246,Boru montajcısı ve ek maliyetler,Labor,Labor,H,115.51,115.51,115.51,115.51,1,TRY,55.13,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),PVC ve PEAD atık su borularının yerleştirilmesi,PVC ve PEAD atık su borularının yerleştirilmesi
20078,"YAĞLAYICI MACUN TUBULARAR VE LASTİK CONTALAR İÇİN, *400* GR'LIK AMBALAJ (PVC, ÇELİK, POLİETİLEN VE DİĞER MALZEMELERDE KULLANIM)",Material,General,UN,141.01,141.01,141.01,141.01,1,TRY,15.38,0.1091,396,396,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),PVC ve PEAD atık su borularının yerleştirilmesi,PVC ve PEAD atık su borularının yerleştirilmesi
5678,"LASTİKLİ TEKERLEKLİ YÜKLEYİCİ, 4X4 ÇEKİŞ, NET GÜÇ 88 HP, KAPASİTELİ KOVA 1 M3, RETRO KOVA 0,26 M3, OPERASYONEL AĞIRLIK 6.674 KG, MAXİMUM KAZMA DERİNLİĞİ 4,37 M - CHP GÜNDÜZ. AF_06/2014",Equipment,General,CHP,904.06,904.06,904.06,904.06,1,TRY,101.22,0.112,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),PVC ve PEAD atık su borularının yerleştirilmesi,PVC ve PEAD atık su borularının yerleştirilmesi
5679,"LASTİKLİ TEKERLEKLİ YÜKLEYİCİ, 4X4 ÇEKİŞ, NET GÜÇ 88 HP, KAPASİTESİ EN AZ 1 M3, ARKA KAPAK KAPASİTESİ 0,26 M3, ÇALIŞMA AĞIRLIĞI EN AZ 6.674 KG, KAZMA DERİNLİĞİ EN FAZLA 4,37 M - GÜNDÜZ CHI. AF_06/2014",Equipment,General,CHI,343.75,343.75,343.75,343.75,1,TRY,85.89,0.2499,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),PVC ve PEAD atık su borularının yerleştirilmesi,PVC ve PEAD atık su borularının yerleştirilmesi
5928,"HİDROLİK KİLİT, AZAMİ YÜK KAPASİTESİ 6200 KG, AZAMİ YÜK MOMENTİ 11,7 TM, AZAMİ YATAY UZAKLIK 9,70 M, 16.000 KG PBT KAMYON İÇERİR, 189 HP - CHP Gündüz. AF_06/2014",Equipment,General,CHP,1654.55,1654.55,1654.55,1654.55,1,TRY,604.96,0.3656,381,381,Instalações para Canteiros de Obras,SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),Şantiye Tesisleri,Şantiye Tesisleri
20083,"PVC için HAZIRLAMA / TEMİZLEME ÇÖZÜMÜ, 1000 CM3 ŞİŞE",Material,General,UN,387.07,387.07,387.07,387.07,1,TRY,9.77,0.0252,376,376,Drenagem de ar condicionado,SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),Klima hava tahliyesi,Klima hava tahliyesi
5930,"HYDRAULIC WINCH, MAXIMUM LOAD CAPACITY 6200 KG, MAXIMUM LOAD MOMENT 11,7 TM, MAXIMUM HORIZONTAL REACH 9,70 M, INCLUDING PICKUP TRUCK PBT 16.000 KG, POWER 189 HP - DAYTIME CHI.",Equipment,General,CHI,331.25,331.25,331.25,331.25,1,TRY,305.88,0.9234,371,371,Instalações para Canteiros de Obras,SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),Şantiye Tesisleri,Şantiye Tesisleri
122,"PVC için plastik yapıştırıcı, şişe içinde *850* GR",Material,General,UN,341.66,341.66,341.66,341.66,1,TRY,6.23,0.0182,368,368,Drenagem de ar condicionado,SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),Klima hava tahliyesi,Klima hava tahliyesi
2692,"AHŞAP KALIPLAR İÇİN KORUYUCU ÇEKİCİ, YAĞLI BAZLI EMÜLSİYON SUYUNDA",Material,General,L,56.84,56.84,56.84,56.84,1,TRY,0.9,0.0157,362,362,Bocas para Bueiros,SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),Menholar için ağzı,Menholar için ağzı
1379,PORTLAND ÇİMENTO BİLEŞİMİ CP II-32,Material,General,KG,4.44,4.44,4.44,4.44,1,TRY,936.87,210.9891,362,362,Argamassas,SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),Harçlar,Harçlar
5903,"10.000 L SİPER TIR, BRÜT AĞIRLIĞI TOPLAM 23.000 KG, MAXİMUM YÜK 15.935 KG, AXIS ARALIĞI 4,8 M, GÜÇ 230 HP, ÇELİK DEPOSU İLE SU TAŞIMACILIĞI - GÜNDÜZ CHI.",Equipment,General,CHI,335.5,335.5,335.5,335.5,1,TRY,31.58,0.0941,343,343,Aterro e Reaterro de Valas,SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),Havza Dolgusu ve Yeniden Dolgusu,Havza Dolgusu ve Yeniden Dolgusu
5901,"10.000 L YÜK TAŞIMALI SU TANKERİ, BRÜT AĞIRLIK 23.000 KG, MAXİMUM YÜK 15.935 KG, AXIS ARASI MESAFE 4,8 M, MOTOR GÜcü 230 HP, SU TAŞIMAK İÇİN ÇELİK DEPOSU - CHP Gündüz. AF_06/2014",Equipment,General,CHP,1914.56,1914.56,1914.56,1914.56,1,TRY,37.12,0.0194,343,343,Aterro e Reaterro de Valas,SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),Havza Dolgusu ve Yeniden Dolgusu,Havza Dolgusu ve Yeniden Dolgusu
5631,"HİDROLİK KAZMA, YOL ÜZERİ, 0,80 M3 KOVA, OPERASYONEL AĞIRLIĞI 17 T, BRÜT GÜÇ 111 HP - CHP GÜNDÜZ. AF_06/2014",Equipment,General,CHP,1306.87,1306.87,1306.87,1306.87,1,TRY,75.07,0.0574,335,335,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),PVC ve PEAD atık su borularının yerleştirilmesi,PVC ve PEAD atık su borularının yerleştirilmesi
5632,"HİDROLİK KAZMA, YOL ÜZERİ, 0,80 M3 KOVASI, OPERATİF AĞIRLIĞI 17 T, BRÜT GÜÇ 111 HP - GÜNDÜZ CHI. AF_06/2014",Equipment,General,CHI,492.25,492.25,492.25,492.25,1,TRY,70.68,0.1436,335,335,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),PVC ve PEAD atık su borularının yerleştirilmesi,PVC ve PEAD atık su borularının yerleştirilmesi
4517,"KARMAŞIK *2,5 X 7,5* CM KİREÇ TAŞI, KARMAŞIK VEYA BÖLGEYE EŞDEĞER - BRÜT",Material,General,M,31.4,31.4,31.4,31.4,1,TRY,35.62,1.1344,272,272,Caixas Enterradas,SINAPI Analitik Bileşen Raporu (CAIXA/IBGE),Gömülü Kutular,Gömülü Kutular
