resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,LABORER WITH ADDITIONAL CHARGES,Labor,Labor,H,8596.54,8596.54,8596.54,8596.54,1,UGX,22759.76,2.6476,3636,3636,Acessibilidade,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Accessibility,Accessibility
88267,PLUMBER OR HYDRAULIC FITTER WITH ADDITIONAL CHARGES,Labor,Labor,H,10572.7,10572.7,10572.7,10572.7,1,UGX,7129.15,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytical Report of Compositions (CAIXA/IBGE),"Hydraulic Pumps - Centrifugal, Horizontal and Submersible","Hydraulic Pumps - Centrifugal, Horizontal and Submersible"
88248,PLUMBER'S ASSISTANT OR HYDRAULIC FIREMAN WITH ADDITIONAL CHARGES,Labor,Labor,H,8312.81,8312.81,8312.81,8312.81,1,UGX,4413.24,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytical Report of Compositions (CAIXA/IBGE),"Hydraulic Pumps - Centrifugal, Horizontal and Submersible","Hydraulic Pumps - Centrifugal, Horizontal and Submersible"
88309,MASON WITH ADDITIONAL CHARGES,Labor,Labor,H,10941.05,10941.05,10941.05,10941.05,1,UGX,63602.87,5.8132,1283,1283,Acessibilidade,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Accessibility,Accessibility
88264,ELECTRICIAN WITH ADDITIONAL CHARGES,Labor,Labor,H,11080.42,11080.42,11080.42,11080.42,1,UGX,13314.48,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytical Report of Compositions (CAIXA/IBGE),"Hydraulic Pumps - Centrifugal, Horizontal and Submersible","Hydraulic Pumps - Centrifugal, Horizontal and Submersible"
88247,ELECTRICIAN'S ASSISTANT WITH ADDITIONAL CHARGES,Labor,Labor,H,8775.74,8775.74,8775.74,8775.74,1,UGX,5627.08,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytical Report of Compositions (CAIXA/IBGE),"Hydraulic Pumps - Centrifugal, Horizontal and Submersible","Hydraulic Pumps - Centrifugal, Horizontal and Submersible"
38383,"WATERPROOF SANDPAPER SHEET, BLACK COLOR, GRAIN 100",Material,General,UN,905.95,905.95,905.95,905.95,1,UGX,48.19,0.0533,654,654,Drenagem de ar condicionado,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Air conditioning drainage,Air conditioning drainage
88262,FORMWORK CARPENTER WITH ADDITIONAL CHARGES,Labor,Labor,H,10761.85,10761.85,10761.85,10761.85,1,UGX,27419.08,2.5478,614,614,Bocas para Bueiros,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Inlets for Storm Drains,Inlets for Storm Drains
3148,"THREAD SEAL TAPE, PTFE, 18 MM X 50 M ROLL (L X W)",Material,General,UN,4420.22,4420.22,4420.22,4420.22,1,UGX,132.06,0.0299,513,513,Drenagem de ar condicionado,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Air conditioning drainage,Air conditioning drainage
88239,CARPENTER'S HELPER WITH ADDITIONAL CHARGES,Labor,Labor,H,8536.81,8536.81,8536.81,8536.81,1,UGX,8226.24,0.9636,489,489,Bocas para Bueiros,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Inlets for Storm Drains,Inlets for Storm Drains
88246,PIPE LAYER WITH ADDITIONAL CHARGES,Labor,Labor,H,9064.44,9064.44,9064.44,9064.44,1,UGX,4326.25,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Installation of PVC and HDPE Sewage Pipes,Installation of PVC and HDPE Sewage Pipes
20078,"LUBRICANT PASTE FOR PIPES AND FITTINGS WITH ELASTIC JOINT, PACKAGING OF *400* GR (USE IN PVC, STEEL, POLYETHYLENE AND OTHERS)",Material,General,UN,11065.49,11065.49,11065.49,11065.49,1,UGX,1206.82,0.1091,396,396,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Installation of PVC and HDPE Sewage Pipes,Installation of PVC and HDPE Sewage Pipes
5678,"WHEEL BACKHOE LOADER WITH LOADER, 4X4 DRIVE, NET POWER 88 HP, LOADER BUCKET MIN. CAP. 1 M3, BACKHOE BUCKET CAP. 0,26 M3, MIN. OPERATING WEIGHT 6.674 KG, MAX. EXCAVATION DEPTH 4,37 M - DAYTIME CHP. AF_06/2014",Equipment,General,CHP,70942.59,70942.59,70942.59,70942.59,1,UGX,7943.0,0.112,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Installation of PVC and HDPE Sewage Pipes,Installation of PVC and HDPE Sewage Pipes
