resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,Lao công kèm các khoản phụ phí,Labor,Labor,H,47264.31,47264.31,47264.31,47264.31,1,VND,125134.6,2.6476,3636,3636,Acessibilidade,Báo cáo phân tích thành phần SINAPI (CAIXA/IBGE),Tiếp cận,Tiếp cận
88267,Thợ lắp đặt ống hoặc thợ hàn ống thủy lực kèm phụ phí,Labor,Labor,H,58129.35,58129.35,58129.35,58129.35,1,VND,39196.52,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",Báo cáo phân tích thành phần SINAPI (CAIXA/IBGE),"Máy bơm thủy lực - Bơm ly tâm, ngang và chìm","Máy bơm thủy lực - Bơm ly tâm, ngang và chìm"
88248,NHÂN VIÊN HỖ TRỢ KỸ THUẬT CỦA THỢ ỐNG NƯỚC HOẶC THỢ CẢM BIẾN NƯỚC VỚI CÁC PHỤ PHÍ BỔ SUNG,Labor,Labor,H,45704.34,45704.34,45704.34,45704.34,1,VND,24264.29,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",Báo cáo phân tích thành phần SINAPI (CAIXA/IBGE),"Máy bơm thủy lực - Bơm ly tâm, ngang và chìm","Máy bơm thủy lực - Bơm ly tâm, ngang và chìm"
88309,Thợ xây dựng có phụ phí bổ sung,Labor,Labor,H,60154.57,60154.57,60154.57,60154.57,1,VND,349692.56,5.8132,1283,1283,Acessibilidade,Báo cáo phân tích thành phần SINAPI (CAIXA/IBGE),Tiếp cận,Tiếp cận
88264,THỢ ĐIỆN VỚI PHỤ PHÍ BỔ SUNG,Labor,Labor,H,60920.87,60920.87,60920.87,60920.87,1,VND,73203.85,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",Báo cáo phân tích thành phần SINAPI (CAIXA/IBGE),"Máy bơm thủy lực - Bơm ly tâm, ngang và chìm","Máy bơm thủy lực - Bơm ly tâm, ngang và chìm"
88247,THỢ ĐIỆN HẠ TẦNG PHỤ TRỢ,Labor,Labor,H,48249.55,48249.55,48249.55,48249.55,1,VND,30938.03,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",Báo cáo phân tích thành phần SINAPI (CAIXA/IBGE),"Máy bơm thủy lực - Bơm ly tâm, ngang và chìm","Máy bơm thủy lực - Bơm ly tâm, ngang và chìm"
38383,"LIXA D'AGUA EM FOLHA, COR PRETA, GRAO 100",Material,General,UN,4980.95,4980.95,4980.95,4980.95,1,VND,264.97,0.0533,654,654,Drenagem de ar condicionado,Báo cáo phân tích thành phần SINAPI (CAIXA/IBGE),Hệ thống thoát khí điều hòa không khí,Hệ thống thoát khí điều hòa không khí
88262,Thợ mộc khuôn mẫu với các khoản phụ phí,Labor,Labor,H,59169.33,59169.33,59169.33,59169.33,1,VND,150751.84,2.5478,614,614,Bocas para Bueiros,Báo cáo phân tích thành phần SINAPI (CAIXA/IBGE),Ống cho cống thoát nước,Ống cho cống thoát nước
3148,"DÂY DẺO VEDA, BẰNG PTFE, CUỘN 18 MM X 50 M (D X R)",Material,General,UN,24302.67,24302.67,24302.67,24302.67,1,VND,726.08,0.0299,513,513,Drenagem de ar condicionado,Báo cáo phân tích thành phần SINAPI (CAIXA/IBGE),Hệ thống thoát khí điều hòa không khí,Hệ thống thoát khí điều hòa không khí
88239,Hộ lý thợ mộc có phụ cấp bổ sung,Labor,Labor,H,46935.89,46935.89,46935.89,46935.89,1,VND,45228.39,0.9636,489,489,Bocas para Bueiros,Báo cáo phân tích thành phần SINAPI (CAIXA/IBGE),Ống cho cống thoát nước,Ống cho cống thoát nước
88246,LẮP ĐẶT ỐNG VỚI PHỤ TRÁCH BỔ SUNG,Labor,Labor,H,49836.89,49836.89,49836.89,49836.89,1,VND,23786.02,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,Báo cáo phân tích thành phần SINAPI (CAIXA/IBGE),Lắp đặt ống thoát nước PVC và PEAD,Lắp đặt ống thoát nước PVC và PEAD
