resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,LABORER WITH ADDITIONAL CHARGES,Labor,Labor,H,50.17,50.17,50.17,50.17,1,ZAR,132.82,2.6476,3636,3636,Acessibilidade,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Accessibility,Accessibility
88267,PLUMBER OR HYDRAULIC FITTER WITH ADDITIONAL CHARGES,Labor,Labor,H,61.7,61.7,61.7,61.7,1,ZAR,41.6,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytical Report of Compositions (CAIXA/IBGE),"Hydraulic Pumps - Centrifugal, Horizontal and Submersible","Hydraulic Pumps - Centrifugal, Horizontal and Submersible"
88248,PLUMBER'S ASSISTANT OR HYDRAULIC FIREMAN WITH ADDITIONAL CHARGES,Labor,Labor,H,48.51,48.51,48.51,48.51,1,ZAR,25.75,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytical Report of Compositions (CAIXA/IBGE),"Hydraulic Pumps - Centrifugal, Horizontal and Submersible","Hydraulic Pumps - Centrifugal, Horizontal and Submersible"
88309,MASON WITH ADDITIONAL CHARGES,Labor,Labor,H,63.85,63.85,63.85,63.85,1,ZAR,371.17,5.8132,1283,1283,Acessibilidade,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Accessibility,Accessibility
88264,ELECTRICIAN WITH ADDITIONAL CHARGES,Labor,Labor,H,64.66,64.66,64.66,64.66,1,ZAR,77.7,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytical Report of Compositions (CAIXA/IBGE),"Hydraulic Pumps - Centrifugal, Horizontal and Submersible","Hydraulic Pumps - Centrifugal, Horizontal and Submersible"
88247,ELECTRICIAN'S ASSISTANT WITH ADDITIONAL CHARGES,Labor,Labor,H,51.21,51.21,51.21,51.21,1,ZAR,32.84,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Analytical Report of Compositions (CAIXA/IBGE),"Hydraulic Pumps - Centrifugal, Horizontal and Submersible","Hydraulic Pumps - Centrifugal, Horizontal and Submersible"
38383,"WATERPROOF SANDPAPER SHEET, BLACK COLOR, GRAIN 100",Material,General,UN,5.29,5.29,5.29,5.29,1,ZAR,0.28,0.0533,654,654,Drenagem de ar condicionado,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Air conditioning drainage,Air conditioning drainage
88262,FORMWORK CARPENTER WITH ADDITIONAL CHARGES,Labor,Labor,H,62.8,62.8,62.8,62.8,1,ZAR,160.01,2.5478,614,614,Bocas para Bueiros,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Inlets for Storm Drains,Inlets for Storm Drains
3148,"THREAD SEAL TAPE, PTFE, 18 MM X 50 M ROLL (L X W)",Material,General,UN,25.8,25.8,25.8,25.8,1,ZAR,0.77,0.0299,513,513,Drenagem de ar condicionado,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Air conditioning drainage,Air conditioning drainage
88239,CARPENTER'S HELPER WITH ADDITIONAL CHARGES,Labor,Labor,H,49.82,49.82,49.82,49.82,1,ZAR,48.01,0.9636,489,489,Bocas para Bueiros,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Inlets for Storm Drains,Inlets for Storm Drains
88246,PIPE LAYER WITH ADDITIONAL CHARGES,Labor,Labor,H,52.9,52.9,52.9,52.9,1,ZAR,25.25,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Installation of PVC and HDPE Sewage Pipes,Installation of PVC and HDPE Sewage Pipes
20078,"LUBRICANT PASTE FOR PIPES AND FITTINGS WITH ELASTIC JOINT, PACKAGING OF *400* GR (USE IN PVC, STEEL, POLYETHYLENE AND OTHERS)",Material,General,UN,64.58,64.58,64.58,64.58,1,ZAR,7.04,0.1091,396,396,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Installation of PVC and HDPE Sewage Pipes,Installation of PVC and HDPE Sewage Pipes
5678,"WHEEL BACKHOE LOADER WITH LOADER, 4X4 DRIVE, NET POWER 88 HP, LOADER BUCKET MIN. CAP. 1 M3, BACKHOE BUCKET CAP. 0,26 M3, MIN. OPERATING WEIGHT 6.674 KG, MAX. EXCAVATION DEPTH 4,37 M - DAYTIME CHP. AF_06/2014",Equipment,General,CHP,414.01,414.01,414.01,414.01,1,ZAR,46.35,0.112,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Installation of PVC and HDPE Sewage Pipes,Installation of PVC and HDPE Sewage Pipes
5679,"WHEEL BACKHOE LOADER WITH LOADER, 4X4 DRIVE, NET POWER 88 HP, LOADER BUCKET MIN. CAP. 1 M3, BACKHOE BUCKET CAP. 0,26 M3, MIN. OPERATING WEIGHT 6.674 KG, MAX. EXCAVATION DEPTH 4,37 M - DAYTIME CHI. AF_06/2014",Equipment,General,CHI,157.42,157.42,157.42,157.42,1,ZAR,39.33,0.2499,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Installation of PVC and HDPE Sewage Pipes,Installation of PVC and HDPE Sewage Pipes
5928,"HYDRAULIC WINCH, MAXIMUM LOAD CAPACITY 6200 KG, MAXIMUM LOAD MOMENT 11.7 TM, MAXIMUM HORIZONTAL REACH 9.70 M, INCLUDING PICKUP TRUCK PBT 16,000 KG, POWER 189 HP - DAYTIME CHP.",Equipment,General,CHP,757.68,757.68,757.68,757.68,1,ZAR,277.04,0.3656,381,381,Instalações para Canteiros de Obras,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Site Facilities,Site Facilities
20083,"PREPARATORY / CLEANING SOLUTION FOR PVC, BOTTLE WITH 1000 CM3",Material,General,UN,177.26,177.26,177.26,177.26,1,ZAR,4.47,0.0252,376,376,Drenagem de ar condicionado,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Air conditioning drainage,Air conditioning drainage
5930,"HYDRAULIC WINCH, MAXIMUM LOAD CAPACITY 6200 KG, MAXIMUM LOAD MOMENT 11.7 TM, MAXIMUM HORIZONTAL REACH 9.70 M, INCLUDING PICKUP TRUCK PBT 16,000 KG, POWER 189 HP - DAYTIME CHI.",Equipment,General,CHI,151.69,151.69,151.69,151.69,1,ZAR,140.07,0.9234,371,371,Instalações para Canteiros de Obras,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Site Facilities,Site Facilities
122,"PLASTIC ADHESIVE FOR PVC, BOTTLE WITH *850* GR",Material,General,UN,156.46,156.46,156.46,156.46,1,ZAR,2.85,0.0182,368,368,Drenagem de ar condicionado,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Air conditioning drainage,Air conditioning drainage
2692,"PROTECTIVE RELEASE AGENT FOR WOODEN FORMS, OILY BASE EMULSIFIED IN WATER",Material,General,L,26.03,26.03,26.03,26.03,1,ZAR,0.41,0.0157,362,362,Bocas para Bueiros,SINAPI Analytical Report of Compositions (CAIXA/IBGE),Inlets for Storm Drains,Inlets for Storm Drains
