resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
88316,配备附加费用的服务员,Labor,Labor,H,22.97,22.97,22.97,22.97,1,CNY,60.82,2.6476,3636,3636,Acessibilidade,SINAPI 详细组成报告（CAIXA/IBGE）,无障碍设计,无障碍设计
88267,管道工或水暖工及其附加费用,Labor,Labor,H,28.25,28.25,28.25,28.25,1,CNY,19.05,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI 详细组成报告（CAIXA/IBGE）,离心式、水平式和潜水式水泵,离心式、水平式和潜水式水泵
88248,水暖工或消防水管工辅助人员及附加费用,Labor,Labor,H,22.21,22.21,22.21,22.21,1,CNY,11.79,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI 详细组成报告（CAIXA/IBGE）,离心式、水平式和潜水式水泵,离心式、水平式和潜水式水泵
88309,砌筑工及附加费用,Labor,Labor,H,29.24,29.24,29.24,29.24,1,CNY,169.96,5.8132,1283,1283,Acessibilidade,SINAPI 详细组成报告（CAIXA/IBGE）,无障碍设计,无障碍设计
88264,电工及附加费用,Labor,Labor,H,29.61,29.61,29.61,29.61,1,CNY,35.58,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI 详细组成报告（CAIXA/IBGE）,离心式、水平式和潜水式水泵,离心式、水平式和潜水式水泵
88247,电工助手及附加费用,Labor,Labor,H,23.45,23.45,23.45,23.45,1,CNY,15.04,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI 详细组成报告（CAIXA/IBGE）,离心式、水平式和潜水式水泵,离心式、水平式和潜水式水泵
38383,水洗纸板，黑色，粒度 100,Material,General,UN,2.42,2.42,2.42,2.42,1,CNY,0.13,0.0533,654,654,Drenagem de ar condicionado,SINAPI 详细组成报告（CAIXA/IBGE）,空调排水,空调排水
88262,模板工人及附加费,Labor,Labor,H,28.76,28.76,28.76,28.76,1,CNY,73.27,2.5478,614,614,Bocas para Bueiros,SINAPI 详细组成报告（CAIXA/IBGE）,井盖孔,井盖孔
3148,PTFE密封螺纹带，卷材，18毫米×50米（长×宽）,Material,General,UN,11.81,11.81,11.81,11.81,1,CNY,0.35,0.0299,513,513,Drenagem de ar condicionado,SINAPI 详细组成报告（CAIXA/IBGE）,空调排水,空调排水
88239,木工助手及附加费用,Labor,Labor,H,22.81,22.81,22.81,22.81,1,CNY,21.98,0.9636,489,489,Bocas para Bueiros,SINAPI 详细组成报告（CAIXA/IBGE）,井盖孔,井盖孔
88246,管道焊接工及附加费用,Labor,Labor,H,24.22,24.22,24.22,24.22,1,CNY,11.56,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI 详细组成报告（CAIXA/IBGE）,PVC 和 PEAD 下水道管道的安置,PVC 和 PEAD 下水道管道的安置
20078,润滑脂，用于管道和接头，配有弹性密封圈，包装为*400*克（用于PVC、钢、聚乙烯及其他材料）,Material,General,UN,29.57,29.57,29.57,29.57,1,CNY,3.22,0.1091,396,396,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI 详细组成报告（CAIXA/IBGE）,PVC 和 PEAD 下水道管道的安置,PVC 和 PEAD 下水道管道的安置
5678,轮式挖掘机，配装载机，驱动 4X4，净功率 88 HP，斗容量最小 1 M3，反斗容量 0.26 M3，操作重量最小 6.674 KG，最大挖掘深度 4.37 M - 白天 CHP。,Equipment,General,CHP,189.57,189.57,189.57,189.57,1,CNY,21.22,0.112,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI 详细组成报告（CAIXA/IBGE）,PVC 和 PEAD 下水道管道的安置,PVC 和 PEAD 下水道管道的安置
5679,轮式挖掘机配装载机，四轮驱动，净功率 88 HP，斗容量最小 1 M3，反斗容量 0.26 M3，操作重量最小 6.674 KG，最大挖掘深度 4.37 M - 白天工作。AF_06/2014,Equipment,General,CHI,72.08,72.08,72.08,72.08,1,CNY,18.01,0.2499,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI 详细组成报告（CAIXA/IBGE）,PVC 和 PEAD 下水道管道的安置,PVC 和 PEAD 下水道管道的安置
5928,"液压吊车，最大载重能力6200 KG，最大载重扭矩11.7 TM，最大水平伸展距离9.70 M，包括轻型卡车 PBT 16,000 KG，功率189 CV - 白天 CHP。",Equipment,General,CHP,346.94,346.94,346.94,346.94,1,CNY,126.85,0.3656,381,381,Instalações para Canteiros de Obras,SINAPI 详细组成报告（CAIXA/IBGE）,工地设施,工地设施
20083,PVC预处理/清洗解决方案，瓶装1000 CM3,Material,General,UN,81.16,81.16,81.16,81.16,1,CNY,2.05,0.0252,376,376,Drenagem de ar condicionado,SINAPI 详细组成报告（CAIXA/IBGE）,空调排水,空调排水
